code,收盘,上市天,流通市值亿,RPS250,RPS120,MA100,MA300,多头排列,站上20周线,量比20/60,距250日新高%,本轮基地数,距区间高点%,满3基,池,名称,细分行业
001221,39.88,369.0,30.6890042203588,,6.03963510537905,52.09530000000001,,False,False,1.4105377505816183,-49.671882887430584,1,-49.671882887430584,False,"滚动次新[1,3)年",悍高集团,其他家居
001239,11.54,965.0,13.156093040745834,5.041480536056158,23.372129600503303,14.100299999999999,15.6614,False,False,1.1112104848994655,-45.230185097294736,2,-45.230185097294736,False,"滚动次新[1,3)年",永达股份,工程机械零件
001277,28.03,699.0,12.781171795042848,10.880663688576899,23.403586033343817,32.536100000000005,38.64516666666666,False,False,1.0282296640582154,-50.0,3,-50.0,True,"滚动次新[1,3)年",速达股份,能源及重型设备
001279,24.92,661.0,9.950182502397125,6.860242501595406,26.266121421830764,29.1625,35.08433333333333,False,False,0.6563432719502154,-40.23980815347722,1,-85.87301587301587,False,"滚动次新[1,3)年",强邦新材,印刷
001306,50.11,991.0,7.786732630077502,7.211231652839821,6.794589493551431,62.899499999999996,78.29876666666667,False,False,0.8723097471282824,-54.68029302704169,3,-54.68029302704169,True,"滚动次新[1,3)年",夏厦精密,机械基础件
001326,46.96,998.0,11.349496841855686,83.85449904275686,72.8845548914753,57.7671,47.85053333333333,True,False,0.7755604819089438,-36.56625692286911,3,-36.56625692286911,True,"滚动次新[1,3)年",联域股份,LED
001335,30.65,475.0,7.85977442618065,31.046585832801533,8.902170493865997,42.1787,41.85333333333333,True,False,0.6895276507775535,-45.76181206866041,2,-45.76181206866041,False,"滚动次新[1,3)年",信凯科技,其他化学原料
001356,8.83,557.0,18.706615474558564,3.956604977664327,24.91349480968858,10.076500000000001,12.7851,False,False,0.9755232898288606,-43.65028717294193,1,-61.840968020743304,False,"滚动次新[1,3)年",富岭股份,其他塑料制品
001358,24.49,956.0,12.20372340124716,65.2839821314614,59.73576596413967,26.1714,26.258533333333336,False,False,1.4264408315268453,-23.27694235588973,1,-23.27694235588973,False,"滚动次新[1,3)年",兴欣新材,其他化学制品
001359,72.46,858.0,44.275968335739975,92.27823867262285,93.6772569990563,79.009,53.6898,True,False,1.2205254707871807,-44.23150927422459,5,-44.23150927422459,True,"滚动次新[1,3)年",平安电工,非金属材料
001376,11.44,1004.0,24.310347425316525,51.37204850031908,1.2268008807801196,13.7704,13.946566666666664,False,False,0.9947934774314942,-52.863617634940255,1,-52.863617634940255,False,"滚动次新[1,3)年",百通能源,热力服务
001378,17.04,1008.0,14.3018817021564,58.87045309508615,70.6826045926392,19.1671,17.9431,True,False,1.1940809085922437,-21.25693160813309,1,-21.25693160813309,False,"滚动次新[1,3)年",德冠新材,塑料薄膜
