entry_date,exit_date,side,symbol,pnl_pct,label,year,code,vol_rank,style,industry,bull_mkt
2014-01-02,2014-12-31,long,8,145.81,2014年牛股 000008,2014,000008,0.4156702855229805,中间派,机械设备,False
2015-01-05,2015-12-31,long,8,132.06,2015年牛股 000008,2015,000008,0.4156702855229805,中间派,机械设备,True
2015-01-05,2015-12-31,long,17,101.74,2015年牛股 000017,2015,000017,0.7894955321054816,高量能派,纺织服饰,True
2015-01-05,2015-12-31,long,19,121.58,2015年牛股 000019,2015,000019,0.886,高量能派,农林牧渔,True
2015-03-20,2015-12-31,long,20,272.6,2015年牛股 000020,2015,000020,0.528,中间派,电子,True
2019-01-02,2019-12-31,long,21,114.15,2019年牛股 000021,2019,000021,0.356,缩量派,电子,True
2015-01-05,2015-12-31,long,25,734.96,2015年牛股 000025,2015,000025,0.408,中间派,综合,True
2014-01-02,2014-12-31,long,27,111.69,2014年牛股 000027,2014,000027,0.7308686533677998,高量能派,公用事业,False
2014-01-02,2014-12-31,long,31,130.23,2014年牛股 000031,2014,000031,0.2043331076506432,缩量派,房地产,False
2015-01-05,2015-12-31,long,32,133.03,2015年牛股 000032,2015,000032,0.994,高量能派,建筑装饰,True
2019-01-02,2019-12-31,long,32,103.99,2019年牛股 000032,2019,000032,0.994,高量能派,建筑装饰,True
2015-01-05,2015-12-23,long,34,308.74,2015年牛股 000034,2015,000034,0.624,高量能派,计算机,True
2019-01-02,2019-12-31,long,37,163.29,2019年牛股 000037,2019,000037,0.614,高量能派,公用事业,True
2015-01-05,2015-12-31,long,48,244.12,2015年牛股 000048,2015,000048,1.0,高量能派,农林牧渔,True
2015-01-05,2015-12-31,long,62,141.6,2015年牛股 000062,2015,000062,0.65,高量能派,电子,True
2024-01-02,2024-12-31,long,62,104.87,2024年牛股 000062,2024,000062,0.65,高量能派,电子,True
2017-01-03,2017-12-29,long,63,128.06,2017年牛股 000063,2017,000063,0.55,中间派,通信,False
2015-01-05,2015-06-17,long,66,275.72,2015年牛股 000066,2015,000066,0.842,高量能派,计算机,True
2019-01-02,2019-12-31,long,66,229.74,2019年牛股 000066,2019,000066,0.842,高量能派,计算机,True
