配置,N,加权,缓冲,频率,年化,Sharpe,最大回撤,年换手,年均换入
N=300 市值加权     无缓冲 季度,300,市值加权,False,季度,0.09021473639269173,0.541665563292565,-0.44703003227839944,0.27113421957587597,121.47436042562825
N=300 市值加权     无缓冲 年度,300,市值加权,False,年度,0.09670867043446463,0.577270089255243,-0.45152749912231116,0.17299104175944163,54.24586823635952
N=300 市值加权     有缓冲 季度,300,市值加权,True,季度,0.09038649906206975,0.5436683702560359,-0.44503138970845,0.2246205164715543,66.23618972153045
N=300 市值加权     有缓冲 年度,300,市值加权,True,年度,0.09551132103786797,0.5728611559257469,-0.45045279678621253,0.15936860853897214,36.963266923251076
N=300 等权       无缓冲 季度,300,等权,False,季度,0.08217783812068458,0.46975957721291045,-0.5119918490945861,0.682704307483075,121.47436042562825
N=300 等权       无缓冲 年度,300,等权,False,年度,0.08901524515732384,0.5031039860443379,-0.5286752414867083,0.3388776809775329,54.24586823635952
N=300 等权       有缓冲 季度,300,等权,True,季度,0.08242228962276021,0.473866175526473,-0.5122557418574656,0.5248795390557396,66.23618972153045
N=300 等权       有缓冲 年度,300,等权,True,年度,0.08466535017008536,0.48800012414499316,-0.5254659995801572,0.29485632324422134,36.963266923251076
N=300 inv_vol  无缓冲 季度,300,inv_vol,False,季度,0.09409218285410725,0.5427932826670281,-0.49833643342103795,1.0332472126094123,121.47436042562825
N=300 inv_vol  无缓冲 年度,300,inv_vol,False,年度,0.09960821229361216,0.5716224016262051,-0.513229476557574,0.4240301010932883,54.24586823635952
N=300 inv_vol  有缓冲 季度,300,inv_vol,True,季度,0.09262027850269505,0.5380787211892845,-0.49379479260360526,0.9340113620448199,66.23618972153045
N=300 inv_vol  有缓冲 年度,300,inv_vol,True,年度,0.09691786790479506,0.5627681711310432,-0.5098184283793359,0.39780584755787873,36.963266923251076
N=500 市值加权     无缓冲 季度,500,市值加权,False,季度,0.08622726300808092,0.520162876166898,-0.4571025083282739,0.27317484086111565,202.18162780167535
N=500 市值加权     无缓冲 年度,500,市值加权,False,年度,0.0920224665151288,0.552803191354543,-0.46360579997079765,0.17624880183027422,90.79567579805297
N=500 市值加权     有缓冲 季度,500,市值加权,True,季度,0.0870147302921418,0.5245584069705935,-0.45525559144492056,0.22768737695556054,107.83020149422684
N=500 市值加权     有缓冲 年度,500,市值加权,True,年度,0.09292978457993395,0.5579801267951918,-0.4620123945764406,0.15958620292024508,57.636235001131986
N=500 等权       无缓冲 季度,500,等权,False,季度,0.07179390124644391,0.4200557387533682,-0.566905317035836,0.6898845948291531,202.18162780167535
N=500 等权       无缓冲 年度,500,等权,False,年度,0.07604221375306053,0.44222707383864845,-0.5683132175251271,0.3443596043544943,90.79567579805297
N=500 等权       有缓冲 季度,500,等权,True,季度,0.0743037191080167,0.43162485070664774,-0.5675607121959468,0.5262238866615995,107.83020149422684
N=500 等权       有缓冲 年度,500,等权,True,年度,0.07889091229118006,0.4555152849047736,-0.5668503448759019,0.29264202051265326,57.636235001131986
N=500 inv_vol  无缓冲 季度,500,inv_vol,False,季度,0.08567748389841068,0.4942292918610332,-0.5397169525272066,1.0549209656921728,202.18162780167535
N=500 inv_vol  无缓冲 年度,500,inv_vol,False,年度,0.08696131172761312,0.5056704962026943,-0.5303161014711275,0.43049219853581105,90.79567579805297
N=500 inv_vol  有缓冲 季度,500,inv_vol,True,季度,0.08696999357036828,0.49974552516212617,-0.5443156972010743,0.9508647345582628,107.83020149422684
N=500 inv_vol  有缓冲 年度,500,inv_vol,True,年度,0.09046452795592219,0.520556690945589,-0.5312742440380733,0.39812290511546217,57.636235001131986
