处理,选股,规则,说明,中位年化,q25,q75,正收益比例,中位Sharpe,中位回撤
(a) 现行:任何中断按最后价平仓,随机选,A,"基线:-10%固定,无止盈,252日",0.046940687168642636,0.03232722207147021,0.06630553845883785,1.0,0.3244773632842275,-0.6536664124220231
(a) 现行:任何中断按最后价平仓,随机选,B,纯10周线,-0.011691364501060786,-0.03379788565844241,0.005849873427124841,0.35,0.05707607417034402,-0.7631971976344014
(a) 现行:任何中断按最后价平仓,随机选,C,固定+10周线接管,-0.002965546383485118,-0.020991445644701956,0.025734348466126822,0.5,0.09780039321325618,-0.7254519669666092
(a) 现行:任何中断按最后价平仓,随机选,D,条件移动止盈(涨100%后),0.08496052695923262,0.06597238199663408,0.10287686925879075,1.0,0.5025567694673065,-0.5448545501760658
(a) 现行:任何中断按最后价平仓,随机选,E,条件+10周线(涨100%后),0.07617542611723593,0.04478454385687991,0.0957638232583844,1.0,0.46029261128058774,-0.5251735449867307
(a) 现行:任何中断按最后价平仓,随机选,F,基线+504日,0.05949482585094645,0.04572117759878158,0.07680356976894914,1.0,0.36431503977269103,-0.5739800847462602
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),A,"基线:-10%固定,无止盈,252日",0.05741958929692337,0.04997811050443146,0.07134770347283459,1.0,0.3550835599473605,-0.6335622403844872
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),B,纯10周线,-0.0813565336973125,-0.0890992195843022,-0.07074799917199237,0.0,-0.2609531923908914,-0.8927162727798776
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),C,固定+10周线接管,-0.08440799121986153,-0.09492775253133878,-0.0755128518176105,0.0,-0.27884051853827596,-0.8954339032704806
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),D,条件移动止盈(涨100%后),0.0320043125187458,0.013729915958616112,0.04859774577350079,0.95,0.2569761590974552,-0.6843647596096478
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),E,条件+10周线(涨100%后),0.027406617133312827,0.016149354893120194,0.03569842538797957,0.9,0.23746921045932384,-0.6805087239724955
(a) 现行:任何中断按最后价平仓,小市值优先(90%重抽样),F,基线+504日,0.03094672700835066,0.012525025833578673,0.036571433335819414,0.95,0.25238325885500446,-0.7028542917823175
(b) 修正:停牌穿越 + 退市按最后价,随机选,A,"基线:-10%固定,无止盈,252日",0.0685057473361067,0.057485067888197794,0.07764324485947521,1.0,0.41884192134330667,-0.5845845577348462
(b) 修正:停牌穿越 + 退市按最后价,随机选,B,纯10周线,0.011517028590404266,-0.009966749266891228,0.0299398698162624,0.55,0.16501586827084197,-0.6997228977745777
(b) 修正:停牌穿越 + 退市按最后价,随机选,C,固定+10周线接管,0.00014844442099060107,-0.017476475734415936,0.007699600827355213,0.5,0.11120313382189223,-0.7489243036658422
(b) 修正:停牌穿越 + 退市按最后价,随机选,D,条件移动止盈(涨100%后),0.0765931466330555,0.050165752833859656,0.11119927816887354,1.0,0.4715461879163406,-0.5243482189954927
(b) 修正:停牌穿越 + 退市按最后价,随机选,E,条件+10周线(涨100%后),0.06019873183873348,0.045392504697764735,0.08323156568269091,1.0,0.38925722501781657,-0.560820715716569
(b) 修正:停牌穿越 + 退市按最后价,随机选,F,基线+504日,0.06423372997190147,0.04674859206685095,0.08275613008201799,1.0,0.3766732016972489,-0.5747220929042611
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),A,"基线:-10%固定,无止盈,252日",0.06847926912182112,0.05843327294375589,0.07638635897092749,1.0,0.39480653889107864,-0.58663244800782
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),B,纯10周线,-0.07131020749820682,-0.08251929072412542,-0.06325260546466271,0.0,-0.19329818584031006,-0.8718244427828393
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),C,固定+10周线接管,-0.07890299689673341,-0.0860388406490839,-0.07002082267119186,0.0,-0.23569344798597447,-0.8896864834290397
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),D,条件移动止盈(涨100%后),0.019618275982279276,0.012754194505346317,0.03548976194615161,1.0,0.20300445570910491,-0.6687855883700531
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),E,条件+10周线(涨100%后),0.020974912761692166,0.008508560914048058,0.04116670740638667,0.95,0.21004873169340849,-0.6711500646590038
(b) 修正:停牌穿越 + 退市按最后价,小市值优先(90%重抽样),F,基线+504日,0.02791803108134805,0.016455608234689778,0.037035392877760476,0.95,0.2459737671618226,-0.678865295921538
(c) 修正 + 退市折价50%,随机选,A,"基线:-10%固定,无止盈,252日",0.0685057473361067,0.057485067888197794,0.07764324485947521,1.0,0.41884192134330667,-0.5845845577348462
(c) 修正 + 退市折价50%,随机选,B,纯10周线,0.009450166650645686,-0.009966749266891228,0.0299398698162624,0.55,0.15603579155227718,-0.7072811892092097
(c) 修正 + 退市折价50%,随机选,C,固定+10周线接管,0.00014844442099060107,-0.017476475734415936,0.007699600827355213,0.5,0.11120313382189223,-0.7489243036658422
(c) 修正 + 退市折价50%,随机选,D,条件移动止盈(涨100%后),0.0765931466330555,0.050165752833859656,0.11119927816887354,1.0,0.4715461879163406,-0.5243482189954927
(c) 修正 + 退市折价50%,随机选,E,条件+10周线(涨100%后),0.06019873183873348,0.045392504697764735,0.08323156568269091,1.0,0.38925722501781657,-0.560820715716569
(c) 修正 + 退市折价50%,随机选,F,基线+504日,0.04590015050275076,0.02894314855616653,0.07036362966633558,1.0,0.3103181651102171,-0.583378462836595
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),A,"基线:-10%固定,无止盈,252日",0.06847926912182112,0.05843327294375589,0.07638635897092749,1.0,0.39480653889107864,-0.58663244800782
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),B,纯10周线,-0.07131020749820682,-0.08251929072412542,-0.06325260546466271,0.0,-0.19329818584031006,-0.8718244427828393
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),C,固定+10周线接管,-0.07890299689673341,-0.0860388406490839,-0.07002082267119186,0.0,-0.23569344798597447,-0.8896864834290397
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),D,条件移动止盈(涨100%后),0.019618275982279276,0.012754194505346317,0.03548976194615161,1.0,0.20300445570910491,-0.6687855883700531
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),E,条件+10周线(涨100%后),0.020974912761692166,0.008508560914048058,0.04116670740638667,0.95,0.21004873169340849,-0.6711500646590038
(c) 修正 + 退市折价50%,小市值优先(90%重抽样),F,基线+504日,0.015171881352924133,0.0033572711377803377,0.025186322679331075,0.8,0.2007642440219654,-0.678865295921538
