规则,说明,选股,年化,Sharpe,最大回撤,年均笔数,笔均收益,胜率
A,"基线:-10%固定止损,无止盈,252日",小市值优先,0.06343974931554697,0.3774086919720859,-0.6232887202110121,25.13007955278435,0.046265822814184274,0.215625
A,"基线:-10%固定止损,无止盈,252日",随机选,0.036567121866085905,0.2784451966456934,-0.5626270245263411,22.145882605891206,0.043157126909259505,0.24468085106382978
B,"纯10周线:无固定止损,跌破MA50离场",小市值优先,-0.08121388813219754,-0.2600627973155145,-0.8880729173445607,52.38050956783488,-0.005529739430889237,0.3028485757121439
B,"纯10周线:无固定止损,跌破MA50离场",随机选,-0.012526386174786408,0.05026541088001914,-0.7979414106598254,48.37540313910987,0.014580402977676765,0.3198051948051948
C,固定+10周线接管:站上MA50后改用MA50,小市值优先,-0.06746537595927204,-0.19561991564074743,-0.8706104572927175,53.32288755106429,-0.0022687039869437086,0.30633284241531666
C,固定+10周线接管:站上MA50后改用MA50,随机选,-0.022811626702330612,0.003404968707681384,-0.8019360175404293,49.86750161255644,0.010831444074232284,0.3165354330708661
D,条件移动止盈:涨≥100%后启动20%回撤止盈,小市值优先,0.013170864105980451,0.17633478627937033,-0.7287504367137638,29.292248978714255,0.026611889111582812,0.20107238605898123
D,条件移动止盈:涨≥100%后启动20%回撤止盈,随机选,0.04668864051053756,0.32926209335930295,-0.6661198196416538,25.758331541603955,0.037772626063584634,0.23170731707317074
E,条件+10周线:涨≥100%后改用MA50离场,小市值优先,0.01022083291418907,0.1637274282040913,-0.7276549156329241,27.721619006665232,0.02685824617159371,0.20679886685552407
E,条件+10周线:涨≥100%后改用MA50离场,随机选,0.1011875153297459,0.5566869081100432,-0.6231354222405567,22.30294560309611,0.07243552110924133,0.2711267605633803
F,基线+放开持有期:504日,小市值优先,0.024913988208406845,0.22946744502772237,-0.7401016644269476,21.596162115674048,0.027160207677157364,0.16
F,基线+放开持有期:504日,随机选,0.0377061215356953,0.2817994369006542,-0.6036685888561641,15.627768221887766,0.0485816387819589,0.21608040201005024
