选股,规则,说明,中位年化,均值,最差,最好,q25,q75,正收益比例,中位Sharpe,中位回撤,年化标准差
随机选,A,"基线:-10%固定,无止盈,252日",0.046940687168642636,0.049055515638149916,0.013237691047509825,0.10687445179097188,0.03232722207147021,0.06630553845883785,1.0,0.3244773632842275,-0.6536664124220231,0.02415534244395126
随机选,B,纯10周线,-0.011691364501060786,-0.015764157714635525,-0.07285130051168287,0.032350703028318994,-0.03379788565844241,0.005849873427124841,0.35,0.05707607417034402,-0.7631971976344014,0.02988553287229705
随机选,C,固定+10周线接管,-0.002965546383485118,0.0017560018649947662,-0.06880017897111101,0.07590980718180917,-0.020991445644701956,0.025734348466126822,0.5,0.09780039321325618,-0.7254519669666092,0.03421450114282252
随机选,D,条件移动止盈(涨100%后),0.08496052695923262,0.08274205157654999,0.03835360920646136,0.1206665803312621,0.06597238199663408,0.10287686925879075,1.0,0.5025567694673065,-0.5448545501760658,0.023922364853206545
随机选,E,条件+10周线(涨100%后),0.07617542611723593,0.06893272493624275,0.003501854057230025,0.1151711986908186,0.04478454385687991,0.0957638232583844,1.0,0.46029261128058774,-0.5251735449867307,0.03425350737079238
随机选,F,基线+504日,0.05949482585094645,0.06191506547829069,0.012506534071751618,0.11965830458770266,0.04572117759878158,0.07680356976894914,1.0,0.36431503977269103,-0.5739800847462602,0.026450287294454124
小市值优先(90%事件重抽样),A,"基线:-10%固定,无止盈,252日",0.05741958929692337,0.06084923484786847,0.03145114104122837,0.0899250129704785,0.04997811050443146,0.07134770347283459,1.0,0.3550835599473605,-0.6335622403844872,0.015650755208467274
小市值优先(90%事件重抽样),B,纯10周线,-0.0813565336973125,-0.0816999995070389,-0.1091002220283972,-0.05553106433494248,-0.0890992195843022,-0.07074799917199237,0.0,-0.2609531923908914,-0.8927162727798776,0.014800422908568272
小市值优先(90%事件重抽样),C,固定+10周线接管,-0.08440799121986153,-0.08415556711415698,-0.11381826795881711,-0.05373050710333649,-0.09492775253133878,-0.0755128518176105,0.0,-0.27884051853827596,-0.8954339032704806,0.014705306158447699
小市值优先(90%事件重抽样),D,条件移动止盈(涨100%后),0.0320043125187458,0.03311589086376962,-0.009664255938965582,0.07940596346092788,0.013729915958616112,0.04859774577350079,0.95,0.2569761590974552,-0.6843647596096478,0.02357821387342322
小市值优先(90%事件重抽样),E,条件+10周线(涨100%后),0.027406617133312827,0.02708487833162418,-0.010088682836119078,0.07317995636777841,0.016149354893120194,0.03569842538797957,0.9,0.23746921045932384,-0.6805087239724955,0.01854119147293851
小市值优先(90%事件重抽样),F,基线+504日,0.03094672700835066,0.02690125672477416,-0.002243286123499111,0.06418269088523054,0.012525025833578673,0.036571433335819414,0.95,0.25238325885500446,-0.7028542917823175,0.018661120173196
