选股,规则,说明,中位年化,均值,最差,最好,q25,q75,正收益比例,中位Sharpe,中位回撤,年化标准差
随机选,A,"基线:-10%固定,无止盈,252日",-0.06351421392888723,-0.06700643460079889,-0.11905254006555444,-0.0013866226713928897,-0.09026331646730057,-0.05151859449923599,0.0,-0.1511361617908172,-0.8440227567674088,0.030523706922937578
随机选,B,纯10周线,-0.1433066921213898,-0.14573998180597375,-0.19499591529218718,-0.0958781489879863,-0.16566289597298056,-0.12802672767105922,0.0,-0.5512958503458087,-0.9264957742379536,0.024726643889967048
随机选,C,固定+10周线接管,-0.14123967464582804,-0.13172390863437572,-0.20510124280238684,-0.06561902686822807,-0.1533956800623268,-0.10390264531094043,0.0,-0.539012330806445,-0.9172250709175171,0.03456867818808837
随机选,D,条件移动止盈(涨100%后),-0.04580969969792359,-0.04884743272417657,-0.09447346601118067,0.001095829519556446,-0.08037349373754507,-0.03386779692131403,0.05,-0.09088799148607157,-0.8045589779728313,0.030577167032298933
随机选,E,条件+10周线(涨100%后),-0.04006921301525862,-0.043568212511784755,-0.11579152585376196,0.025358964291219532,-0.0722191681067893,-0.017780620752232634,0.15,-0.03763247209428132,-0.8020059918480479,0.03986613303330757
随机选,F,基线+504日,-0.05279962626840651,-0.049547010707340654,-0.1047487452770608,0.0035091139317056097,-0.07094178229669054,-0.0270737186268398,0.1,-0.03887556861796801,-0.78001545817761,0.02958838357355203
小市值优先(90%事件重抽样),A,"基线:-10%固定,无止盈,252日",-0.07972074961519582,-0.07264250197364874,-0.11146506899273345,-0.029423268404971004,-0.08981671806868388,-0.051951252626814465,0.0,-0.1547063119211512,-0.8765504837625557,0.024441985999945376
小市值优先(90%事件重抽样),B,纯10周线,-0.21983688346910935,-0.2195574519688038,-0.25449637696387706,-0.1836301608293116,-0.2286538999988808,-0.20876902379165524,0.0,-0.8646890425477163,-0.9700490788756024,0.016408644243349587
小市值优先(90%事件重抽样),C,固定+10周线接管,-0.22659684235551936,-0.2243770285086603,-0.23888369106333307,-0.19618664347181713,-0.23414953063484914,-0.21829231764587612,0.0,-0.9271318175297953,-0.9712961661298539,0.01173971309119849
小市值优先(90%事件重抽样),D,条件移动止盈(涨100%后),-0.0939705925666171,-0.09352911044291522,-0.13699312360085292,-0.031030448662125454,-0.11385775807763673,-0.07790883289536799,0.0,-0.26516111572180656,-0.8802977012183507,0.027807915174937685
小市值优先(90%事件重抽样),E,条件+10周线(涨100%后),-0.09926120955041201,-0.0944017059309262,-0.13025760067656644,-0.046395520576175464,-0.11240382488487491,-0.0785240724427747,0.0,-0.284528594518321,-0.8657104128664923,0.024078229297256747
小市值优先(90%事件重抽样),F,基线+504日,-0.11634601442840281,-0.11526113719366624,-0.16347806079693994,-0.047964221454525835,-0.14100262706822225,-0.0931401014426469,0.0,-0.2579460502458073,-0.905478319502357,0.03119800150806402
