配置,年化,Sharpe,最大回撤,交易笔数,年均笔数,笔均收益,胜率
5只 / 小市值优先,-0.1720139884959715,-0.433751475999889,-0.9868528396741585,304,23.87357557514513,-0.01726717234200716,0.13486842105263158
5只 / 随机选,-0.027372294983153078,0.054328009401813,-0.8817813596843023,224,17.591055686949044,0.005386402165060394,0.19196428571428573
10只 / 小市值优先,-0.13725308897430522,-0.3779963157452146,-0.9710099349782534,583,45.78386368522899,-0.015033216052958868,0.14065180102915953
10只 / 随机选,-0.03026822945239782,0.012118497715080561,-0.8034741980309994,458,35.9674263599226,0.00564823136428451,0.1812227074235808
20只 / 小市值优先,-0.08514570439937352,-0.2293769635211133,-0.9392769849166686,1061,83.3219200172006,-0.0068864961345179625,0.15174363807728558
20只 / 随机选,-0.044247755583043835,-0.08228945680686638,-0.8040892986521251,849,66.67324231348097,0.007169311979662266,0.19316843345111898
5只 / 小市值 + 择时,0.05529595109750196,0.336608931278275,-0.7606540632074639,176,13.82154375403139,0.0479317084905005,0.19318181818181818
10只 / 小市值 + 择时,0.06343974931554697,0.3774086919720859,-0.6232887202110121,320,25.13007955278435,0.046265822814184274,0.215625
20只 / 小市值 + 择时,0.039459631857415856,0.29135217366929245,-0.6847480415424769,628,49.317781122339284,0.034954894664771884,0.21337579617834396
成本 0.1% 双边,0.07253972263024289,0.4121238043334875,-0.6099634942259341,320,25.13007955278435,0.046265822814184274,0.215625
成本 0.3% 双边,0.06343974931554697,0.3774086919720859,-0.6232887202110121,320,25.13007955278435,0.046265822814184274,0.215625
成本 0.5% 双边,0.05444506931049253,0.3429701006289735,-0.6470225539279271,320,25.13007955278435,0.046265822814184274,0.215625
