stop,trail,ma50,n,winrate,avg_win,avg_loss,pl_ratio,gross,net,med_days
0.07,,False,69672,0.12913365483982087,0.7523120042331767,-0.06984716605352613,10.77083075434522,0.036321252465670466,0.03332125246567046,18.0
0.07,,True,70083,0.2708930839147867,0.2258486768826602,-0.06055833956915296,3.7294397186164328,0.017027340372311763,0.014027340372311764,16.0
0.07,0.15,False,70110,0.3115247468264156,0.19530822731095634,-0.06324828391183872,3.0879608936614775,0.0172984677871638,0.014298467787163802,12.0
0.07,0.15,True,70116,0.31517770551657254,0.1698613044906098,-0.05827197625943378,2.914974150428107,0.01363054771933302,0.01063054771933302,12.0
0.07,0.2,False,70049,0.2635583662864566,0.3085563553500569,-0.06659469534796932,4.633347352034485,0.03227950268465013,0.02927950268465013,15.0
0.07,0.2,True,70108,0.29381810920294404,0.21628302378305625,-0.05994247772130904,3.6081762383700977,0.021217576844338542,0.018217576844338543,14.0
0.08,,False,69618,0.14614036599729954,0.7367540522025378,-0.07972929680639683,9.240694220489182,0.039591878648469726,0.036591878648469724,24.0
0.08,,True,70079,0.2850069207608556,0.22595706095929038,-0.06591827272578268,3.4278364953411704,0.01726821737384723,0.01426821737384723,19.0
0.08,0.15,False,70106,0.3322397512338459,0.19434476868195774,-0.06983194666563303,2.7830352433466135,0.017938059523225046,0.014938059523225047,15.0
0.08,0.15,True,70114,0.3293065578914339,0.16928081418807137,-0.06272058765818295,2.6989672850424236,0.013678995409794432,0.010678995409794431,13.0
0.08,0.2,False,70042,0.2854144656063505,0.30698012708333217,-0.0747035850532586,4.109309169894272,0.03423446767685455,0.03123446767685455,19.0
0.08,0.2,True,70106,0.30827603914072976,0.2162743709473559,-0.06502616445628782,3.325959215889795,0.021692050406114074,0.018692050406114075,16.0
0.1,,False,69517,0.17955320281370024,0.6931379309647381,-0.09930776643140042,6.9796951021302265,0.04297839659201258,0.03997839659201258,37.0
0.1,,True,70075,0.3034748483767392,0.22476373000235692,-0.07402562104317231,3.036296444865663,0.016649431961953967,0.013649431961953968,23.0
0.1,0.15,False,70104,0.3608781239301609,0.19303759554614433,-0.08019805697895167,2.4070108780416946,0.018406712695138303,0.015406712695138304,18.0
0.1,0.15,True,70114,0.34490971845851043,0.16868037178767145,-0.06867894400015723,2.456071132766475,0.01318859078172742,0.01018859078172742,15.0
0.1,0.2,False,70026,0.3204095621626253,0.3022653135173033,-0.08914227934033955,3.390818764721884,0.036268456114304896,0.033268456114304894,26.0
0.1,0.2,True,70106,0.3266482184121188,0.21483851588823502,-0.07244309915471901,2.9656174072481027,0.021396928581618062,0.018396928581618063,19.0
