特征,命中,lift,p_自身零分布,lift_2013_2019,lift_2020_2025,参考项
涨停次数(250日)≥5,11642,1.1994541916272745,0.0,0.8989591202887601,1.426091263973184,False
换手率分位 最高30%,9270,1.1247559282844803,0.0,0.946790820273329,1.2590829866218238,False
换手率分位 最低30%,14844,0.7400329616783968,0.0,0.8038139383919426,0.7021814212806731,False
估值极端 BP最低10%(高估值),2817,1.414415231129993,0.0,1.480671489149414,1.3600459341869702,False
盈利加速 且 当季同比>25%,3680,1.3812262593501636,0.0,1.4668166275561514,1.2619278230844873,False
现金流差 OCF/NI<0,10709,0.8519167544399563,0.0,0.8417188121437095,0.8303071971491139,False
老股 上市>2500日(10年),24979,0.8430193728323189,0.0,0.7477449427524099,0.913362643596653,False
盈利加速(当季同比环比上升),7648,1.2196629873014802,0.0,1.2789132706374087,1.1705258915820314,False
【参考】股本扩张>20%(送转),10405,1.170268894710463,0.0,1.1682783936748802,1.1483076714372922,True
估值极端 BP最高10%(破净),5041,0.5096973633410337,0.0,0.5035479840307195,0.5191590162097733,False
盈利大幅加速(提升>20pp),5346,1.1910970517601343,0.002,1.2769500265816056,1.1257222124892126,False
涨停次数(60日)≥3,2494,1.515477827790281,0.076,1.06118573370202,1.9271959499824194,False
估值居中 BP 40~60%,8093,1.0628755900824953,0.132,1.0232883771929824,1.096200755760904,False
换手率 >10%,38,0.0,0.154,,,False
逆势很强 大盘跌时超额>0.3%,8043,1.3194920715134646,0.252,1.7013319185059423,1.1340057988442134,False
涨停多且跌停少(≥5 且 ≤1),2107,1.2813077844291005,0.464,1.9653590259802514,1.0254176020699366,False
逆势强 大盘跌时超额>0,16754,1.1624202619135942,0.522,1.417463163872202,1.0374053215114394,False
跌停次数(250日)≥3,11986,1.0360997253665718,0.596,0.6394318885448916,1.411153183065911,False
涨停次数(250日)≥10,4161,0.8949160105054702,0.872,0.5928390641094816,1.22994003631113,False
次新股 上市<500日,3107,0.8329588465403015,0.95,0.8468935691735502,0.8127801302528291,False
次新股 上市<750日(3年),5084,0.8313239899438536,0.982,0.8173032789119354,0.8379910077468751,False
