,P(特征|牛股),P(特征|非牛),P(牛股|特征),lift,命中数,p
涨停次数(250日)≥5,0.33602150537634407,0.27697393515575336,0.06442192063219378,1.1994541916272745,11642.0,2.8001419310708626e-09
涨停次数(250日)≥10,0.08960573476702509,0.1007247298156389,0.04806536890170632,0.8949160105054702,4161.0,0.0953292854317319
涨停次数(60日)≥3,0.09094982078853046,0.058258105530832806,0.08139534883720931,1.515477827790281,2494.0,2.874958225977516e-09
跌停次数(250日)≥3,0.29883512544802865,0.2878321678321678,0.05564825629901552,1.0360997253665718,11986.0,0.26928427497649615
涨停多且跌停少(≥5 且 ≤1),0.06496415770609319,0.049891926255562616,0.06881822496440437,1.2813077844291005,2107.0,0.002439225293704177
换手率分位 最高30%,0.25089605734767023,0.22148760330578512,0.06040992448759439,1.1247559282844803,9270.0,0.0013045041959728403
换手率分位 最低30%,0.26433691756272404,0.3624666242848061,0.03974669900296416,0.7400329616783968,14844.0,7.140449255258484e-22
换手率 >10%,0.0,0.0009663064208518754,0.0,0.0,38.0,0.26787422218412266
次新股 上市<750日(3年),0.10170250896057348,0.1235092180546726,0.04464988198269079,0.8313239899438536,5084.0,0.0020014066711499775
次新股 上市<500日,0.062275985663082435,0.0754736172917991,0.04473768908915352,0.8329588465403015,3107.0,0.02047003791162487
老股 上市>2500日(10年),0.5067204301075269,0.6064335664335664,0.04527803354818047,0.8430193728323189,24979.0,1.8855842070965322e-20
盈利加速(当季同比环比上升),0.22446236559139784,0.1817418944691672,0.06550732217573221,1.2196629873014802,7648.0,7.528804457039383e-07
盈利加速 且 当季同比>25%,0.12231182795698925,0.08663699936427209,0.07418478260869565,1.3812262593501636,3680.0,3.947228891010892e-08
盈利大幅加速(提升>20pp),0.1532258064516129,0.12724729815638908,0.06397306397306397,1.1910970517601343,5346.0,0.0005011072640196619
现金流差 OCF/NI<0,0.21953405017921146,0.25986013986013984,0.045755906247081896,0.8519167544399563,10709.0,1.8553591179623514e-05
估值极端 BP最低10%(高估值),0.09587813620071685,0.06619198982835346,0.07596734114305999,1.414415231129993,2817.0,2.391836255255999e-07
估值极端 BP最高10%(破净),0.06182795698924731,0.12467895740623014,0.027375520730013887,0.5096973633410337,5041.0,1.1468661367905909e-21
估值居中 BP 40~60%,0.20698924731182797,0.19404958677685952,0.05708637093784752,1.0628755900824953,8093.0,0.13787319615227683
逆势强 大盘跌时超额>0,0.46863799283154123,0.39944055944055945,0.062432851856273126,1.1624202619135942,16754.0,1.197333412514844e-10
逆势很强 大盘跌时超额>0.3%,0.2553763440860215,0.19003178639542276,0.07086907870197687,1.3194920715134646,8043.0,2.050576914984038e-13
