特征,P(特征|牛股),P(特征|非牛股),P(牛股|特征),lift,命中数
60日振幅 < 30%(窄幅整理),0.393475037073653,0.39846979865771814,0.05089839503804591,0.9881031479630138,15639
60日振幅 < 50%,0.7671774592189817,0.7114093959731543,0.055325823470697276,1.0740539125875896,28052
120日振幅 < 40%,0.28175976272862086,0.3105234899328859,0.04696382961193046,0.9117204549428299,12137
波动收缩 ATR20/ATR60 < 0.8,0.16510133465150767,0.19828187919463086,0.043264248704663215,0.8398995745814327,7720
距250日高点 > -15%(贴近前高),0.09441423628274839,0.044241610738255034,0.10386079390973355,2.016275313503196,1839
前期回调深度 15~35%,0.35343549184379636,0.2789261744966443,0.06438541197658712,1.2499299478776598,11105
**窄幅+贴近前高(组合)**,0.06129510627780524,0.03323489932885906,0.09104258443465492,1.7674322385082564,1362
**起涨点当天** 多头排列,0.03213049925852694,0.01087248322147651,0.13829787234042554,2.684810845489635,470
起涨点当天 站上MA50,0.08255066732575383,0.03173154362416107,0.12379540400296515,2.4032708360891992,1349
C 当季净利同比 ≥ 25%,0.29609490855165593,0.23871140939597316,0.06311242229480561,1.2252170839267922,9491
A TTM净利同比 ≥ 25%,0.18388531883341572,0.209744966442953,0.04544899205864386,0.8823125383683244,8185
A ROE ≥ 17%,0.04745427582797825,0.03795973154362416,0.06357615894039735,1.2342197182729733,1510
N 距250日高点 > -10%,0.03806228373702422,0.016,0.11441307578008915,2.22112937474614,673
S 流通市值最小30%,0.370242214532872,0.29833557046979864,0.0631428089698196,1.2258069879741595,11862
S 起涨日量比 ≥ 1.5,0.1329708353929807,0.18174496644295302,0.0382156556329024,0.7418899869851586,7039
L RPS250 > 90,0.08650519031141868,0.0392751677852349,0.10683760683760683,2.0740649200856813,1638
**CANSLIM 五项全中**,0.0004943153732081067,5.3691275167785237e-05,0.3333333333333333,6.471082550667325,3
