股票,代码,突破日,收盘,峰值6,峰值12,峰值24
宇通客车,600066,2014-12-04,6.9,0.9086956521739129,0.9086956521739129,0.9478260869565216
宇通客车,600066,2017-07-21,13.93,0.1586503948312994,0.1586503948312994,0.1586503948312994
宇通客车,600066,2020-08-06,10.68,0.21535580524344566,0.21535580524344566,0.21535580524344566
宇通客车,600066,2024-01-10,12.78,0.9100156494522693,1.0062597809076683,1.5430359937402192
宇通客车,600066,2025-09-01,26.23,0.23903926801372477,,
匠心家居,301061,2023-12-21,20.68,0.5870406189555126,0.8215667311411994,3.370889748549323
泰格医药,300347,2014-06-26,10.7,0.15140186915887854,2.4084112149532713,2.4084112149532713
泰格医药,300347,2018-02-27,24.44,0.7950081833060554,0.7950081833060554,2.2606382978723403
泰格医药,300347,2019-05-15,44.95,0.4965517241379309,0.7995550611790878,3.1081201334816457
泰格医药,300347,2020-12-04,125.35,0.47315516553649783,0.5758276824890307,0.5758276824890307
泰格医药,300347,2024-09-30,68.4,0.14839181286549685,0.14839181286549685,
