i,a,b,r,n,v,d0,d1
0,0,25,0.2247191011235954,25,4.998548692307692,2013-01-04,2013-02-08
1,25,43,-0.16330275229357805,18,4.977488684210527,2013-02-08,2013-03-13
2,43,114,0.47807017543859676,71,7.1883725555555555,2013-03-13,2013-07-02
3,114,142,-0.1483679525222552,28,8.51254248275862,2013-07-02,2013-08-09
4,142,164,0.137630662020906,22,8.596210869565217,2013-08-09,2013-09-10
5,164,204,-0.19754977029096477,40,9.798487268292682,2013-09-10,2013-11-14
6,204,265,0.26908396946564883,61,8.470070274193548,2013-11-14,2014-02-17
7,265,288,-0.23007518796992488,23,11.879848208333334,2014-02-17,2014-03-20
8,288,519,1.25,231,15.025826422413793,2014-03-20,2015-04-16
9,519,531,-0.11545138888888895,12,19.468120692307693,2015-04-16,2015-05-05
10,531,546,0.29244357212953886,15,29.1197968125,2015-05-05,2015-05-26
11,546,568,-0.24449506454062264,22,34.86914086956522,2015-05-26,2015-06-26
12,568,570,0.11055276381909573,2,41.90571533333333,2015-06-26,2015-06-30
13,570,576,-0.12941176470588245,6,37.532506857142856,2015-06-30,2015-07-08
14,576,578,0.19542619542619555,2,64.649188,2015-07-08,2015-07-10
15,578,589,-0.13913043478260867,11,36.59073466666666,2015-07-10,2015-07-27
16,589,599,0.23131313131313114,10,29.494532727272727,2015-07-27,2015-08-10
17,599,610,-0.26168990976210005,11,23.2543025,2015-08-10,2015-08-25
18,610,688,0.3600000000000001,78,15.938272151898735,2015-08-25,2015-12-22
19,688,716,-0.21405228758169947,28,12.387624862068966,2015-12-22,2016-02-01
20,716,835,0.39708939708939717,119,14.312140316666666,2016-02-01,2016-07-28
21,835,947,-0.1763392857142857,112,10.036390902654867,2016-07-28,2017-01-12
22,947,999,0.130984643179765,52,13.201043018867924,2017-01-12,2017-04-05
23,999,1023,-0.11421725239616609,24,13.21063324,2017-04-05,2017-05-10
24,1023,1149,0.45536519386834984,126,13.346729338582678,2017-05-10,2017-11-13
25,1149,1168,-0.1617100371747212,19,19.04243515,2017-11-13,2017-12-08
26,1168,1185,0.13155949741315598,17,11.487081833333335,2017-12-08,2018-01-03
27,1185,1205,-0.13585891574134557,20,16.61584957142857,2018-01-03,2018-01-31
28,1205,1227,0.10279667422524552,22,15.097836086956521,2018-01-31,2018-03-09
29,1227,1383,-0.549006168608636,156,9.04196415923567,2018-03-09,2018-10-30
30,1383,1461,0.4285714285714286,78,11.233097417721519,2018-10-30,2019-02-26
31,1461,1473,-0.14148936170212767,12,38.076081307692306,2019-02-26,2019-03-14
32,1473,1501,0.2775712515489468,28,40.174433,2019-03-14,2019-04-24
33,1501,1526,-0.2366634335596508,25,19.80313646153846,2019-04-24,2019-06-03
34,1526,1551,0.13722998729351965,25,10.839418384615383,2019-06-03,2019-07-09
35,1551,1572,-0.10614525139664799,21,8.374317954545454,2019-07-09,2019-08-07
36,1572,1594,0.26,22,16.598516826086957,2019-08-07,2019-09-06
37,1594,1610,-0.12400793650793651,16,14.77597523529412,2019-09-06,2019-10-08
38,1610,1685,0.187995469988675,75,14.650026513157895,2019-10-08,2020-01-22
39,1685,1688,-0.14489990467111535,3,24.4496125,2020-01-22,2020-02-04
40,1688,1703,0.16722408026755842,15,28.29954125,2020-02-04,2020-02-25
41,1703,1722,-0.2741165234001911,19,19.9594694,2020-02-25,2020-03-23
42,1722,1865,0.6355263157894737,143,13.685217298611112,2020-03-23,2020-10-26
43,1865,1870,-0.12308930008045049,5,22.7755165,2020-10-26,2020-11-02
44,1870,1873,0.18532110091743115,3,28.9659295,2020-11-02,2020-11-05
45,1873,1888,-0.10758513931888547,15,19.2272429375,2020-11-05,2020-11-26
46,1888,1891,0.12575888985255856,3,24.846817,2020-11-26,2020-12-01
47,1891,1938,-0.3228043143297381,47,23.55250289583333,2020-12-01,2021-02-05
48,1938,1943,0.36405005688282155,5,38.505764166666665,2021-02-05,2021-02-19
49,1943,1948,-0.12010008340283562,5,53.40410516666667,2021-02-19,2021-02-26
50,1948,1954,0.11279620853080563,6,28.743354285714286,2021-02-26,2021-03-08
51,1954,2053,-0.303236797274276,99,14.333712330000001,2021-03-08,2021-07-30
52,2053,2070,0.1283618581907091,17,19.661884555555556,2021-07-30,2021-08-24
53,2070,2232,-0.43445287107258945,162,17.823027601226993,2021-08-24,2022-04-28
54,2232,2271,0.39272030651340994,39,55.711666799999996,2022-04-28,2022-06-28
55,2271,2298,-0.22145804676753778,27,40.44849503571428,2022-06-28,2022-08-04
56,2298,2303,0.1431095406360423,5,39.086189833333336,2022-08-04,2022-08-11
57,2303,2339,-0.1761978361669242,36,20.901445432432432,2022-08-11,2022-10-10
58,2339,2517,1.3302063789868668,178,28.086659094972067,2022-10-10,2023-07-04
59,2517,2557,-0.18921095008051525,40,15.390464926829269,2023-07-04,2023-08-29
60,2557,2594,0.14995034756703074,37,19.35674152631579,2023-08-29,2023-10-27
61,2594,2603,-0.11571675302245255,9,23.2480328,2023-10-27,2023-11-09
62,2603,2724,1.3837890625,121,21.36495608196721,2023-11-09,2024-05-14
63,2724,2784,-0.2752970094223678,60,27.325636639344264,2024-05-14,2024-08-07
64,2784,2820,0.3007348784624082,36,21.062742162162163,2024-08-07,2024-09-30
65,2820,2856,-0.18687527162103434,36,32.01382181081081,2024-09-30,2024-11-26
66,2856,2898,0.38375200427578826,42,28.40190995348837,2024-11-26,2025-01-24
67,2898,2943,-0.16299729625337966,45,22.9372765,2025-01-24,2025-04-08
68,2943,2954,0.1476695892939548,11,18.723869166666667,2025-04-08,2025-04-23
69,2954,2984,-0.10454362685967034,30,16.89750777419355,2025-04-23,2025-06-10
70,2984,3114,0.4593623709025596,130,15.329282198473281,2025-06-10,2025-12-17
71,3114,3161,-0.14738461538461534,47,16.630752625,2025-12-17,2026-03-04
72,3161,3182,0.30133525802959227,21,24.53368290909091,2026-03-04,2026-04-02
73,3182,3233,-0.2778702163061565,51,21.598314384615385,2026-04-02,2026-06-18
74,3233,3262,0.2980030721966205,29,21.8322285,2026-06-18,2026-07-30
