月,新事件,调整天数,深度,缩量比,收敛比,现价,区间高,ts
2015-12,True,46,0.14580031695721074,0.657142649254534,0.5472921434019832,12.09,12.62,2015-10-28
2016-01,False,66,0.24088748019017425,0.6537485744670894,0.678369264121402,10.04,12.62,2015-10-28
2016-02,False,82,0.2543581616481775,0.6400423294720153,0.6814136791253497,10.16,12.62,2015-10-28
2016-03,False,105,0.2543581616481775,0.6304906259237983,0.6214151980742373,10.42,12.62,2015-10-28
2016-04,False,125,0.2543581616481775,0.7191577387092644,0.5776852485314588,11.03,12.62,2015-10-28
2016-05,False,146,0.2543581616481775,0.7299229058610864,0.5612709925144476,11.32,12.62,2015-10-28
2016-06,False,166,0.2543581616481775,0.69467693349862,0.5352701223758831,11.43,12.62,2015-10-28
2016-11,True,80,0.14359733530717989,0.7597796500840247,0.665094339622642,12.15,13.51,2016-08-01
2016-12,False,102,0.18134715025906734,0.7713522835181439,0.68872942593336,11.31,13.51,2016-08-01
2017-01,False,120,0.18652849740932642,0.7884854366633328,0.6351596516690855,11.7,13.51,2016-08-01
2017-12,True,17,0.10067114093959728,0.584057040895264,0.7511255902485446,14.53,14.9,2017-12-06
2018-01,False,39,0.1748071979434448,0.7589531655442141,0.7481690680197218,13.23,15.56,2017-12-06
2018-03,True,76,0.1748071979434448,0.7318912787580483,0.742065961418793,13.5,15.56,2017-12-06
2018-04,False,94,0.2107969151670952,0.7171582696562677,0.7558686067603173,12.36,15.56,2017-12-06
2018-05,False,116,0.2107969151670952,0.6641322964528781,0.7259725768727336,13.27,15.56,2017-12-06
2018-06,False,136,0.27442159383033427,0.6317432466955784,0.7162597459643472,11.58,15.56,2017-12-06
2023-11,True,89,0.160067396798652,0.6665878392628334,0.7290329678389382,11.14,11.87,2023-07-20
2023-12,False,110,0.160067396798652,0.6231717850299886,0.6629017076778275,10.96,11.87,2023-07-20
