route,window,total,cagr,mdd,sharpe,n_reb,trades,frozen,n_full,codex_total,codex_cagr,codex_mdd,codex_sharpe,cagr_diff_pp
R01,train,1.071579384670991,0.12921629544086244,-0.3070774888918778,0.8218850486499584,,,,,0.920243,0.115013,-0.347329,0.6879,1.4203295440862433
R01,validation,0.03805439575320957,0.012558927936274333,-0.16253522829981615,0.1618887498877912,,,,,-0.13228,-0.046308,-0.203617,-0.2625,5.886692793627433
R01,oos,0.08057311389712973,0.0262337120595042,-0.171527000086383,0.3026345552710253,,,,,0.124156,0.039884,-0.138499,0.4467,-1.3650287940495804
R01,holdout,-0.04757755012416398,-0.08517589303235307,-0.11583250883904495,-0.3926988782232167,,,,,-0.021178,-0.037781,-0.098973,-0.1093,-4.739489303235307
R01,full,1.3551261354469974,0.07402733215817126,-0.3070774888918778,0.564449362102045,,,,,0.865768,0.053372,-0.350454,0.4195,2.0655332158171253
R02,train,0.4645682860685054,0.06573643382223326,-0.4273247436818767,0.43589160121134884,,,,,0.205716,0.031707,-0.487224,0.2581,3.4029433822233264
R02,validation,0.10108251874141105,0.032702025820759095,-0.1711725517860111,0.28591591745276945,,,,,0.157629,0.05013,-0.17152,0.385,-1.7427974179240906
R02,oos,0.21637252180768063,0.06764501452054716,-0.15309043171364978,0.5878984749437013,,,,,0.131629,0.042189,-0.130125,0.4758,2.5456014520547168
R02,holdout,-0.0039047425174550954,-0.00711953001042287,-0.09918957315774923,0.059153330773815294,,,,,-0.021178,-0.037781,-0.098973,-0.1093,3.0661469989577133
R02,full,0.9880825626060121,0.058963248338505414,-0.43469896233324756,0.43029336357291625,,,,,0.680913,0.044249,-0.507584,0.3378,1.4714248338505418
R03,train,0.9878445499569823,0.12146880854831554,-0.614133836793895,0.5243352382820772,153.0,2062.0,94.0,153.0,0.489374,0.058671,-0.639306,0.3495,6.279780854831555
R03,validation,1.2825830020414926,0.3175773730232556,-0.24661629014668196,1.3006661868176432,153.0,991.0,4.0,153.0,,,,,
R03,oos,0.7778642294067788,0.21201812142411325,-0.24961642317092925,0.9093055923622564,153.0,895.0,0.0,153.0,1.356646,0.331712,-0.316382,1.3422,-11.969387857588675
R03,holdout,-0.1103946934812785,-0.19235280792967213,-0.16564702319461777,-0.8380421643744711,153.0,177.0,0.0,153.0,,,,,
R03,full,5.358339230635706,0.16674478809933335,-0.614133836793895,0.6737722891646268,153.0,4175.0,98.0,153.0,9.025661,0.194202,-0.639306,0.7763,-2.745721190066666
R04,train,-0.1547202361373936,-0.027656944376691972,-0.43004789816789113,-0.14877264070936674,153.0,1127.0,26.0,55.0,-0.022276,-0.003752,-0.174303,-0.0213,-2.3904944376691972
R04,validation,0.18702462439507683,0.05896682923423091,-0.23530466688435026,0.44469478271540375,153.0,914.0,1.0,55.0,0.03588,0.01185,-0.138988,0.1899,4.7116829234230915
R04,oos,0.3174065940785047,0.09649591093332499,-0.2397561974189939,0.6083921261915004,153.0,835.0,0.0,55.0,0.078911,0.025706,-0.045555,0.5564,7.078991093332498
R04,holdout,-0.08419297605497744,-0.14838265066004197,-0.1686919413305592,-0.9951229743941463,153.0,147.0,0.0,55.0,-0.006456,-0.011587,-0.021215,-0.4115,-13.679565066004196
R04,full,0.27354571497754043,0.020364185649925703,-0.43004789816789113,0.2132364440109312,153.0,2862.0,27.0,55.0,0.080593,0.006483,-0.206114,0.1315,1.3881185649925705
R05,train,0.12707883302869072,0.020161520209833084,-0.7264036585707363,0.20622332771230628,153.0,2619.0,91.0,145.0,0.433853,0.061974,-0.705634,0.3962,-4.181247979016692
R05,validation,0.07806009167330252,0.025435542679136836,-0.2363712271941284,0.2304285075314462,153.0,1361.0,0.0,145.0,0.360942,0.108474,-0.170892,0.6502,-8.303845732086316
R05,oos,0.12072981869771926,0.03882363978541603,-0.27051079607212436,0.31992815601987107,153.0,1343.0,2.0,145.0,0.541858,0.155684,-0.162716,1.0166,-11.686036021458396
R05,holdout,-0.15443714814354748,-0.2638773337783801,-0.19851208719470714,-2.038743461142624,153.0,233.0,0.0,145.0,-0.159538,-0.268544,-0.235999,-1.9657,0.46666662216199306
R05,full,0.144727356595431,0.011332751042659073,-0.7673495277223437,0.16229780026886723,153.0,5368.0,93.0,145.0,1.845984,0.091114,-0.705634,0.5546,-7.9781248957340924
R06,train,1.0741031971742903,0.12944572892796158,-0.4407260618662071,0.7403524127123252,153.0,1471.0,58.0,153.0,1.139986,0.135354,-0.425061,0.7714,-0.5908271072038423
R06,validation,0.05958495723377699,0.019529215362803276,-0.11215296264238106,0.22908354182674476,153.0,561.0,0.0,153.0,0.034566,0.011421,-0.114945,0.159,0.8108215362803275
R06,oos,0.39025298582634194,0.11639518328750809,-0.1081884609122401,0.9416544085515018,153.0,713.0,0.0,153.0,0.375349,0.112381,-0.111089,0.9174,0.40141832875080913
R06,holdout,-0.019361914066070574,-0.03507653823556833,-0.11411392863483605,-0.24642400600525466,153.0,137.0,0.0,153.0,-0.017925,-0.032021,-0.112355,-0.2263,-0.30555382355683325
R06,full,1.8562177200023933,0.09144020777066553,-0.45624875479631744,0.6269160337757357,153.0,2925.0,58.0,153.0,1.826839,0.0905,-0.433322,0.6241,0.09402077706655299
R07,train,-0.5950558863631819,-0.14001452183836027,-0.8561881293917835,-0.4492339703685003,153.0,2422.0,166.0,143.0,-0.08624,-0.014936,-0.685805,0.0927,-12.507852183836027
R07,validation,0.1271917519663026,0.04082139214513125,-0.33626017702268995,0.2924042408050066,153.0,1299.0,2.0,143.0,0.659714,0.184483,-0.257723,0.8501,-14.366160785486876
R07,oos,-0.34359363001473586,-0.1312311037121695,-0.5077604726641436,-0.6111541785170006,153.0,1155.0,1.0,143.0,0.119577,0.038466,-0.31543,0.2988,-16.96971037121695
R07,holdout,-0.038630962210413955,-0.06942131301196808,-0.17320565113255304,-0.30342032188714335,153.0,193.0,0.0,143.0,0.04123,0.075403,-0.111737,0.4974,-14.482431301196808
R07,full,-0.7487735342190364,-0.10878471633262976,-0.9029739986427624,-0.42821398033914077,153.0,4222.0,169.0,143.0,0.60626,0.040301,-0.685805,0.2886,-14.908571633262977
R08,train,1.7866939166087383,0.1864959653154159,-0.3480325755398931,0.8872222290356,153.0,1358.0,30.0,151.0,2.013466,0.202086,-0.375593,0.9406,-1.5590034684584086
R08,validation,0.32784742290229385,0.09939225316648703,-0.22984820908254555,0.6106076702318476,153.0,545.0,0.0,151.0,0.460082,0.134829,-0.171203,0.8223,-3.543674683351297
R08,oos,0.6105306366620527,0.1726360523649415,-0.12379644907878484,1.1093157441834016,153.0,410.0,1.0,151.0,0.68045,0.189408,-0.133465,1.198,-1.6771947635058488
R08,holdout,0.008798435305489738,0.016126518136527324,-0.0988668668947037,0.18617483836970958,153.0,70.0,0.0,151.0,0.004133,0.007449,-0.102822,0.1258,0.8677518136527322
R08,full,4.237131686697123,0.14802623920310043,-0.3480325755398931,0.7928156333747987,153.0,2690.0,31.0,151.0,5.631574,0.170845,-0.375593,0.8958,-2.281876079689957
R09,train,0.8208794253891314,0.10517166452082405,-0.4983244950195185,0.5081338156090328,153.0,1186.0,66.0,146.0,1.040267,0.12635,-0.532588,0.5699,-2.117833547917594
R09,validation,0.0223961723735715,0.0074290555677776204,-0.25533376329265123,0.13131029743919986,153.0,483.0,1.0,146.0,0.181913,0.057441,-0.204471,0.4162,-5.0011944432222375
R09,oos,0.4205377865117099,0.12446373725479631,-0.14210191418135243,0.8382520112561374,153.0,423.0,1.0,146.0,0.447887,0.131652,-0.132107,0.9215,-0.7188262745203677
R09,holdout,-0.008775074889503909,-0.015967355298043495,-0.09437856934427369,-0.04773980940846328,153.0,72.0,0.0,146.0,0.034971,0.0638,-0.071488,0.5154,-7.976735529804349
R09,full,1.6600375296194678,0.08498435951167282,-0.4983244950195185,0.4729210027989597,153.0,2290.0,68.0,146.0,2.224715,0.102538,-0.532588,0.5352,-1.755364048832718
R10,train,1.987010658960716,0.20031874388211346,-0.5637913061968362,0.8893897786232935,153.0,1863.0,149.0,153.0,4.019202,0.308898,-0.415457,1.2008,-10.857925611788655
R10,validation,1.1553498360090066,0.2925647314739108,-0.227852766681526,1.5517090417056774,153.0,869.0,2.0,153.0,1.39593,0.33909,-0.244526,1.7394,-4.6525268526089185
R10,oos,1.5210648632709352,0.36206595071392256,-0.2666585322839443,1.4882330314083936,153.0,764.0,2.0,153.0,1.677538,0.389752,-0.281309,1.5828,-2.768604928607743
R10,holdout,0.047774879145570326,0.0889662044312749,-0.11572972648299784,0.5051304034514873,153.0,178.0,1.0,153.0,0.041527,0.075955,-0.14307,0.4536,1.3011204431274903
R10,full,14.440144431036117,0.2563177616624246,-0.5637913061968362,1.117886408668548,153.0,3762.0,153.0,153.0,31.350555,0.336229,-0.415457,1.3509,-7.991123833757541
R11,train,1.980618034642831,0.19988973036257818,-0.3870378662614471,0.9739405598279264,153.0,1493.0,60.0,146.0,2.74828,0.24666,-0.403545,1.0364,-4.677026963742181
R11,validation,0.5090299251158921,0.14740257271817359,-0.12822554475363945,0.9165258705182557,153.0,730.0,0.0,146.0,0.412851,0.122427,-0.142936,0.7793,2.4975572718173593
R11,oos,0.7571354113933155,0.2072773549520559,-0.11654423888709065,1.330354663846024,153.0,759.0,2.0,146.0,0.71399,0.197289,-0.128505,1.2592,0.9988354952055911
R11,holdout,-0.07873408862078823,-0.13908929240405365,-0.15996561348791882,-0.8808034155352431,153.0,100.0,0.0,146.0,-0.076381,-0.133212,-0.159539,-0.845,-0.5877292404053658
R11,full,6.368809362554769,0.18118006461711533,-0.3870378662614471,0.9742675125578591,153.0,3261.0,62.0,146.0,7.553667,0.195955,-0.403545,0.9651,-1.4774935382884657
R12,train,1.863097139835285,0.1918629070704203,-0.3724961282492971,0.9721670350921905,153.0,1438.0,48.0,146.0,0.831889,0.106284,-0.312715,0.7642,8.55789070704203
R12,validation,0.2923422799355775,0.08947999459079292,-0.15526480909632956,0.6456903841611357,153.0,682.0,0.0,146.0,0.221343,0.069101,-0.14243,0.6402,2.0378994590792927
R12,oos,0.8804389485105668,0.23495109360924493,-0.11700696202349503,1.4383217748450572,153.0,611.0,1.0,146.0,0.53761,0.154619,-0.083686,1.3391,8.033209360924493
R12,holdout,-0.07873408862078823,-0.13908929240405365,-0.15996561348791882,-0.8808034155352431,153.0,100.0,0.0,146.0,-0.076381,-0.133212,-0.159539,-0.845,-0.5877292404053658
R12,full,5.266899741474326,0.16533659439528225,-0.3724961282492971,0.9304327751301695,153.0,2993.0,49.0,146.0,2.162266,0.100742,-0.312715,0.7798,6.459459439528226
R13,train,0.3301931737508834,0.04875981698160925,-0.3348694026445259,0.3611715764068977,153.0,1188.0,68.0,83.0,0.418375,0.060053,-0.254639,0.4289,-1.1293183018390753
R13,validation,-0.20443390491729774,-0.07357815123318812,-0.4829839735171655,-0.34073208414200784,153.0,698.0,1.0,83.0,-0.157737,-0.05575,-0.492707,-0.2289,-1.7828151233188114
R13,oos,-0.06039984641304652,-0.020603980681706435,-0.23586485214297126,-0.06581528667816634,153.0,585.0,0.0,83.0,-0.076656,-0.026299,-0.230525,-0.1127,0.5695019318293564
R13,holdout,0.11635895440079969,0.22264900780883523,-0.09053232280043,1.4743521436596683,153.0,81.0,0.0,83.0,0.10036,0.18777,-0.100353,1.378,3.487900780883524
R13,full,0.2058538724516943,0.01572852622590637,-0.5747006489713042,0.18040443878248397,153.0,2661.0,69.0,83.0,0.421587,0.029762,-0.591813,0.2554,-1.403347377409363
