字段,可比行,一致占比,中位差,最大差,判定
距一年低点涨幅,272,0.9889705882352942,0.00013345496582872762,0.11870141720499072,一致
近120日收益,272,0.9816176470588235,8.353743355443699e-05,0.07554058937547237,一致
MA20持续度,272,0.9742647058823529,0.0,0.008333333333333415,一致
距一年高点价格差,272,1.0,2.7335039807230288e-05,0.0005579154617592064,一致
平台深度,118,0.9745762711864406,3.591778466560669e-05,0.056178013882404176,一致
平台缩量比,118,0.9067796610169492,2.107306135146203e-08,0.09633582555098297,不一致
平台收敛比,118,0.864406779661017,7.939753511615466e-05,0.10013036779592221,不一致
RPS60,272,1.0,0.10572156313534364,0.9316380126003168,一致
RPS250,272,1.0,0.07857034510399252,1.6641902870096956,一致
收盘价·300308,67,,1.0000044773928525,8.36663733797191e-05,一致
收盘价·300476,69,,0.999997057791754,0.00012618264275104316,一致
收盘价·300750,68,,1.0036217572193864,1.301038154293425e-05,一致
收盘价·600066,68,,0.999996955930064,0.0003021150038855677,一致
