year,code,side,本面板年收益,原因
2014,200018,仅本面板,1.3018867924528301,未归类
2014,200418,仅本面板,3.4423076923076925,未归类
2015,200054,仅本面板,1.4594594594594592,未归类
2015,200152,仅本面板,1.171376481312671,未归类
2015,200418,仅本面板,1.383116883116883,未归类
2015,200771,仅本面板,1.4864864864864864,未归类
2015,200986,仅本面板,1.4207792207792207,未归类
2015,302132,仅本面板,1.1032448377581123,未归类
2017,200418,仅本面板,1.1693958215697347,未归类
2023,302132,仅本面板,3.2680514342235414,未归类
2014,600452,仅普查,1.0,边界(|收益−100%|<1%)
2014,601866,仅本面板,1.00497512437811,边界(|收益−100%|<1%)
2021,300181,仅普查,1.0,边界(|收益−100%|<1%)
2023,600133,仅普查,1.0,边界(|收益−100%|<1%)
2024,300067,仅普查,1.0,边界(|收益−100%|<1%)
2025,600698,仅普查,1.0,边界(|收益−100%|<1%)
