分层,持有期,n,事件收益,对照中位,超额pp,年化超额pp,p
无门槛,5,26042,0.00808934950191707,0.0042337512131670665,0.3855598288750003,26.085831729105745,0.004975124378109453
无门槛,20,26042,0.027966828945791448,0.02506634775867308,0.29004811871183694,4.8989858766502525,0.004975124378109453
无门槛,60,26042,0.06165167443207908,0.05567066028175556,0.5981014150323517,2.9851397257063317,0.004975124378109453
无门槛,120,26042,0.0901911394580049,0.07911626443722097,1.1074875020783927,2.519589529803956,0.004975124378109453
无门槛,250,26042,0.16740542112905166,0.15559291387833762,1.1812507250714033,1.1812507250714033,0.004975124378109453
RPS50≥50,5,22697,0.007357652387681954,0.004832590130204771,0.25250622574771836,17.014659160202772,0.004975124378109453
RPS50≥50,20,22697,0.021815824448967826,0.0212217027799021,0.0594121669065726,0.9486787008954112,0.11442786069651742
RPS50≥50,60,22697,0.05165491231383574,0.048720932205219294,0.2933980108616445,1.4275536992871318,0.01990049751243781
RPS50≥50,120,22697,0.08462019021172112,0.07668295872106307,0.7937231490658059,1.7985426001491778,0.004975124378109453
RPS50≥50,250,22697,0.16087195594588216,0.15095610879785107,0.9915847148031093,0.9915847148031176,0.004975124378109453
RPS50≥80,5,13115,0.006634902169734094,0.004589985329466788,0.20449168402673062,13.456215573813402,0.004975124378109453
RPS50≥80,20,13115,0.016772231876206068,0.019144890061529887,-0.23726581853238185,-3.6395961733953985,1.0
RPS50≥80,60,13115,0.03746921180218823,0.03946022434240962,-0.19910125402213888,-0.9349112925017389,0.9502487562189055
RPS50≥80,120,13115,0.07228154842251779,0.06993069504158224,0.2350853380935547,0.5275976560410456,0.10945273631840796
RPS50≥80,250,13115,0.1622953272194462,0.15509276379841727,0.7202563421028929,0.7202563421029096,0.01990049751243781
RPS50≥90,5,5904,0.006366910708433618,0.004880233085668569,0.1486677622765049,9.78625693333781,0.004975124378109453
RPS50≥90,20,5904,0.012851522450265683,0.02019670835266857,-0.7345185902402885,-11.088690730547945,1.0
RPS50≥90,60,5904,0.029576403347985492,0.04127570020528304,-1.1699296857297548,-5.443039437923769,1.0
RPS50≥90,120,5904,0.05620290970591914,0.06776456454913919,-1.1561654843220053,-2.5708297159684923,1.0
RPS50≥90,250,5904,0.1502945918396962,0.15892392961501345,-0.8629337775317242,-0.862933777531727,0.9601990049751243
