分层,持有期,n,事件收益,对照中位,超额pp,年化超额pp,p
无门槛,5,27204,0.007992845022991217,0.004286585758926124,0.37062592640650927,25.046062909809088,0.004975124378109453
无门槛,20,27204,0.02687215155409523,0.024365170726835556,0.2506980827259673,4.191911397972992,0.004975124378109453
无门槛,60,27204,0.06007354244702321,0.05467741689144652,0.5396125555576691,2.6828719738631213,0.004975124378109453
无门槛,120,27204,0.08848337737066665,0.0787118237426292,0.9771553628037457,2.220732352429633,0.004975124378109453
无门槛,250,27204,0.16725186200752926,0.15627195043671097,1.097991157081829,1.0979911570818235,0.004975124378109453
RPS50≥50,5,23659,0.007364706714393223,0.004899073567289896,0.2465633147103327,16.643506891501893,0.004975124378109453
RPS50≥50,20,23659,0.02100522047999983,0.020449869348188217,0.05553511318116128,0.8789039558072531,0.17412935323383086
RPS50≥50,60,23659,0.05006331856291992,0.04746588688206241,0.2597431680857514,1.258386506067155,0.009950248756218905
RPS50≥50,120,23659,0.08270392555717965,0.07614576427044667,0.6558161286732977,1.4842236934999198,0.004975124378109453
RPS50≥50,250,23659,0.1604435860439335,0.15150255658831685,0.8941029455616645,0.89410294556167,0.004975124378109453
RPS50≥70,5,18578,0.00705137113259966,0.004535753347265031,0.25156177853346295,16.70377355423984,0.004975124378109453
RPS50≥70,20,18578,0.017834215706925824,0.018627879743990265,-0.07936640370644413,-1.22118341830586,0.8955223880597015
RPS50≥70,60,18578,0.042232734725623895,0.04178877398515733,0.044396074046656325,0.2107311085785657,0.30845771144278605
RPS50≥70,120,18578,0.07533452843379547,0.07237782177612054,0.2956706657674932,0.6654140648495455,0.029850746268656716
RPS50≥70,250,18578,0.1574577465050702,0.15398248466804831,0.3475261837021876,0.3475261837021737,0.12437810945273632
RPS50≥75,5,16441,0.006851474426843202,0.004574063103874967,0.22774113229682347,15.06100456673536,0.004975124378109453
RPS50≥75,20,16441,0.017247588495920365,0.01832695332413791,-0.1079364828217546,-1.652480735684736,0.9353233830845771
RPS50≥75,60,16441,0.04004378287403331,0.04018539026147224,-0.014160738743893009,-0.066829020591741,0.5572139303482587
RPS50≥75,120,16441,0.07484265288616233,0.0719747962666166,0.2867856619545736,0.6451268090547302,0.04477611940298507
RPS50≥75,250,16441,0.16185024829611414,0.15671626161333835,0.5133986682775787,0.513398668277576,0.05970149253731343
RPS50≥80,5,13540,0.006712011294978564,0.004487212230021509,0.22247990649570548,14.631836979701829,0.004975124378109453
RPS50≥80,20,13540,0.01607741466953059,0.018524870275108758,-0.24474556055781688,-3.7265512945362067,1.0
RPS50≥80,60,13540,0.03656100596686033,0.03874682940823433,-0.21858234413740033,-1.0238525124448339,0.9502487562189055
RPS50≥80,120,13540,0.070800661237559,0.06970159101589926,0.10990702216597398,0.2464489885702692,0.29850746268656714
RPS50≥80,250,13540,0.16151460804095097,0.1551142199525518,0.6400388088399156,0.6400388088398934,0.04477611940298507
RPS50≥90,5,6027,0.006772766038930375,0.00473289713649392,0.20398689024364547,13.515099824688527,0.004975124378109453
RPS50≥90,20,6027,0.011762421189278734,0.01967182246074901,-0.7909401271470277,-11.832404275747187,1.0
RPS50≥90,60,6027,0.028168598068711484,0.0396228533328701,-1.1454255264158615,-5.304126384643881,1.0
RPS50≥90,120,6027,0.053061433044380074,0.0669891612228671,-1.392772817848703,-3.090759710514246,1.0
RPS50≥90,250,6027,0.1473501623342506,0.15786480603282332,-1.0514643698572717,-1.05146436985728,0.9651741293532339
