样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,平台信号,质量等级,距一年低点涨幅,近120日收益,MA20持续度,RPS60,RPS250,距一年高点价格差,周线结构,平台深度,平台缩量比,平台收敛比,R09核心质量分,信号理由
平台突破日,2022-01-04,002059,云南旅游,6.61,0,无信号,平台突破（研究）,缺失,0.5700712589073635,0.2711538461538461,0.4,88.86814469078179,76.84021543985638,0.0,突破启动,0.34039333,0.717194,0.6666667,,反弹≥40%；120日收益≥10%；RPS60=88.9
平台突破日,2022-01-04,600303,曙光股份,4.86,0,无信号,平台突破（研究）,缺失,0.41279069767441867,0.2722513089005236,0.475,88.19136522753791,29.879456270838677,0.0,突破启动,0.32591093,0.2710778,0.5129454,,反弹≥40%；120日收益≥10%；RPS60=88.2
平台突破日,2022-01-04,600769,祥龙电业,6.91,0,无信号,平台突破（研究）,缺失,0.8328912466843501,0.09856915739268679,0.5666666666666667,82.03033838973163,66.09387022313413,-0.18514150943396224,多头趋势,0.28242075,0.57846206,0.6946316,,反弹≥40%；MA20持续度≥55%；RPS60=82.0
平台突破日,2022-01-04,002703,浙江世宝,6.49,0,无信号,平台突破（研究）,中,0.36344537815126055,0.16936936936936942,0.475,81.26021003500583,53.37265965632213,-0.08591549295774636,多头趋势,0.3028065,0.54232275,0.6674092,0.38808572876262476,120日收益≥10%；RPS60=81.3
平台突破日,2022-01-04,000404,长虹华意,3.99,0,无信号,平台突破（研究）,中,0.3664383561643836,0.26265822784810133,0.675,73.58226371061843,27.80200051295204,-0.07852193995381063,多头趋势,0.28960395,0.40538624,0.5367861,0.42428541748807624,120日收益≥10%；MA20持续度≥55%；RPS60=73.6
平台突破日,2022-01-04,600258,,24.88,0,无信号,平台突破（研究）,中,0.4524226503210742,0.16807511737089187,0.5166666666666667,72.29871645274213,65.14490895101308,-0.057932601287391194,多头趋势,0.15915437,0.5957242,0.6560479,0.5259203172385655,反弹≥40%；120日收益≥10%；RPS60=72.3
平台突破日,2022-01-04,002103,广博股份,5.09,0,无信号,平台突破（研究）,缺失,0.4178272980501392,0.18925233644859807,0.4583333333333333,71.62193698949825,58.502180046165684,-0.005859375,多头趋势,0.24084778,0.7704187,0.65837103,,反弹≥40%；120日收益≥10%；RPS60=71.6
平台突破日,2022-01-04,002235,安妮股份,5.61,0,无信号,平台突破（研究）,缺失,0.7753164556962024,0.19108280254777088,0.44166666666666665,68.77479579929988,61.092587843036675,-0.06810631229235864,多头趋势,0.30717862,0.36340624,0.48241127,,反弹≥40%；120日收益≥10%；RPS60=68.8
平台突破日,2022-01-04,002566,益盛药业,9.4,0,无信号,平台突破（研究）,缺失,0.8111753371868977,0.24833997343957503,0.5,66.0676779463244,79.58450884842267,0.0,多头趋势,0.293617,0.42198098,0.6402981,,反弹≥40%；120日收益≥10%；RPS60=66.1
平台突破日,2022-01-04,600613,神奇制药,5.91,0,无信号,平台突破（研究）,中,0.6601123595505618,0.21106557377049184,0.5416666666666666,61.423570595099186,68.99204924339574,-0.008389261744966459,多头趋势,0.29032257,0.66864693,0.60803515,0.5157102888183935,反弹≥40%；120日收益≥10%；RPS60=61.4
平台突破日,2022-01-04,600313,农发种业,5.8,0,无信号,平台突破（研究）,缺失,0.34259259259259256,0.26637554585152823,0.65,56.80280046674445,25.570659143370094,-0.07790143084260737,多头趋势,0.2724138,0.41279793,0.4577945,,120日收益≥10%；MA20持续度≥55%；RPS60=56.8
平台突破日,2022-01-04,603885,吉祥航空,17.35,0,无信号,平台突破（研究）,缺失,0.8615879828326181,0.25998547567175034,0.49166666666666664,56.429404900816806,85.91946652987946,-0.0051605504587155515,多头趋势,0.2129736,0.61894745,0.79353267,,反弹≥40%；120日收益≥10%；RPS60=56.4
平台突破日,2022-01-04,600012,皖通高速,5.65,0,无信号,平台突破（研究）,高,0.3516746411483256,0.2021276595744681,0.5666666666666667,53.955659276546086,66.0425750192357,-0.02249134948096887,多头趋势,0.24077329,0.6498249,0.7837637,0.7736790888002789,120日收益≥10%；MA20持续度≥55%；RPS60=54.0
平台突破日,2022-01-04,002693,双成药业,4.88,0,无信号,平台突破（研究）,缺失,0.39428571428571435,0.18159806295399505,0.6416666666666667,33.69894982497083,48.29443447037702,-0.008130081300813052,多头趋势,0.25450903,0.74696827,0.626163,,120日收益≥10%；MA20持续度≥55%；RPS60=33.7
平台突破日,2022-01-04,000506,招金黄金,3.53,0,无信号,平台突破（研究）,缺失,0.7389162561576355,0.575892857142857,0.475,30.385064177362892,78.09694793536805,-0.21380846325167047,回踩修复,0.18732782,0.2373352,0.42982456,,反弹≥40%；120日收益≥10%；RPS60=30.4
平台突破日,2022-01-04,600777,新潮能源,2.3,0,无信号,平台突破（研究）,中,0.6911764705882351,0.49350649350649345,0.5083333333333333,6.861143523920653,78.50730956655553,-0.217687074829932,多头趋势,0.1764706,0.4139548,0.4553734,0.5489198835520528,反弹≥40%；120日收益≥10%；RPS60=6.9
平台突破日,2022-01-04,000833,粤桂股份,5.55,0,无信号,平台突破（研究）,高,0.7675159235668789,0.563380281690141,0.48333333333333334,4.014002333722287,81.14901256732495,-0.31481481481481477,回踩修复,0.1445993,0.52722615,0.38614655,0.7447701086815064,反弹≥40%；120日收益≥10%；RPS60=4.0
平台突破日,2022-01-04,300158,振东制药,6.61,1,标准确认,平台突破（研究）,中,1.1185897435897436,0.17825311942959,0.55,88.49474912485414,81.73890741215696,0.0,多头趋势,0.32706222,0.5478374,0.7302627,0.4326584605025559,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=88.5
平台突破日,2022-01-04,300354,东华测试,37.59,1,标准确认,平台突破（研究）,中,2.274390243902439,0.7731132075471701,0.6083333333333333,86.41773628938157,97.35829699923057,-0.14178082191780805,多头趋势,0.21138614,0.50284415,0.6168129,0.6443151512710572,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=86.4
平台突破日,2022-01-04,002516,旷达科技,5.93,1,标准确认,平台突破（研究）,中,1.3625498007968129,0.27253218884120156,0.6333333333333333,86.32438739789964,88.8689407540395,0.0,多头趋势,0.29304636,0.48941302,0.75013787,0.3749635349253695,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=86.3
平台突破日,2022-01-04,300161,华中数控,31.19,0,观察级,平台突破（研究）,缺失,0.9567126725219575,0.6227887617065557,0.55,78.83313885647608,88.76635034624263,-0.12140845070422535,多头趋势,0.27701005,0.774043,0.63830394,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=78.8
