样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
平台突破日,2022-01-04,002059,云南旅游,6.61,0,无信号,反弹≥40%；120日收益≥10%；RPS60=89.0,,0,未触发,平台突破（研究）,False,缺失,突破启动,0.5700712589073635,0.2711538461538461,0.4,89.00619692448932,77.15365239294711,0.0,0.34039333,0.717194,0.6666667,
平台突破日,2022-01-04,600303,曙光股份,4.86,0,无信号,反弹≥40%；120日收益≥10%；RPS60=88.3,,0,未触发,平台突破（研究）,False,缺失,突破启动,0.41279069767441867,0.2722513089005236,0.475,88.34060133119118,29.647355163727962,0.0,0.32591093,0.2710778,0.5129454,
平台突破日,2022-01-04,600769,祥龙电业,6.91,0,无信号,反弹≥40%；MA20持续度≥55%；RPS60=82.3,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.8328912466843501,0.09856915739268679,0.5666666666666667,82.25843470277714,66.57430730478589,-0.18514150943396224,0.28242075,0.57846206,0.6946316,
平台突破日,2022-01-04,002703,浙江世宝,6.49,0,无信号,120日收益≥10%；RPS60=81.5,,0,未触发,平台突破（研究）,True,中,多头趋势,0.36344537815126055,0.16936936936936942,0.475,81.50103282074822,54.10579345088161,-0.08591549295774636,0.3028065,0.54232275,0.6674092,0.38808572876262476
平台突破日,2022-01-04,000404,长虹华意,3.99,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=73.9,,0,未触发,平台突破（研究）,True,中,多头趋势,0.3664383561643836,0.26265822784810133,0.675,73.94996557264173,27.632241813602015,-0.07852193995381063,0.28960395,0.40538624,0.5367861,0.42428541748807624
平台突破日,2022-01-04,600258,,24.88,0,无信号,反弹≥40%；120日收益≥10%；RPS60=72.7,,0,未触发,平台突破（研究）,True,中,多头趋势,0.4524226503210742,0.16807511737089187,0.5166666666666667,72.68762910259353,65.64231738035264,-0.057932601287391194,0.15915437,0.5957242,0.6560479,0.5259203172385655
平台突破日,2022-01-04,002103,广博股份,5.09,0,无信号,反弹≥40%；120日收益≥10%；RPS60=72.0,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.4178272980501392,0.18925233644859807,0.4583333333333333,72.0220335092954,59.1183879093199,-0.005859375,0.24084778,0.7704187,0.65837103,
平台突破日,2022-01-04,002235,安妮股份,5.61,0,无信号,反弹≥40%；120日收益≥10%；RPS60=69.2,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7753164556962024,0.19108280254777088,0.44166666666666665,69.19899013082396,61.66246851385391,-0.06810631229235864,0.30717862,0.36340624,0.48241127,
平台突破日,2022-01-04,002566,益盛药业,9.4,0,无信号,反弹≥40%；120日收益≥10%；RPS60=66.5,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.8111753371868977,0.24833997343957503,0.5,66.5366077576314,79.87405541561714,0.0,0.293617,0.42198098,0.6402981,
平台突破日,2022-01-04,600613,神奇制药,5.91,0,无信号,反弹≥40%；120日收益≥10%；RPS60=61.9,,0,未触发,平台突破（研究）,True,中,多头趋势,0.6601123595505618,0.21106557377049184,0.5416666666666666,61.9462933210925,69.42065491183878,-0.008389261744966459,0.29032257,0.66864693,0.60803515,0.5157102888183935
