代码,日期,他_信号类型,我_信号类型,他_平台信号,我_平台信号,他_周线,我_周线,他_质量分,我_质量分
300308,2021-01-29,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6203475181988425,0.5217974542300446
300476,2021-01-29,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.6690613208872987,0.5864907542509734
300750,2021-01-29,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6039163945738896,0.5251872038410328
600066,2021-01-29,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.39059917823791396,0.3030257040220395
300308,2021-02-26,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.619362569263741,0.51934667626801
300476,2021-02-26,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.6676414669428083,0.5854244216110329
300750,2021-02-26,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6035609574251892,0.5243440480044995
600066,2021-02-26,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.3898735840296983,0.3028421034995643
300308,2021-03-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6118551062959778,0.4980278111011286
300476,2021-03-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.6614546710223822,0.2691647641267928
300750,2021-03-31,观察级,观察级,无平台信号,无平台信号,回踩修复,回踩修复,0.5987715816198135,0.5155906131952417
600066,2021-03-31,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.3887026443413689,0.32903135098882536
300750,2021-04-23,观察级,观察级,平台突破（研究）,平台突破（研究）,多头趋势,多头趋势,0.5795241260545934,0.5074939631203712
300308,2021-04-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5984987981258104,0.29939608635294757
300476,2021-04-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.3615262631977716,0.6247808247430913
300750,2021-04-30,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.6405923992450488,0.6764726218692342
600066,2021-04-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.39770227774875194,
300308,2021-05-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.38139417773786355,0.2985974638573802
300476,2021-05-31,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.6821463437239174,0.6234248662147223
300750,2021-05-31,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.712740637336305,0.6750833177455617
600066,2021-05-31,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.3912827749537683,
300308,2021-06-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.38100634787456644,0.29832657123369205
300476,2021-06-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.6827167985262641,0.622902049436954
300750,2021-06-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7126519309627435,0.6746203798015369
600066,2021-06-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.3922921855422693,
300308,2021-07-30,无信号,无信号,无平台信号,无平台信号,突破启动,突破启动,0.3841833395576323,0.29738494955143174
300476,2021-07-30,无信号,无信号,无平台信号,无平台信号,突破启动,突破启动,,0.6173283461002353
300750,2021-07-30,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7136416086033038,0.6724653863777618
600066,2021-07-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.3969364300786859,
300308,2021-08-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.3742518971753215,0.3361174956263267
300476,2021-08-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.6352929603360951,0.6309678258718827
300750,2021-08-31,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.6693127146831821,0.7093631277356923
600066,2021-08-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.4824733875094359,0.4127367837051309
300308,2021-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.4257336354454339,0.33290660843000586
300476,2021-09-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.6854075479562887,0.6292990536353054
300750,2021-09-30,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.7364977200902245,0.7069199000484153
600066,2021-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.468488014731236,0.4111963102338094
300308,2021-10-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.4265348468915227,0.33168365844649467
300476,2021-10-29,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.6849668388497485,0.6282088410449154
300750,2021-10-29,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7359778241213684,0.7042969337913167
600066,2021-10-29,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.46898131505043783,0.40970030978938143
300308,2021-11-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.473894072279037,0.37428635005462096
300476,2021-11-30,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7167070782452378,0.6527199336710557
300750,2021-11-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7836177363500055,0.7502329756407651
600066,2021-11-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.495966456522158,0.4293874938971624
300308,2021-12-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.4747059657389518,0.37501789972317834
300476,2021-12-31,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.7175193536060931,0.6543567233782858
300750,2021-12-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.783832145413208,0.7509489497514794
600066,2021-12-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.49476642492197154,0.42899146393343573
300308,2022-01-28,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.4752021902686892,0.3749050526177044
300476,2022-01-28,无信号,无信号,平台观察,平台观察,回踩修复,回踩修复,0.7179088208961671,0.654302057125465
300750,2022-01-28,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7838051440571006,0.7507162741036844
600066,2022-01-28,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.49496154814346804,0.4288931032886638
300308,2022-02-28,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.4756184067717583,0.37328054434594266
300476,2022-02-28,无信号,无信号,平台观察,平台观察,回踩修复,回踩修复,0.7178211764745362,0.6522657263532227
300750,2022-02-28,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7839391493810922,0.7498200848444725
600066,2022-02-28,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.49413421869526075,0.4280995657839739
