规则,段,口径,事件,基准,选中,覆盖率,启动率,lift,噪音上界95,召回,中位,p75,p90,超200%占比,零成本年化,双边0.2%年化,对照年化中位,超额pp,p,回撤,每月中位只数
Codex 统一信号1(标准+强确认),训练段 2019–2022(只报数),概率,50106.0,0.11561489641959047,5014.0,0.10006785614497266,0.13482249700837654,1.166134306076595,1.0627175136959857,0.11669255998619023,,,,,,,,,,,
Codex 统一信号1(标准+强确认),**留出段 2023-01–2026-04(判据在这里)**,概率,56347.0,0.10156707544323566,5555.0,0.0985855502511225,0.14923492349234924,1.4693238221253542,1.065481321677511,0.1448540975013105,,,,,,,,,,,
Codex 强确认(RPS60≥90),训练段 2019–2022(只报数),概率,50106.0,0.11561489641959047,3080.0,0.06146968426934898,0.15,1.2974106680476436,1.0785077209170941,0.0797514241325738,,,,,,,,,,,
Codex 强确认(RPS60≥90),**留出段 2023-01–2026-04(判据在这里)**,概率,56347.0,0.10156707544323566,3313.0,0.05879638667542194,0.15212798068216118,1.4978080250738661,1.070011467118741,0.08806569980779312,,,,,,,,,,,
第一四八节规则(距低点前30% 且 换手加速前30%),训练段 2019–2022(只报数),概率,50106.0,0.11561489641959047,5073.0,0.10124535983714525,0.1506012221565149,1.3026108816458373,1.0574335979015028,0.1318833074400138,,,,,,,,,,,
第一四八节规则(距低点前30% 且 换手加速前30%),**留出段 2023-01–2026-04(判据在这里)**,概率,56347.0,0.10156707544323566,5770.0,0.10240119261007685,0.14159445407279028,1.3940979737269814,1.0598216052409157,0.14275729512493449,,,,,,,,,,,
Codex 统一信号1,留出段·距低点分布,描述,,,,,,,,,0.93640350877193,1.404496122844803,2.141664181330153,0.11791179117911792,,,,,,,
Codex 强确认,留出段·距低点分布,描述,,,,,,,,,1.116504854368932,1.6863753213367612,2.589701565541181,0.1741623905825536,,,,,,,
第一四八节规则,留出段·距低点分布,描述,,,,,,,,,0.7514407958988744,1.0930577378528867,1.632327586206897,0.054939341421143845,,,,,,,
Codex 统一信号1,训练段(只报数),组合,,,,,,,,,,,,,0.05793063852693736,0.031944796479600246,0.11723388070706253,-5.930324218012517,1.0,0.4225871175329815,377.0
Codex 统一信号1,**留出段(判据在这里)**,组合,,,,,,,,,,,,,0.07834027151443612,0.05188556577963199,0.10943561440438232,-3.10953428899462,0.99,0.3733467455286435,539.0
Codex 强确认,训练段(只报数),组合,,,,,,,,,,,,,0.002104894078076569,-0.022509705919362855,0.09145045860319334,-8.934556452511677,1.0,0.4790896860440205,235.0
Codex 强确认,**留出段(判据在这里)**,组合,,,,,,,,,,,,,0.05064489623694879,0.024869635592470907,0.10011055060747409,-4.946565437052531,1.0,0.42054311012229295,345.0
第一四八节规则,训练段(只报数),组合,,,,,,,,,,,,,0.045858545090544434,0.020169228639304704,0.12389971163223279,-7.804116654168835,1.0,0.36595005670870756,373.0
第一四八节规则,**留出段(判据在这里)**,组合,,,,,,,,,,,,,0.1111946780974371,0.0839339617913839,0.13941903281409673,-2.8224354716659628,0.998,0.3625056066058718,501.0
