family,subset,keys,n_reb,train_cagr,train_mdd,train_sharpe,train_ctrl,train_p,holdout_cagr,holdout_mdd,holdout_sharpe,holdout_ctrl,holdout_p,P2,P3_gap_pp,P3
V,V·单-ep,ep,152,0.14492525806807421,-0.3564412609781875,0.7297977913559976,0.0835636865002215,0.017456359102244388,0.060006059122005295,-0.23382141953247193,0.4449342395139241,-0.01835249940283279,0.004987531172069825,False,,
V,V·单-bp,bp,153,0.16413458058402375,-0.3409935891893954,0.7793916185442865,0.09618853731659649,0.014962593516209476,0.03628241174387603,-0.2689154787000704,0.27650186515167346,-0.022491602512063835,0.02743142144638404,False,,
V,V·单-cfp,cfp,152,0.16813905271986118,-0.4089133681989431,0.8102229971496415,0.07327732862236691,0.0024937655860349127,0.16210984009941787,-0.2164115541094782,0.9140994574136977,-0.005047372037476516,0.0024937655860349127,True,,
V,V·去掉-ep,bp+cfp,152,0.175918720625017,-0.3540264593307896,0.8751028587380213,0.09573020702411428,0.004987531172069825,0.13856512900214168,-0.23222751087869853,0.7900399808754953,0.0025821588556382835,0.0024937655860349127,False,3.880476795452825,False
V,V·去掉-bp,ep+cfp,152,0.14548329443867747,-0.328441383675085,0.7299545165300121,0.06969770588151625,0.014962593516209476,0.08958834563434248,-0.2252687847455599,0.6202020696500603,-0.020129318312612166,0.0024937655860349127,False,-1.0172015413270952,False
V,V·去掉-cfp,ep+bp,152,0.14816406523112136,-0.352562054727696,0.7714731313766533,0.08936853515617138,0.017456359102244388,0.0751133295373323,-0.2250561966254524,0.5433592375241811,-0.018158458558466817,0.004987531172069825,False,-2.4647031510281137,False
V,V·全留(R08),ep+bp+cfp,152,0.1531951194151575,-0.3480325755398931,0.7786298581001472,0.07063765618684892,0.0024937655860349127,0.09976036104761343,-0.22667786663932887,0.66928333167306,-0.013981682688041563,0.0024937655860349127,True,,
Q,Q·单-margin,margin,152,0.10840968591715172,-0.5898667632739769,0.5392458437149309,0.05212268395570285,0.057356608478802994,0.03877316551183352,-0.31392010639899237,0.2959509360063613,-0.010629285661486187,0.0798004987531172,False,,
Q,Q·单-roe,roe,153,0.12953969606570115,-0.41014498100958385,0.629036162706766,0.05840806361587447,0.017456359102244388,0.012765680743332508,-0.306603447811307,0.16343976723797246,-0.028313013337293857,0.09725685785536159,False,,
Q,Q·单-roe_chg,roe_chg,146,0.09645252258885617,-0.5529451298459653,0.51093807218741,0.04914415834858843,0.05486284289276808,0.020732563015015915,-0.32202084690162114,0.20714983345087176,-0.021341013786659757,0.1546134663341646,False,,
Q,Q·单-cash_conv,cash_conv,152,0.11778529913676872,-0.6283207670228692,0.5754835862321599,0.07530875977590201,0.08977556109725686,0.07134745485666727,-0.3187742783435862,0.4160515504820147,-0.004696331557311917,0.03740648379052369,False,,
Q,Q·去掉-margin,roe+roe_chg+cash_conv,146,0.13949279435021666,-0.4628345458817076,0.6334798038604613,0.029830676912033782,0.0024937655860349127,0.09720951835601066,-0.21357172870298613,0.5808806791825589,-0.01928613626985015,0.0024937655860349127,True,3.09172007580667,True
Q,Q·去掉-roe,margin+roe_chg+cash_conv,146,0.08719557874241768,-0.5177441344970053,0.4554477158096989,0.017686856915557714,0.00997506234413965,0.04758669561105644,-0.19269264128772567,0.35360546654471114,-0.03859631087338439,0.0024937655860349127,False,-1.8705621986887522,False
Q,Q·去掉-roe_chg,margin+roe+cash_conv,152,0.1012900650860733,-0.48236256056445215,0.5326030485373561,0.061215872543690875,0.08728179551122195,0.07528014348063938,-0.14739489117889482,0.5845632627713075,-0.010854375850813391,0.007481296758104738,False,0.8987825882695422,False
Q,Q·去掉-cash_conv,margin+roe+roe_chg,146,0.02383935298868267,-0.5994888253406616,0.22539487388338023,0.028601744585212807,0.5810473815461347,0.025606659645416086,-0.243770665925492,0.24617970239805462,-0.027877477220015323,0.06234413965087282,False,-4.068565795252788,False
Q,Q·全留(R09),margin+roe+roe_chg+cash_conv,146,0.08748210146510793,-0.4983244950195185,0.46135041731477544,0.021298266157510848,0.017456359102244388,0.06629231759794396,-0.22223079176379534,0.49197709998093925,-0.027607860404219364,0.007481296758104738,False,,
