段,变量,阈值,选中,命中率,市值分位中位,lift_base,lift_ind,lift_indmv
全样本 2015–2025,recovery_from_low_250,0-20%,11706,0.03143686998120622,47.6169636344691,0.622179882046617,0.8729743391662287,0.9141182231737867
全样本 2015–2025,recovery_from_low_250,20-40%,7169,0.05258752964151207,46.95837780149413,1.0407811912903278,1.0341932335592434,1.0213004212396153
全样本 2015–2025,recovery_from_low_250,40-60%,4023,0.07084265473527218,49.40662086196127,1.4020757980489522,1.134155568915871,1.0774743940292038
全样本 2015–2025,recovery_from_low_250,60-100%,3510,0.07321937321937322,53.641556586933234,1.4491144003964516,1.0583194691635305,1.0184903176580185
全样本 2015–2025,recovery_from_low_250,100-200%,1769,0.07122668174109667,62.52948113207547,1.4096762327401107,0.9981845579373608,1.07930599391156
全样本 2015–2025,recovery_from_low_250,>200%,382,0.07853403141361257,76.07377830117315,1.554298962675926,1.2303664921465969,1.293941660433807
全样本 2015–2025,close_to_ma_250,<0,14922,0.039404905508644957,46.83196639877262,0.7798785144985386,0.9374239603749084,0.9486352786883014
全样本 2015–2025,close_to_ma_250,0-10%,6072,0.05764163372859025,47.46659386073881,1.1408090212438038,1.0733163374833412,1.036880717906112
全样本 2015–2025,close_to_ma_250,10-20%,3456,0.06770833333333333,52.08606378331149,1.340043168168168,1.1453676091516747,1.1121969183821527
全样本 2015–2025,close_to_ma_250,20-40%,2736,0.06432748538011696,57.58436800503398,1.2731314310261677,0.9872220352552638,1.0165413259205431
全样本 2015–2025,close_to_ma_250,40-60%,825,0.05818181818181818,65.4434250764526,1.1515000315000314,0.9150413223140497,0.9765284779847468
全样本 2015–2025,close_to_ma_250,60-100%,425,0.07764705882352942,72.60536398467433,1.5367445273327627,1.006638655462185,1.1848920823375222
全样本 2015–2025,close_to_ma_250,>100%,123,0.11382113821138211,75.79599056603774,2.252680447802399,1.666627007733492,1.2804625112917796
全样本 2015–2025,rps_60,>=60,11410,0.05109553023663453,53.65668681279841,1.0112524241358596,1.01133546187683,1.0102844280595518
全样本 2015–2025,rps_60,>=70,8469,0.05053725351281143,55.45940442860778,1.0002033423925027,0.9890764106153418,0.9955705417001464
全样本 2015–2025,rps_60,>=80,5604,0.05353319057815846,57.50911020188988,1.0594971515742393,1.0246562927698126,1.0216172284018243
全样本 2015–2025,rps_60,>=85,4154,0.05512758786711603,58.43161665306594,1.0910525169071148,1.0554481889050784,1.039849337008
全样本 2015–2025,rps_60,>=90,2719,0.05921294593600589,59.837601499063084,1.17190750033707,1.1279719028900081,1.1003158683245966
全样本 2015–2025,rps_60,>=95,1323,0.06424792139077853,60.7446564008274,1.2715567477472238,1.214176819503696,1.1392019494364911
