tag,n_ev,p_hit,ctrl_med,ctrl_p95,p,C2,viol,nofit
GF 广发口径 690日 峰值≥100%,4104,0.27826510721247566,0.2867073170731707,0.2951219512195122,0.9321357285429142,False,0,4
AX 安信口径 250日 峰值≥200%,21323,0.04356797823945974,0.043304870038472366,0.045463075912545746,0.44510978043912175,False,0,9
GF 回撤≤-30% PE≤15,2554,0.2666405638214565,0.2817398119122257,0.2938871473354232,0.9880239520958084,False,0,2
GF 回撤≤-30% PE≤20,4104,0.27826510721247566,0.2867073170731707,0.2951219512195122,0.9321357285429142,False,0,4
GF 回撤≤-30% PE≤25,5508,0.2768700072621641,0.288933309104125,0.2972923859712884,0.9900199600798403,False,0,5
GF 回撤≤-40% PE≤15,1622,0.2879161528976572,0.30061728395061726,0.3172839506172839,0.9401197604790419,False,0,2
GF 回撤≤-40% PE≤20,2634,0.2965072133637054,0.3053231939163498,0.31674904942965776,0.906187624750499,False,0,4
GF 回撤≤-40% PE≤25,3575,0.29454545454545455,0.3092436974789916,0.3196078431372549,0.9940119760479041,False,0,5
GF 回撤≤-50% PE≤15,847,0.2845336481700118,0.3120567375886525,0.3309692671394799,0.9860279441117764,False,0,1
GF 回撤≤-50% PE≤20,1377,0.3093681917211329,0.32023289665211063,0.33551673944687044,0.872255489021956,False,0,3
GF 回撤≤-50% PE≤25,1843,0.30927835051546393,0.3222826086956522,0.3353532608695652,0.9500998003992016,False,0,3
"AX 市值[10,50]亿",21323,0.04356797823945974,0.043304870038472366,0.045463075912545746,0.44510978043912175,False,0,9
"AX 市值[10,100]亿",28531,0.039921488906803124,0.03984287317620651,0.04138608305274972,0.47305389221556887,False,0,19
"AX 市值[5,30]亿",14303,0.048661120044745855,0.047304384308789596,0.05006642892105447,0.21956087824351297,False,0,2
GF·食品饮料内,60,0.36666666666666664,0.4166666666666667,0.5,0.9341317365269461,False,0,0
AX·食品饮料内,435,0.022988505747126436,0.02528735632183908,0.03908045977011494,0.7445109780439122,False,0,0
