窗口,指标,分档方式,牛股定义,Spearman_ρ,D1命中,D10命中,基准命中,判定(F2)
full,营收增速,原始,250日≥+100%,0.33333333333333326,0.12797633719497165,0.13051837609997782,0.15221078495162013,—
full,营收增速,市值中性,250日≥+100%,0.41818181818181815,0.12503080790654114,0.13049264361584148,0.15221078495162013,—
full,净利增速,原始,250日≥+100%,-0.28484848484848485,0.14831589508384693,0.11856438481825479,0.15221078495162013,—
full,净利增速,市值中性,250日≥+100%,-0.22424242424242422,0.13991686971477713,0.12046672973825291,0.15221078495162013,—
full,营收增速,原始,120日≥+50%,0.23636363636363633,0.18030564456494946,0.1812960634967586,0.19156974884812447,—
full,营收增速,市值中性,120日≥+50%,0.5878787878787878,0.1762705180657564,0.1818517879586958,0.19156974884812447,—
full,净利增速,原始,120日≥+50%,-0.22424242424242422,0.20971764368639817,0.1644880174291939,0.19156974884812447,—
full,净利增速,市值中性,120日≥+50%,-0.06666666666666665,0.19716210405618462,0.16708236575786245,0.19156974884812447,—
oos,营收增速,原始,250日≥+100%,0.41818181818181815,0.16963549920760698,0.18316109807899575,0.1597730801677446,—
oos,营收增速,市值中性,250日≥+100%,0.6121212121212121,0.16677231237322515,0.1826362484157161,0.1597730801677446,确实提高牛股概率
oos,净利增速,原始,250日≥+100%,-0.22424242424242422,0.2015997514949134,0.1565703634669152,0.1597730801677446,—
oos,净利增速,市值中性,250日≥+100%,-0.01818181818181818,0.18789808917197454,0.15650485436893205,0.1597730801677446,不能仅凭增速提高牛股概率
oos,营收增速,原始,120日≥+50%,0.309090909090909,0.22237717908082408,0.2241805617193939,0.20288907092467387,—
oos,营收增速,市值中性,120日≥+50%,0.4424242424242424,0.21900354969574037,0.22217997465145753,0.20288907092467387,不能仅凭增速提高牛股概率
oos,净利增速,原始,120日≥+50%,-0.32121212121212117,0.25386347751805544,0.18499534016775396,0.20288907092467387,—
oos,净利增速,市值中性,120日≥+50%,-0.28484848484848485,0.23504738232095695,0.18788349514563107,0.20288907092467387,不能仅凭增速提高牛股概率
