名称,代码,行业,2024档,2024实际,2025档,2025实际,当前档,当前RPS60,当前距低点,当前120日,当前MA20持续
德明利,001309,电子-半导体,强确认,0.1959537572254335,—,2.7320766876107623,观察,5.574912891986063,3.1641808853358784,0.28540385252845213,0.65
奥比中光-W,688322,电子-光学光电,—,0.23736029803086756,观察,0.9283870967741936,—,96.83243585682611,0.46342531756460814,0.047335423197492066,0.425
海光信息,688041,电子-半导体,—,1.1135303265940903,强确认,0.49996655294668524,—,55.052264808362374,0.9324744557974234,-0.012560532687651338,0.4583333333333333
凯格精机,301338,机械设备-专用设备,—,-0.23521272915946045,—,1.839439167797377,—,1.6154577130186885,1.4521988527724665,-0.13800828945894472,0.5916666666666667
易点天下,301171,传媒-广告营销,—,0.43712574850299424,观察,0.44166666666666665,不合格,不合格,不合格,不合格,不合格
诺诚健华,688428,医药医疗-生物制品,—,0.0678260869565217,观察,0.6710097719869708,—,83.27526132404182,0.25050301810865205,0.16168224299065415,0.5333333333333333
骄成超声,688392,机械设备-专用设备,—,-0.508680344785723,观察,1.768964665184087,—,59.61355717453279,0.7163319551092735,-0.13992896255734777,0.5583333333333333
圣晖集成,603163,建筑-专业工程,—,-0.1754103636948825,—,1.662373145979703,—,13.557174532784288,1.3159350155547873,-0.3921248412266376,0.45
伟测科技,688372,电子-半导体,—,-0.24840013472549682,观察,1.4358055119874522,—,15.077605321507761,0.7988495729475338,-0.2099219108865411,0.5333333333333333
佰维存储,688525,电子-半导体,不合格,,—,0.8524140158243179,观察,24.865378523915112,2.288281125775163,0.1049369523402437,0.6416666666666667
金海通,603061,电子-半导体,不合格,,—,0.9523617278966492,标准,81.84985745961356,2.947806230631218,0.16854149567904209,0.6
涛涛车业,301345,汽车-摩托车及其他,不合格,,观察,2.946620341124447,标准,81.311371555274,0.8603084294055994,0.20036711428847442,0.5666666666666667
中科飞测,688361,电子-半导体,不合格,,观察,0.7474585950885211,观察,99.77827050997783,2.6943055724911598,0.6372331802215618,0.5333333333333333
浙江荣泰,603119,汽车-汽车零部件,不合格,,观察,4.190058479532163,—,18.8470066518847,0.18801753531417442,-0.3983719782930438,0.2833333333333333
华虹宏力,688347,电子-半导体,不合格,,观察,1.3212825478803532,不合格,不合格,不合格,不合格,不合格
乖宝宠物,301498,农林牧渔-饲料,不合格,,强确认,-0.16421568627450966,—,64.20652518213494,0.17805998378816557,-0.33959406240533163,0.225
润本股份,603193,化工-日用化工,不合格,,观察,0.05138339920948631,—,68.45106113398796,0.18920392584514723,-0.07427843803056022,0.31666666666666665
安培龙,301413,机械设备-通用设备,不合格,,观察,1.5290953545232275,—,10.896420652518215,0.11455756422454821,-0.5150687199867527,0.30833333333333335
中国铀业,001280,有色-稀有金属,不合格,,不合格,,不合格,不合格,不合格,不合格,不合格
