确认,确认率,n,持有,事件收益,对照中位,超额pp,年化超额pp,p
N=5 k=0%,0.4131282701759949,10922,5,0.006677080681793243,0.008043290878441623,-0.13662101966483803,-9.786336189378563,1.0
N=5 k=0%,0.4131282701759949,10922,20,0.028857448360239426,0.033345991101778744,-0.44885427415393175,-7.980390851799446,1.0
N=5 k=0%,0.4131282701759949,10922,60,0.060256351945838546,0.06269693903497908,-0.24405870891405362,-1.2283820490327502,0.9353233830845771
N=5 k=0%,0.4131282701759949,10922,120,0.07402015645389148,0.07352988369274575,0.04902727611457297,0.11032804754285142,0.4079601990049751
N=5 k=0%,0.4131282701759949,10922,250,0.15551641812264813,0.15727576186313233,-0.17593437404841983,-0.17593437404843648,0.6965174129353234
N=5 k=3%,0.6970667512287934,18541,5,0.0062625374686088725,0.00741045717410414,-0.11479197054952671,-8.015403577223879,1.0
N=5 k=3%,0.6970667512287934,18541,20,0.02703049626084766,0.028747829527917858,-0.17173332670701974,-2.9454591157277,0.9950248756218906
N=5 k=3%,0.6970667512287934,18541,60,0.05695349166596863,0.05550603697392853,0.14474546920400996,0.7171812195672089,0.12935323383084577
N=5 k=3%,0.6970667512287934,18541,120,0.07678685213682294,0.07358313733043181,0.3203714806391131,0.7219704456929987,0.029850746268656716
N=5 k=3%,0.6970667512287934,18541,250,0.15587207609923348,0.149123270389209,0.674880571002448,0.6748805710024675,0.009950248756218905
N=10 k=0%,0.3181861423814809,8378,5,0.009460171757763845,0.009753824437810203,-0.02936526800463579,-2.3457019711549343,0.7213930348258707
N=10 k=0%,0.3181861423814809,8378,20,0.026277619304853714,0.02750697566679466,-0.12293563619409469,-2.0851017138700634,0.8706467661691543
N=10 k=0%,0.3181861423814809,8378,60,0.055695373113992315,0.05315426837132159,0.25411047426707256,1.252260968476926,0.06467661691542288
N=10 k=0%,0.3181861423814809,8378,120,0.07248784799093402,0.06483282121966741,0.7655026771266615,1.7137543012825551,0.004975124378109453
N=10 k=0%,0.3181861423814809,8378,250,0.1471472357451498,0.13916741170076236,0.7979824044387435,0.7979824044387351,0.024875621890547265
N=10 k=3%,0.5643887743776757,15009,5,0.008205548877149799,0.00812895263441653,0.00765962427332692,0.5705246560247623,0.417910447761194
N=10 k=3%,0.5643887743776757,15009,20,0.02416572938118157,0.022735516879459086,0.14302125017224832,2.3339101875333723,0.024875621890547265
N=10 k=3%,0.5643887743776757,15009,60,0.0513632829329667,0.04544586623391733,0.5917416699049369,2.8637366184251167,0.004975124378109453
N=10 k=3%,0.5643887743776757,15009,120,0.07610900034342863,0.06566871065470067,1.0440289688727955,2.3425807279011,0.004975124378109453
N=10 k=3%,0.5643887743776757,15009,250,0.14733746058546468,0.1318376273947255,1.5499833190739194,1.549983319073922,0.004975124378109453
