规则,段,档,年化,对照中位,超额pp,p,成本后,回撤,平均持仓,对照持仓,止损次数,交易次数,Δ策略pp,Δ对照pp,Δ对照/Δ策略
Codex强确认,训练段,L0 基线,0.002104894078076791,0.09101765934007744,-8.891276526200064,1.0,,,,,,,,,
Codex强确认,训练段,L1 +集中度10只/上限120日,-0.04679388406267593,0.13066091145486192,-17.745479551753785,1.0,-0.050736682647893994,0.6820059379757458,8.852119958634953,8.852119958634953,0.0,80.0,,,
Codex强确认,训练段,L2 +止损8%,-0.08385210742717597,0.130710751869897,-21.4562859297073,1.0,-0.09506268768814818,0.7130034630663397,6.859358841778697,8.323373319544984,204.0,237.0,,,
Codex强确认,训练段,L3 +大盘MA200过滤,-0.18310203403880376,-0.04778903734109391,-13.531299669770986,1.0,-0.19275716575873347,0.6906406541075744,4.300930713547053,5.407952430196484,174.0,229.0,,,
Codex强确认,训练段,L4 +突破日买入,-0.08314943260899532,-0.044012978580326434,-3.913645402866889,0.818,-0.09811561348451225,0.5414587889997927,5.979317476732161,6.45841778697001,199.0,318.0,,,
Codex强确认,留出段,L0 基线,0.05064489623694857,0.09948621664855062,-4.884132041160205,0.998,,,,,,,,,
Codex强确认,留出段,L1 +集中度10只/上限120日,-0.034601298029934835,0.11888445511403056,-15.34857531439654,0.998,-0.03878856663139685,0.4963240447836777,9.144981412639405,9.144981412639405,0.0,70.0,,,
Codex强确认,留出段,L2 +止损8%,-0.24128564896555382,-0.013145105603979801,-22.8140543361574,1.0,-0.2518307238320402,0.7076474477910473,6.551425030978934,8.22838166047088,201.0,226.0,,,
Codex强确认,留出段,L3 +大盘MA200过滤,-0.07015798680194629,0.07765270229584176,-14.781068909778805,0.998,-0.0795617910536176,0.4338116590564677,4.4869888475836435,5.6012614622057,123.0,164.0,,,
Codex强确认,留出段,L4 +突破日买入,-0.08692583770235007,0.08877097762693897,-17.569681532928904,0.998,-0.09827613286698611,0.4606429255747333,5.80545229244114,6.410342007434944,156.0,202.0,,,
Codex强确认,留出段,A3归因,,,,,,,,,,,-13.757073393929865,-1.0715239021611644,0.07788894276263444
第一四八节规则,训练段,L0 基线,0.045858545090544434,0.12337598538571426,-7.751744029516983,1.0,,,,,,,,,
第一四八节规则,训练段,L1 +集中度10只/上限120日,-0.04834451616901003,0.1617907216716914,-21.01352378407014,1.0,-0.052280900789847706,0.658927196420221,8.852119958634953,8.852119958634953,0.0,80.0,,,
第一四八节规则,训练段,L2 +止损8%,-0.05232285068742981,0.10547464720779243,-15.779749789522224,0.998,-0.06380876599645768,0.6679624979266237,6.83453981385729,8.275722854188212,203.0,235.0,,,
第一四八节规则,训练段,L3 +大盘MA200过滤,-0.20489006583085834,-0.07375908371710016,-13.113098211375817,1.0,-0.21395268810625068,0.7402572524852865,4.3205791106515,5.332889348500517,176.0,221.0,,,
第一四八节规则,训练段,L4 +突破日买入,-0.23091775517350854,-0.03474491176206129,-19.617284341144725,1.0,-0.24491198452668417,0.7292282247022567,5.897621509824199,6.537067218200621,250.0,355.0,,,
第一四八节规则,留出段,L0 基线,0.1111946780974371,0.13807401272149888,-2.687933462406178,0.996,,,,,,,,,
第一四八节规则,留出段,L1 +集中度10只/上限120日,0.002881067451951491,0.11089131151628429,-10.80102440643328,0.96,-0.0014687751531538007,0.5256830978896365,9.144981412639405,9.144981412639405,0.0,70.0,,,
第一四八节规则,留出段,L2 +止损8%,-0.2913677110681806,-0.04177765672667627,-24.959005434150434,1.0,-0.30117047911181793,0.7485538497581518,6.479553903345725,8.104857496902106,202.0,225.0,,,
第一四八节规则,留出段,L3 +大盘MA200过滤,-0.12463595306641118,0.053239752111893135,-17.78757051783043,1.0,-0.13338753994950614,0.5030596344392579,4.482032218091698,5.5587930607187115,126.0,162.0,,,
第一四八节规则,留出段,L4 +突破日买入,-0.061245743502755245,0.021181902362509497,-8.242764586526475,0.918,-0.07470722803747765,0.5649433661385465,5.8203221809169765,6.300441140024783,183.0,233.0,,,
第一四八节规则,留出段,A3归因,,,,,,,,,,,-17.244042160019234,-11.68921103589894,0.6778695463294958
