路线,档,段,调仓,均持仓,年化,回撤,夏普,总收益,对照中位,超额pp,p,N2,N3
R08,M0 基线,train,96,20.0,0.14763986840945886,-0.3476975330139198,0.7583364636042889,2.0068899825583677,,,,,
R08,M0 基线,holdout,55,20.0,0.09976036104761343,-0.22667786663932887,0.66928333167306,0.5414125950189255,-0.01580970298457629,11.557006403218972,0.001996007984031936,,
R08,M1 +平台状态,train,80,20.0,0.09292240175948141,-0.5539166899981898,0.49102921525904253,1.0347137459306577,,,,,
R08,M1 +平台状态,holdout,54,20.0,0.05327893603213307,-0.19557436540711048,0.38681236083057324,0.2664248076486522,-0.047878406198788415,10.115734223092149,0.001996007984031936,通过,不通过
R08,M2 +调仓日大盘过滤,train,80,12.985074626865671,0.046562635699113786,-0.6126062459926362,0.321104103168533,0.43884355490329363,,,,,
R08,M2 +调仓日大盘过滤,holdout,54,12.985074626865671,0.018473802589597632,-0.19508628469279032,0.20905828606818783,0.08686179492034873,-0.02462763368276666,4.310143627236429,0.029940119760479042,不通过,不通过
R09,M0 基线,train,91,20.0,0.08748210146510793,-0.4983244950195185,0.46135041731477544,0.9551383995243767,,,,,
R09,M0 基线,holdout,55,20.0,0.06629231759794396,-0.22223079176379534,0.49197709998093925,0.3392006798911955,-0.02510678291145252,9.139910050939648,0.005988023952095809,,
R09,M1 +平台状态,train,75,20.0,0.04467861226396397,-0.5438619832820328,0.30674650566131756,0.4182659753691833,,,,,
R09,M1 +平台状态,holdout,54,20.0,-0.04977895880959371,-0.31435542875417344,-0.22248205088460493,-0.20732475531916428,-0.0579879818375309,0.820902302793719,0.3812375249500998,不通过,不通过
R09,M2 +调仓日大盘过滤,train,75,12.713178294573643,0.0033646102017526047,-0.602850315881264,0.12805167520081678,0.02721710702108937,,,,,
R09,M2 +调仓日大盘过滤,holdout,54,12.713178294573643,-0.026477258826970496,-0.23321690525722572,-0.16231458782464617,-0.1149431456552299,-0.018468260008164594,-0.8008998818805901,0.6167664670658682,不通过,不通过
R06,M0 基线,train,98,20.0,0.09187603361609287,-0.45624875479631744,0.5909346674196054,1.0191921158011659,,,,,
R06,M0 基线,holdout,55,20.0,0.06099160210243748,-0.13373943296386548,0.5480679469305694,0.3091737105259109,,,,,
R06,M1 +平台状态,train,83,20.0,0.11033702547475199,-0.5404090479032475,0.5853402976687745,1.3088178948604705,,,,,
R06,M1 +平台状态,holdout,54,20.0,0.04485898200809291,-0.21606334675209937,0.36935843255381856,0.2210074558124311,,,,,
R06,M2 +调仓日大盘过滤,train,83,13.138686131386862,0.10647634790434535,-0.5320541621982915,0.585778816996075,1.2454142003906776,,,,,
R06,M2 +调仓日大盘过滤,holdout,54,13.138686131386862,0.0591952119611161,-0.13513816431888248,0.5852277234884019,0.29911779981314734,,,,,
R11,M0 基线,train,98,20.0,0.257146513936771,-0.53319767955324,1.1691629332828946,5.230787727499232,,,,,
R11,M0 基线,holdout,55,20.0,0.0823983911651689,-0.3393889180894464,0.5155610804159046,0.4337455063588469,,,,,
R11,M1 +平台状态,train,81,20.0,0.11968837203735605,-0.6445421409723354,0.6223811943437326,1.4689284446144137,,,,,
R11,M1 +平台状态,holdout,54,20.0,0.15025366199707002,-0.27307760122914404,0.8500912207283265,0.8907308777051652,,,,,
R11,M2 +调仓日大盘过滤,train,81,13.037037037037036,0.12674282934450942,-0.5467546278581101,0.6845525281955259,1.59605952314027,,,,,
R11,M2 +调仓日大盘过滤,holdout,54,13.037037037037036,0.13975903611591978,-0.15769320635897743,1.0401597164137022,0.813497032034274,,,,,
