段,年化,对照中位,超额pp,买点,成交笔数,成本后,p,回撤,平均持仓,止损次数,止损后仍上涨,买入日波动率中位,止损σ倍数中位
训练段 2019–2022(只报数)·2019,0.05813003696346275,0.016712670257752804,4.141736670570994,,,,,,,,,,
训练段 2019–2022(只报数)·2020,-0.027403356709446047,-0.0871251790384851,5.972182232903905,,,,,,,,,,
训练段 2019–2022(只报数)·2021,0.2007636588683872,0.2578810473295968,-5.711738846120962,,,,,,,,,,
训练段 2019–2022(只报数)·2022,-0.2270435001500959,-0.19832671410707509,-2.8716786043020806,,,,,,,,,,
训练段 2019–2022(只报数),-0.01173731130350586,-0.016831169092155485,0.5093857788649625,10668.0,270.0,-0.025426455917001656,0.448,0.3157611778012001,7.111111111111111,52.0,2.0,0.02689706523897515,5.247208590466748
**留出段 2023-01–2026-04(判据在这里)**·2023,-0.02158120154877219,-0.013180754139257622,-0.8400447409514566,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2024,0.27210409008706704,0.22035312703611842,5.175096305094861,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2025,0.13943744956387527,0.24143500659854078,-10.19975570346655,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2026,0.13053975153536568,0.13710943549322674,-0.6569683957861061,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**,0.15832535156930616,0.18291048532536924,-2.4585133756063082,12722.0,133.0,0.1487473473294474,0.656,0.1665116799962285,6.998756218905473,34.0,4.0,0.025075008144706368,5.544704952295827
