段,年化,对照中位,超额pp,买点,成交笔数,成本后,p,回撤,平均持仓,止损次数,止损后仍上涨,买入日波动率中位,止损σ倍数中位
训练段 2019–2022(只报数)·2019,-0.05904631544765393,-0.04005962282073028,-1.8986692626923651,,,,,,,,,,
训练段 2019–2022(只报数)·2020,0.2091987474926611,-0.025229449736406895,23.442819722906798,,,,,,,,,,
训练段 2019–2022(只报数)·2021,0.3795435689989304,0.22449798243800245,15.504558656092794,,,,,,,,,,
训练段 2019–2022(只报数)·2022,-0.21098962174131064,-0.22284211005565413,1.185248831434349,,,,,,,,,,
训练段 2019–2022(只报数),0.05660956978275111,-0.02531732841547779,8.19268981982289,9314.0,249.0,0.043136395190004784,0.016,0.29938572713472034,7.058641975308642,44.0,3.0,0.026387469192598653,5.355698227624311
**留出段 2023-01–2026-04(判据在这里)**·2023,-0.10448008569650924,-0.014316938172726501,-9.016314752378275,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2024,0.20177708197460942,0.19509008242818804,0.6686999546421379,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2025,0.14529140501808535,0.2958048641400641,-15.051345912197878,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**·2026,0.20193267293539074,0.11106396171423616,9.086871122115458,,,,,,,,,,
**留出段 2023-01–2026-04(判据在这里)**,0.1301679771960822,0.1828907259675311,-5.2722748771448895,11457.0,121.0,0.12166774943345948,0.81,0.19966890827308456,6.972636815920398,25.0,2.0,0.02450810220053952,5.700153022945101
