代码,名称,申万一级,买入日,卖出日,持有交易日,买入价,卖出价,止损价,收益,卖出原因,年
600834,申通地铁,交通运输,2016-01-06,2016-01-07,1,19.31,17.38,16.4135,-0.09994821336095283,大盘过滤清仓,2016
600467,好当家,农林牧渔,2016-04-06,2016-04-07,1,3.71,3.66,3.19,-0.013477088948786964,大盘过滤清仓,2016
002758,浙农股份,医药生物,2016-04-06,2016-04-07,1,18.25,18.67,15.5125,0.023013698630137025,大盘过滤清仓,2016
600892,大晟文化,综合,2016-04-06,2016-04-07,1,13.87,14.52,11.789499999999999,0.046863734679163604,大盘过滤清仓,2016
000012,南  玻Ａ,建筑材料,2016-04-06,2016-04-07,1,6.33,6.23,5.62,-0.01579778830963663,大盘过滤清仓,2016
002749,国光股份,基础化工,2016-04-06,2016-04-07,1,9.19,8.94,7.8115,-0.027203482045701888,大盘过滤清仓,2016
600173,卧龙新能,房地产,2016-04-06,2016-04-07,1,6.61,6.46,5.6185,-0.0226928895612708,大盘过滤清仓,2016
300481,濮阳惠成,基础化工,2016-04-06,2016-04-07,1,15.2,15.08,12.92,-0.007894736842105177,大盘过滤清仓,2016
002394,联发股份,纺织服饰,2016-04-06,2016-04-07,1,10.32,10.15,9.12,-0.016472868217054293,大盘过滤清仓,2016
002482,广田集团,建筑装饰,2016-04-06,2016-04-07,1,9.06,8.82,7.7010000000000005,-0.026490066225165587,大盘过滤清仓,2016
000762,西藏矿业,煤炭,2016-04-06,2016-04-07,1,22.54,22.46,19.159,-0.003549245785270605,大盘过滤清仓,2016
002687,乔治白,纺织服饰,2016-04-11,2016-04-20,7,8.83,8.65,7.5055,-0.020385050962627327,大盘过滤清仓,2016
600293,三峡新材,建筑材料,2016-04-11,2016-04-20,7,8.17,7.89,6.9445,-0.03427172582619342,大盘过滤清仓,2016
300240,飞力达,交通运输,2016-04-11,2016-04-20,7,13.17,12.4,11.1945,-0.05846621108580108,大盘过滤清仓,2016
002394,联发股份,纺织服饰,2016-04-11,2016-04-20,7,10.65,10.41,9.12,-0.022535211267605604,大盘过滤清仓,2016
600123,兰花科创,煤炭,2016-04-11,2016-04-20,7,4.35,4.23,3.83,-0.027586206896551557,大盘过滤清仓,2016
603601,再升科技,基础化工,2016-04-11,2016-04-20,7,5.54,5.32,4.709,-0.03971119133574008,大盘过滤清仓,2016
