年,买点数,涉及只数,大盘开占比,后60日中位,60日峰值ge50,触止损占比,成交笔,胜率,单笔中位,单笔均值
2016,1390,381,0.9136690647482014,-0.052516416510318964,0.02158273381294964,0.3935251798561151,66,0.18181818181818182,-0.03484332566580922,-0.029908384673565356
2017,890,284,0.501123595505618,-0.018706443105302784,0.0348314606741573,0.36179775280898874,59,0.5423728813559322,0.0031249999999998224,0.022106163662893984
2018,393,158,0.0,-0.0889967637540452,0.04834605597964377,0.6743002544529262,0,,,
2019,2640,671,0.821969696969697,-0.034374589718101256,0.10946969696969697,0.38712121212121214,55,0.38181818181818183,-0.01212938005390829,-0.0059353434668698
2020,3209,754,0.992521034590215,-0.04981132075471695,0.12277968214397009,0.4661888438765971,54,0.35185185185185186,-0.07780730573999284,-0.009843263245753235
2021,2958,714,0.8522650439486139,-0.02548726439669141,0.1940500338066261,0.4425287356321839,81,0.43209876543209874,-0.00521739130434784,0.02708670381299765
2022,1861,617,0.7893605588393336,-0.0481565086531226,0.04083825900053734,0.5738850080601827,80,0.325,-0.027835613053927233,-0.01954688707565197
2023,3909,1067,0.8925556408288565,-0.07868852459016384,0.06088513686364799,0.5254540803274494,67,0.373134328358209,-0.017899761336515607,-0.010825898901657291
2024,1711,703,0.690239625949737,0.028880866425992746,0.14143775569842199,0.31502045587375804,10,0.9,0.1713524986223035,0.30095408796830564
2025,5042,1198,1.0,0.006516775005464659,0.14676715589051964,0.35323284410948036,34,0.3235294117647059,-0.09148119385492032,0.08443099458348527
2026,2547,785,0.9909697683549273,-0.1066513761467891,0.14055751864939145,0.6678445229681979,39,0.3076923076923077,-0.045608108108108225,0.029754625920107722
