样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分,数据状态
池内观察,2026-08-28,301680,固德电材,96.2,,数据不足,RPS50=15.7,,0.0,未触发,无平台信号,False,缺失,未知,,-0.2379594423320659,,15.679509296530572,11.826720337358635,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,688816,易思维,48.68,,数据不足,RPS50=14.2,,0.0,未触发,无平台信号,False,缺失,未知,,-0.2755952380952381,,14.16522905884608,14.682767874257236,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,688818,电科蓝天,45.02,,数据不足,RPS50=3.5,,0.0,未触发,无平台信号,False,缺失,未知,,-0.27375383126310693,,3.546099290780142,2.72187080697719,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,603284,林平发展,42.76,,数据不足,RPS50=87.8,,0.0,未触发,无平台信号,False,缺失,未知,,-0.10016835016835024,,87.8282537857006,82.67203373586352,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,688712,北芯生命,32.96,,数据不足,RPS50=24.9,,0.0,未触发,无平台信号,False,缺失,未知,,-0.17331326812139447,,24.91853555683343,22.158328541307267,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,001220,世盟股份,32.0,,数据不足,RPS50=72.8,,0.0,未触发,无平台信号,False,缺失,未知,,-0.21587846116148013,,72.81962813877708,74.2764040636381,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失、MA20持续度缺失
池内观察,2026-08-28,601112,振石股份,15.51,,数据不足,RPS50=30.0,,0.0,未触发,无平台信号,False,缺失,未知,,-0.20174987133299027,0.39166666666666666,30.036419398121527,39.31378186697336,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688785,恒运昌,263.0,,数据不足,RPS50=3.6,,0.0,未触发,无平台信号,False,缺失,未知,,-0.17673574156388905,0.425,3.641939812152578,13.245160053670693,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,603352,至信股份,25.82,,数据不足,RPS50=37.2,,0.0,未触发,无平台信号,False,缺失,未知,,-0.35093011563599796,0.19166666666666668,37.243626605328735,18.3438757906843,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,603402,陕西旅游,68.77,,数据不足,RPS50=65.0,,0.0,未触发,无平台信号,False,缺失,未知,,-0.34115730982946924,0.25,64.99904159478628,60.83956296722254,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,301687,新广益,50.38,,数据不足,RPS50=2.2,,0.0,未触发,无平台信号,False,缺失,未知,,-0.15568962627786154,0.5333333333333333,2.204331991566034,45.543415756181716,,,0.49275362491607666,0.8630880117416382,0.711076021194458,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688809,强一股份,454.14,,数据不足,120日收益≥10%；MA20持续度≥55%；RPS50=9.6,,0.0,未触发,无平台信号,False,缺失,未知,,0.2094596394045114,0.5833333333333334,9.641556450067089,30.822311673375502,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,001396,誉帆科技,34.2,,数据不足,RPS50=26.5,,0.0,未触发,无平台信号,False,缺失,未知,,-0.31940298507462683,0.35,26.490320107341386,19.992332758290203,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,001369,双欣材料,12.45,,数据不足,RPS50=20.9,,0.0,未触发,无平台信号,False,缺失,未知,,-0.16498993963782704,0.4166666666666667,20.93156986774008,37.243626605328735,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688805,健信超导,41.53,,数据不足,RPS50=26.3,,0.0,未触发,无平台信号,False,缺失,未知,,-0.0783399911229472,0.48333333333333334,26.298639064596514,11.23250910484953,,,0.4640972316265106,6.600069522857666,0.849437952041626,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,603248,锡华科技,18.18,,数据不足,RPS50=16.3,,0.0,未触发,无平台信号,False,缺失,未知,,-0.21298701298701306,0.425,16.292888633314163,5.137051945562584,,,0.49601227045059204,0.3393554389476776,0.4694157838821411,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,301667,纳百川,60.28,,数据不足,RPS50=12.6,,0.0,未触发,无平台信号,False,缺失,未知,,-0.055468505170792826,0.4166666666666667,12.6317807168871,5.156220049837071,,,0.40305760502815247,0.4180968105792999,0.45223063230514526,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,301449,天溯计量,44.27,,数据不足,RPS50=69.4,,0.0,未触发,无平台信号,False,缺失,未知,,-0.16171179700814242,0.35,69.38853747364385,69.23519263944796,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688807,优迅股份,330.56,,数据不足,120日收益≥10%；RPS50=10.4,,0.0,未触发,无平台信号,False,缺失,未知,,0.3671933162379022,0.525,10.408280621046579,10.925819436457735,,,0.4562658369541168,31.200605392456055,0.7820930480957031,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,001325,元创股份,39.85,,数据不足,RPS50=62.4,,0.0,未触发,无平台信号,False,缺失,未知,,-0.23158503663709984,0.4666666666666667,62.4113475177305,69.52271420356527,,,,,,,数据不足:距一年低点涨幅缺失
池内观察,2026-08-28,688802,沐曦股份-U,674.9,,数据不足,120日收益≥10%；MA20持续度≥55%；RPS50=29.3,,0.0,未触发,无平台信号,False,缺失,未知,,0.26452072247620473,0.5833333333333334,29.3271995399655,41.70979490128426,,,0.20310895144939423,12.054706573486328,0.6005406379699707,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688790,昂瑞微-UW,112.82,,数据不足,RPS50=24.7,,0.0,未触发,无平台信号,False,缺失,未知,,-0.20900231367874922,0.43333333333333335,24.65018209699061,34.92428598811578,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688796,百奥赛图,116.91,,数据不足,120日收益≥10%；MA20持续度≥55%；RPS50=95.4,,0.0,未触发,无平台信号,False,缺失,未知,,0.508516129032258,0.6083333333333333,95.36131876557408,94.86294805443741,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,688795,摩尔线程-U,533.88,,数据不足,RPS50=17.7,,0.0,未触发,无平台信号,False,缺失,未知,,-0.08110154905335631,0.425,17.749664558175198,17.557983515430323,,,,,,,数据不足:不合格(ST/停牌/上市不足250日/无成交)、距一年低点涨幅缺失
池内观察,2026-08-28,001280,中国铀业,68.53,,数据不足,RPS50=38.8,,0.0,未触发,无平台信号,False,缺失,未知,,-0.2605740181268883,0.375,38.815411155836685,49.3195322982557,,,0.3635633885860443,0.41860488057136536,0.5176636576652527,,数据不足:距一年低点涨幅缺失
