年,变量,组,n,翻倍率,lift,池内基准,噪音上界95,超上界
2024,流通市值(小→大),低,83,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,流通市值(小→大),中,110,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,流通市值(小→大),高,84,0.023809523809523808,3.2976190476190474,0.007220216606498195,4.694915254237288,False
2024,20日均换手,低,83,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,20日均换手,中,110,0.01818181818181818,2.518181818181818,0.007220216606498195,4.694915254237288,False
2024,20日均换手,高,84,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,Amihud(低流动性大),低,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,Amihud(低流动性大),中,110,0.00909090909090909,1.259090909090909,0.007220216606498195,4.694915254237288,False
2024,Amihud(低流动性大),高,84,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,EP_TTM,低,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,EP_TTM,中,110,0.00909090909090909,1.259090909090909,0.007220216606498195,4.694915254237288,False
2024,EP_TTM,高,84,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,BP,低,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,BP,中,110,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,BP,高,84,0.011904761904761904,1.6488095238095237,0.007220216606498195,4.694915254237288,False
2024,SP_TTM,低,82,0.012195121951219513,1.6890243902439024,0.007220216606498195,4.694915254237288,False
2024,SP_TTM,中,111,0.009009009009009009,1.2477477477477477,0.007220216606498195,4.694915254237288,False
2024,SP_TTM,高,83,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,净利率,低,82,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,净利率,中,110,0.00909090909090909,1.259090909090909,0.007220216606498195,4.694915254237288,False
2024,净利率,高,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,距一年低点,低,58,0.017241379310344827,2.3879310344827585,0.007220216606498195,4.694915254237288,False
2024,距一年低点,中,77,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,距一年低点,高,59,0.01694915254237288,2.347457627118644,0.007220216606498195,4.694915254237288,False
2024,120日收益,低,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,120日收益,中,110,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,120日收益,高,84,0.011904761904761904,1.6488095238095237,0.007220216606498195,4.694915254237288,False
2024,MA20持续度,低,83,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,MA20持续度,中,108,0.009259259259259259,1.2824074074074072,0.007220216606498195,4.694915254237288,False
2024,MA20持续度,高,86,0.011627906976744186,1.6104651162790697,0.007220216606498195,4.694915254237288,False
2024,RPS60,低,83,0.012048192771084338,1.6686746987951808,0.007220216606498195,4.694915254237288,False
2024,RPS60,中,110,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,RPS60,高,84,0.011904761904761904,1.6488095238095237,0.007220216606498195,4.694915254237288,False
2024,20日波动率,低,83,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,20日波动率,中,110,0.0,0.0,0.007220216606498195,4.694915254237288,False
2024,20日波动率,高,84,0.023809523809523808,3.2976190476190474,0.007220216606498195,4.694915254237288,False
2025,流通市值(小→大),低,140,0.11428571428571428,0.9201970443349754,0.12419700214132762,1.541819515774028,False
2025,流通市值(小→大),中,186,0.11290322580645161,0.9090656284760845,0.12419700214132762,1.541819515774028,False
2025,流通市值(小→大),高,141,0.14893617021276595,1.1991929567131328,0.12419700214132762,1.541819515774028,False
2025,20日均换手,低,140,0.1357142857142857,1.0927339901477833,0.12419700214132762,1.541819515774028,False
2025,20日均换手,中,186,0.14516129032258066,1.1687986651835374,0.12419700214132762,1.541819515774028,False
2025,20日均换手,高,141,0.0851063829787234,0.6852531181217902,0.12419700214132762,1.541819515774028,False
2025,Amihud(低流动性大),低,140,0.12142857142857143,0.9777093596059113,0.12419700214132762,1.541819515774028,False
2025,Amihud(低流动性大),中,186,0.10215053763440861,0.8224879495736004,0.12419700214132762,1.541819515774028,False
2025,Amihud(低流动性大),高,141,0.15602836879432624,1.256297383223282,0.12419700214132762,1.541819515774028,False
2025,EP_TTM,低,140,0.15714285714285714,1.2652709359605911,0.12419700214132762,1.541819515774028,False
2025,EP_TTM,中,186,0.13978494623655913,1.125509825732295,0.12419700214132762,1.541819515774028,False
2025,EP_TTM,高,141,0.07092198581560284,0.5710442651014919,0.12419700214132762,1.541819515774028,False
2025,BP,低,140,0.14285714285714285,1.1502463054187193,0.12419700214132762,1.541819515774028,False
2025,BP,中,186,0.12365591397849462,0.9956433073785689,0.12419700214132762,1.541819515774028,False
2025,BP,高,141,0.10638297872340426,0.8565663976522377,0.12419700214132762,1.541819515774028,False
2025,SP_TTM,低,140,0.17142857142857143,1.3802955665024632,0.12419700214132762,1.541819515774028,False
2025,SP_TTM,中,186,0.08602150537634409,0.6926214312198741,0.12419700214132762,1.541819515774028,False
2025,SP_TTM,高,141,0.1276595744680851,1.0278796771826852,0.12419700214132762,1.541819515774028,False
2025,净利率,低,138,0.18840579710144928,1.516991504247876,0.12419700214132762,1.541819515774028,False
2025,净利率,中,185,0.10810810810810811,0.870456663560112,0.12419700214132762,1.541819515774028,False
