股票代码,股票名称,信号类型,R09核心质量分,我R09,旧口径R09,我R08_真实口径,我R08_前复权口径,他R08,他R09,他信号
301680,固德电材,数据不足,,,,,,,,
688816,易思维,数据不足,,,,,,,,
688818,电科蓝天,数据不足,,,,,,,,
603284,林平发展,数据不足,,,,,,,,
688712,北芯生命,数据不足,,,,,,,,
001220,世盟股份,数据不足,,,,,,,,
601112,振石股份,数据不足,,,,,,,,
688785,恒运昌,数据不足,,,,,,,,
603352,至信股份,数据不足,,,,,,,,
603402,陕西旅游,数据不足,,,,,,,,
301687,新广益,数据不足,,,,,,,,
688809,强一股份,数据不足,,,,,,,,
001396,誉帆科技,数据不足,,,,,,,,
001369,双欣材料,数据不足,,,,,,,,
688805,健信超导,数据不足,,,,,,,,
603248,锡华科技,数据不足,,,,,,,,
301667,纳百川,数据不足,,,,,,,,
301449,天溯计量,数据不足,,,,,,,,
688807,优迅股份,数据不足,,,,,,,,
001325,元创股份,数据不足,,,,,,,,
688802,沐曦股份-U,数据不足,,,,,,,,
688790,昂瑞微-UW,数据不足,,,,,,,,
688796,百奥赛图,数据不足,,,,,,,,
688795,摩尔线程-U,数据不足,,,,,,,,
001280,中国铀业,数据不足,,,,,,,,
001233,海安集团,数据不足,,,,,,,,
688727,恒坤新材,数据不足,,,,,,,,
301638,南网数字,数据不足,,,,,,,,
603092,德力佳,数据不足,,,,,,,,
603376,大明电子,数据不足,,,,,,,,
603334,丰倍生物,数据不足,,,,,,,,
688783,西安奕材-U,数据不足,,,,,,,,
688765,禾元生物-U,数据不足,,,,,,,,
688759,必贝特-U,数据不足,,,,,,,,
603175,超颖电子,数据不足,,,,,,,,
001386,马可波罗,数据不足,,,,,,,,
601026,道生天合,数据不足,,,,,,,,
301563,云汉芯城,数据不足,,,,,,,,
001285,瑞立科密,数据不足,,,,,,,,
301668,昊创瑞通,数据不足,,,,,,,,
301656,联合动力,数据不足,,,,,,,,
301584,建发致新,数据不足,,,,,,,,
603418,友升股份,数据不足,,,,,,,,
301575,艾芬达,数据不足,,,,,,,,
603370,华新精科,数据不足,,,,,,,,
301632,广东建科,无信号,,,,,,0.4111525747710614,0.3305495642300236,无信号
603406,天富龙,无信号,,,,,,0.5688913532038425,0.5281280995253028,无信号
301491,汉桑科技,无信号,,,,,,0.6099822650451414,0.3068180726609392,无信号
001221,悍高集团,无信号,,,,,,0.5411393415311138,0.5351600095557468,无信号
603262,技源集团,无信号,,,,,,0.2935382463113451,0.3517398538022499,无信号
301609,山大电力,无信号,,,,,,0.3796812297221788,0.4250774590066585,无信号
600930,华电新能,无信号,,,,,,0.7378415585076712,0.5545434480582018,无信号
301630,同宇新材,观察级,,,,,,0.215461849219281,0.4900777609474895,观察级
688729,屹唐股份,无信号,,,,,,0.109165419463108,0.3036102891068235,无信号
001388,信通电子,无信号,,,,,,0.4160422651868177,0.2142658947588013,无信号
603400,华之杰,无信号,,,,,,0.2315261493475313,0.2953361738696915,无信号
301678,新恒汇,无信号,,,,,,,,无信号
603382,海阳科技,无信号,,,,,,0.6646091104189615,0.4246484142903564,无信号
688775,影石创新,无信号,,,,,,0.193493426357724,0.2246409543352566,无信号
603049,中策橡胶,无信号,,,,,,0.7754223188691866,0.4339178525849562,无信号
301590,优优绿能,无信号,,,,,,,,无信号
001390,古麒绒材,无信号,,,,,,0.6389213611294137,0.4506946793811604,无信号
603014,威高血净,无信号,,,,,,,,
301595,太力科技,无信号,,,,,,0.1559515982087146,0.1989899826537824,无信号
688755,汉邦科技,无信号,,,,,,0.5857111436556456,0.6183705979626293,无信号
301636,泽润新能,无信号,,,,,,,,无信号
301560,众捷汽车,无信号,,,,,,0.3106441043861197,,无信号
603202,天有为,无信号,,,,,,0.8487730218825152,0.4521696388959337,无信号
001400,江顺科技,无信号,,,,,,0.3122719973080301,0.530683480783078,无信号
301662,宏工科技,无信号,,,,,,0.3512034448542967,0.7229812132264026,无信号
603120,肯特催化,无信号,,,,,,0.3783997737042815,0.5008969233660494,无信号
001335,信凯科技,无信号,,,,,,0.4202064431289719,0.405574023337924,无信号
301665,泰禾股份,无信号,,,,,,0.6520135462513894,0.6319731362609179,无信号
603210,泰鸿万立,无信号,,,,,,0.5848903571416412,0.4235783937044023,无信号
603257,中国瑞林,无信号,,,,,,0.4978630618153625,0.5951374598710455,无信号
301658,首航新能,无信号,,,,,,0.2446329770616352,,无信号
301616,浙江华业,无信号,,,,,,0.6650935927668934,0.3893285733200492,无信号
301535,浙江华远,无信号,,,,,,0.2879893912665619,0.5068085994255503,无信号
688757,胜科纳米,无信号,,,,,,0.1267384513496547,0.46734642633852,无信号
301629,矽电股份,无信号,,,,,,0.04345731394143346,,无信号
001382,新亚电缆,无信号,,,,,,,,无信号
603124,江南新材,观察级,,,,,,,,观察级
301501,恒鑫生活,无信号,,,,,,0.7112932534033849,0.3563833453076309,无信号
301479,弘景光电,无信号,,,,,,0.5058247052283965,0.4619868573560499,无信号
603271,永杰新材,无信号,,,,,,0.6604140773385417,0.6277085997790126,无信号
301275,汉朔科技,无信号,,,,,,0.4250722017547533,0.6573739542490815,无信号
603409,汇通控股,无信号,,,,,,0.6394466237358194,0.4562927519136292,无信号
301557,常友科技,观察级,,,,,,,,观察级
301173,毓恬冠佳,无信号,,,,,,0.8018747375021181,0.4927582416987442,无信号
688411,海博思创,无信号,,,,,,0.3452248937280926,0.5540337686702691,无信号
001395,亚联机械,无信号,,,,,,0.653039423517123,0.7194426739886848,无信号
001356,富岭股份,无信号,,,,,,,,无信号
688545,兴福电子,观察级,,,,,,0.1101830494246039,0.53249635485449,观察级
301602,超研股份,无信号,,,,,,0.2709016233963024,0.3586776737910371,无信号
688583,思看科技,无信号,,,,,,0.09578055388659024,0.3033047556553174,无信号
301601,惠通科技,无信号,,,,,,0.4006685463036164,,无信号
688758,赛分科技,强确认,,,,,,0.1608181145151453,0.5674146035473374,强确认
301458,钧崴电子,无信号,,,,,,0.2185213178562536,0.5674578601436617,无信号
603072,天和磁材,无信号,,,,,,0.3779573952399054,0.5557141581512987,无信号
301581,黄山谷捷,无信号,,,,,,,,无信号
001391,国货航,无信号,,,,,,0.7254744597052908,0.4707380109473989,无信号
603194,中力股份,无信号,,,,,,0.6702472185899045,0.491110877376799,无信号
301598,博科测试,无信号,,,,,,0.5273525554862691,0.6694371903550032,无信号
301585,蓝宇股份,无信号,,,,,,0.3439007849217501,0.3748405503070558,无信号
688605,先锋精科,无信号,,,,,,0.1737253658375817,0.3727415268889571,无信号
301617,博苑新材,无信号,,,,,,,,无信号
688708,佳驰科技,无信号,,,,,,,,无信号
301622,英思特,无信号,,,,,,0.3254622248171296,,无信号
688449,联芸科技,观察级,,,,,,0.2090224717592157,0.7610272174055427,观察级
603395,红四方,无信号,,,,,,0.1761905157288332,0.3604325940508668,无信号
301631,壹连科技,无信号,,,,,,0.6434930592631037,0.5019164407541507,无信号
688750,金天钛业,无信号,,,,,,0.4164846198289201,0.5152597709836386,无信号
603205,健尔康,无信号,,,,,,0.5470120302779907,0.4468320919604842,无信号
301633,港迪技术,无信号,,,,,,0.368725750517672,,无信号
301628,强达电路,无信号,,,,,,0.2476409930615212,0.4843972040307284,无信号
688726,拉普拉斯,无信号,,0.6123242214330482,,0.5577533112734296,0.5671346695560452,0.5671391682306899,0.6140072921986395,无信号
301613,新铝时代,无信号,,0.4837211807047531,,0.6130483561054225,0.6216394342874513,0.6218922870402798,0.482803057855671,无信号
301626,苏州天脉,无信号,,,,,,0.05730956276721292,0.3153506388060962,无信号
301592,六九一二,无信号,,,,,,,,无信号
301556,托普云农,无信号,,,,,,0.2837016265117263,0.4405721580295517,无信号
301522,上大股份,无信号,,,,,,,,无信号
001279,强邦新材,无信号,,,,,,0.3764345884882376,0.3378392043018597,无信号
301618,长联科技,无信号,,,,,,0.3248317963020373,0.3482607351159301,无信号
688615,合合信息,无信号,,0.6613477361999897,,0.41012057572721633,0.41859530181503457,0.4168373946157618,0.6674878911475363,无信号
301551,无线传媒,无信号,,,,,,0.4831857641083454,0.5560078785048048,无信号
603091,众鑫股份,无信号,,0.7202372210164317,,0.6025237336647503,0.609409676410394,0.6095518991277055,0.7254842280305956,无信号
301600,慧翰股份,无信号,,,,,,0.3215802935045067,0.5955444177735862,无信号
301607,富特科技,观察级,,,,,,0.3693343411213872,0.556437066270914,观察级
688710,益诺思,强确认,,,,,,0.2128311662889232,0.5882409521338147,强确认
001277,速达股份,无信号,,,,,,,,无信号
301586,佳力奇,无信号,0.4419943089285809,0.4470244042431072,0.44199430892858094,0.6582158024900969,0.6636844949336971,0.6624826196247963,0.4495133081606887,无信号
603207,小方制药,无信号,,0.6158999510281928,,0.5619428453190319,0.5678935057655135,0.5680784940477054,0.6204079238437656,无信号
301571,国科天成,无信号,,,,,,,,无信号
301611,珂玛科技,无信号,0.4549433678133333,0.4388244497710122,0.4549433678133333,0.054599636861279464,0.05741977508738427,0.05531495009500009,0.4403501714399214,无信号
603310,巍华新材,无信号,,0.37484499444724595,,0.5106091553002595,0.5160268286022515,0.5151161046500968,0.3781918215314399,无信号
688721,龙图光罩,无信号,0.452156187350949,0.4414626572132823,0.45215618735094903,0.20517521251653306,0.21352735461037986,0.2130659041911231,0.4473630894198633,无信号
301608,博实结,无信号,0.6245150898359937,0.6305666523829885,0.6245150898359937,0.6494897490174726,0.6565370038169073,0.6573895998166718,0.6365637112657999,无信号
603391,力聚热能,无信号,0.3788889241276891,0.44960827435040424,0.37888892412768915,0.5216297319672613,0.5286218433124676,0.5281741756144201,0.4542341696076486,无信号
301606,绿联科技,无信号,,,,,,,,无信号
301552,科力装备,无信号,0.4480707901714064,0.4756317821465942,0.44807079017140644,0.5821635215496187,0.5910895119191545,0.5913171728190121,0.4796528743120998,无信号
301603,乔锋智能,观察级,0.6170880365759566,0.6592880544574296,0.6170880365759566,0.2898673081848781,0.2973311464657405,0.2964860033736376,0.6636668715099759,观察级
603285,键邦股份,无信号,0.5214647593821853,0.5501660752355874,0.5214647593821853,0.42004241834471984,0.42240921078657817,0.4208407025634517,0.5561860856808238,无信号
603350,安乃达,无信号,,,,,,0.5118516741332786,0.3423491569232526,无信号
603381,永臻股份,无信号,,,,,,,,无信号
301580,爱迪特,无信号,0.5959274373688385,0.627281535376726,0.5959274373688385,0.4438627570678851,0.4564767607120284,0.4554491369923109,0.6333911371642303,无信号
301565,中仑新材,无信号,0.5116620401518878,0.6061569676419007,0.5116620401518878,0.42931962881893343,0.4341144787144648,0.4325040230774571,0.6082235486281712,无信号
688692,达梦数据,无信号,0.7211210813790727,0.5966836010683372,0.7211210813790727,0.29690533561471716,0.30259054113891404,0.3001181627787409,0.60243721605087,无信号
300784,利安科技,无信号,0.3610957684032483,0.3513952802068817,0.3610957684032483,0.40409357628608183,0.4100605690701549,0.4076739515742078,0.3546920406663162,无信号
301392,汇成真空,观察级,0.8011734594560863,,0.8011734594560863,,,,,观察级
301596,瑞迪智驱,无信号,0.4425536702616969,0.47844184147131663,0.44255367026169695,0.2818256813773234,0.2871882088235966,0.2859277499952165,0.4834346944670969,无信号
688530,欧莱新材,观察级,,,,,,,,观察级
301539,宏鑫科技,无信号,,,,,,,,无信号
688691,灿芯股份,无信号,,,,,,,,无信号
301587,中瑞股份,无信号,0.3998214669332094,0.4805235451238882,0.3998214669332094,0.5182673833875485,0.5259742232958898,0.5233643133069305,0.4841870071490366,无信号
001389,广合科技,观察级,0.7289614609543731,0.7119182458801068,0.7289614609543731,0.27264971656276016,0.2779469116568036,0.2747007474929877,0.7180412969853389,观察级
301536,星宸科技,观察级,0.6970809423869098,0.7446340637006647,0.6970809423869098,0.21071016006933485,0.21671596817265304,0.214049845487244,0.7457101007164747,观察级
001359,平安电工,观察级,0.508951956140559,0.4967583350405974,0.508951956140559,0.17148747788182664,0.1781998495802292,0.1761565852012072,0.5007328051436829,观察级
603344,星德胜,无信号,0.4374856297451557,0.41042441162038146,0.4374856297451557,0.6274731435731408,0.6369361932305624,0.63674971984758,0.4128388259402793,无信号
301538,骏鼎达,无信号,0.4579848853779008,0.5022740170340017,0.4579848853779008,0.5931628317005616,0.6026544768916335,0.6028942608380748,0.5065228746810265,无信号
688695,中创股份,无信号,,,,,,,,无信号
301588,美新科技,无信号,,,,,,,,无信号
603341,龙旗科技,无信号,0.148037132353113,0.15416239704530485,0.14803713235311308,0.4825390512086633,0.4917794977158672,0.4905207118242282,0.156012721900753,无信号
301591,肯特股份,无信号,0.4404992255008069,0.407904756723098,0.4404992255008069,0.20673956005966418,0.21455054763948034,0.2130550986393832,0.41315291402197,无信号
688584,上海合晶,观察级,0.4648445500057762,0.4609341162010514,0.4648445500057762,0.20171646152024567,0.21480014088473653,0.2142591668431748,0.4642152759977571,观察级
301589,诺瓦星云,无信号,0.5675158228486519,0.6646544936458001,0.5675158228486519,0.5807652979733811,0.5890153696956734,0.5891889226506754,0.6707454931937389,无信号
688709,成都华微,无信号,,,,,,,,无信号
301502,华阳智能,无信号,0.4639939577492211,0.5475721110246177,0.4639939577492211,0.3234914343900368,0.3312064404671739,0.3303629930864486,0.5498618250191178,无信号
603082,北自科技,无信号,0.2774764484595264,0.35444828535937173,0.27747644845952646,0.3241462644790497,0.3310178970159348,0.3285465860757824,0.3555454068545568,无信号
603375,盛景微,无信号,0.3921000503615238,,0.3921000503615238,,,,,无信号
301577,美信科技,无信号,,,,,,,,无信号
001379,腾达科技,无信号,0.4505820057753827,0.32146982669703195,0.45058200577538277,0.463242117793551,0.4711715596513646,0.4687470861761123,0.3235035181225046,无信号
601033,永兴股份,无信号,0.6848203599900293,0.7044360578372836,0.6848203599900293,0.8817954505212491,0.8847013498640655,0.885995886495508,0.7100271679116947,无信号
301567,贝隆精密,无信号,,,,,,,,无信号
603312,西典新能,无信号,0.5051814333910661,0.4676489661851897,0.5051814333910661,0.6152361558295093,0.6224304100724857,0.6225343815213163,0.4676911701344812,无信号
001387,雪祺电气,无信号,0.3711123080524618,0.26686276110369545,0.37111230805246187,0.6604032349599108,0.6688738337332456,0.6683291639225972,0.2683543495124324,无信号
603325,博隆技术,无信号,0.349464533199417,,0.349464533199417,,,,,无信号
688717,艾罗能源,无信号,0.4869200324304529,,0.4869200324304529,,,,,无信号
301566,达利凯普,无信号,0.6180483154126033,0.5710224496633075,0.6180483154126033,0.22183747316203703,0.2310820463833517,0.2292088638127695,0.575728499094202,无信号
301578,辰奕智能,无信号,,0.2789505485402389,,0.23860916742319482,0.2442616210127828,0.2449641610931893,0.2797333369914023,无信号
603004,鼎龙科技,无信号,0.5131071841594999,0.5024162428893078,0.5131071841594999,0.5661935990851786,0.5729243222481428,0.5720540950367705,0.5056042917441148,无信号
301526,国际复材,观察级,0.7089632940509406,0.715393650655873,0.7089632940509406,0.10354920711458648,0.11092935737604888,0.1091745379346598,0.7171446437942597,观察级
601096,宏盛华源,无信号,0.5003909894011075,0.33216505095999277,0.5003909894011075,0.4392772576597124,0.44644906281049174,0.4470026897960828,0.334883419626243,无信号
001358,兴欣新材,无信号,0.5410993719218644,0.48709925834974804,0.5410993719218644,0.4278540567864251,0.42487875414872794,0.4226795786103153,0.4924998683071763,无信号
603373,安邦护卫,无信号,0.5231796960837634,0.4749170128448831,0.5231796960837634,0.6168412450296816,0.6262859129353212,0.6262339918746128,0.4776370869886646,无信号
301413,安培龙,无信号,0.2394417571544595,0.2467314934001329,0.23944175715445953,0.24087122824164164,0.24579674464275056,0.2449489709196311,0.2484753495857476,无信号
