变量,组,n,启动率,lift,代码,名称
RPS60,低,1124.0,0.12366548042704627,0.939907819797449,,
RPS60,中,1498.0,0.11081441922563418,0.842234541254465,,
RPS60,高,1125.0,0.1671111111111111,1.2701122379986476,,
RPS250,低,1124.0,0.12188612099644128,0.9263839662751834,,
RPS250,中,1498.0,0.1068090787716956,0.8117923289199662,,
RPS250,高,1125.0,0.17422222222222222,1.3241595672751858,,
距一年低点,低,1124.0,0.10854092526690391,0.8249550648581926,,
距一年低点,中,1498.0,0.1041388518024032,0.7914975206969671,,
距一年低点,高,1125.0,0.19111111111111112,1.4525219743069642,,
120日收益,低,1124.0,0.12544483985765126,0.9534316733197145,,
120日收益,中,1498.0,0.10614152202937249,0.8067186268642164,,
120日收益,高,1125.0,0.17155555555555554,1.3038918187964839,,
MA20持续度,低,1113.0,0.12219227313566937,0.9287108467329677,,
MA20持续度,中,1513.0,0.1209517514871117,0.9192823789497109,,
MA20持续度,高,1121.0,0.15521855486173058,1.179723985936926,,
20日波动率,低,1124.0,0.07651245551601424,0.5815257014574144,,
20日波动率,中,1498.0,0.13818424566088117,1.0502563255402062,,
20日波动率,高,1125.0,0.17777777777777778,1.351183231913455,,
**换手加速20/60**,低,1124.0,0.09875444839857651,0.7505738704857325,,
**换手加速20/60**,中,1498.0,0.1321762349799733,1.0045930070384583,,
**换手加速20/60**,高,1125.0,0.16355555555555557,1.2430885733603787,,
**成交额加速20/60**,低,1124.0,0.10587188612099645,0.8046692845747945,,
**成交额加速20/60**,中,1498.0,0.12750333778371162,0.9690770926482097,,
**成交额加速20/60**,高,1125.0,0.16266666666666665,1.236332657200811,,
**波动加速20/60**,低,1124.0,0.1103202846975089,0.8384789183804581,,
**波动加速20/60**,中,1498.0,0.13951935914552738,1.060403729651706,,
**波动加速20/60**,高,1125.0,0.14222222222222222,1.0809465855307638,,
流通市值(小→大),低,1124.0,0.10765124555160142,0.8181931380970598,,
流通市值(小→大),中,1498.0,0.10947930574098798,0.8320871371429653,,
流通市值(小→大),高,1125.0,0.18488888888888888,1.4052305611899931,,
20日均换手,低,1124.0,0.1094306049822064,0.8317169916193252,,
20日均换手,中,1498.0,0.12750333778371162,0.9690770926482097,,
20日均换手,高,1125.0,0.15911111111111112,1.2093089925625422,,
距低点高 & 波动率高,组合,566.0,0.21554770318021202,1.6382499874569054,,
距低点高 & 换手加速高,组合,423.0,0.22695035460992907,1.724914764144836,,
距低点高 & 成交额加速高,组合,461.0,0.22559652928416485,1.7146251424498289,,
RPS250高 & 换手加速高,组合,373.0,0.20911528150134048,1.5893609731957865,,
距低点高 & 波动率高 & 换手加速高,组合,287.0,0.24390243902439024,1.8537574828080936,,
距低点高 & 市值大 & 波动率高,组合,321.0,0.2554517133956386,1.9415366533335856,,
当前名单,距低点高 & 市值大 & 波动率高(历史 lift 1.94),,,,603124,江南新材
