年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
2024,"RPS250(全市场分位,高)",28.0,1.0,0.5,4.946428571428572,,,,
2024,"RPS60(全市场分位,高)",28.0,1.0,0.5,4.946428571428572,,,,
2024,120日收益(高),28.0,0.0,0.0,0.0,,,,
2024,距一年低点(高),28.0,1.0,0.5,4.946428571428572,,,,
2024,MA20持续度(高),28.0,1.0,0.5,4.946428571428572,,,,
2024,20日波动率(高),28.0,0.0,0.0,0.0,,,,
2024,流通市值(小),28.0,0.0,0.0,0.0,,,,
2024,20日均换手(低),28.0,0.0,0.0,0.0,,,,
2024,【陶博士】RPS250>95,8.0,1.0,0.5,17.3125,,,,
2025,"RPS250(全市场分位,高)",47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,"RPS60(全市场分位,高)",47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,120日收益(高),47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,距一年低点(高),47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,MA20持续度(高),47.0,3.0,0.05172413793103448,0.5139398385913426,0.1724137931034483,,,
2025,20日波动率(高),47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,流通市值(小),47.0,5.0,0.08620689655172414,0.8565663976522377,0.1724137931034483,,,
2025,20日均换手(低),47.0,4.0,0.06896551724137931,0.6852531181217901,0.1724137931034483,,,
2025,【陶博士】RPS250>95,12.0,1.0,0.017241379310344827,0.6709770114942528,,,,
当前,"RPS250(全市场分位,高)",,,,,,688146,中船特气,电子-电子化学品
当前,"RPS250(全市场分位,高)",,,,,,688498,源杰科技,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301377,鼎泰高科,机械设备-通用设备
当前,"RPS250(全市场分位,高)",,,,,,001331,胜通能源,公用事业-燃气
当前,"RPS250(全市场分位,高)",,,,,,301526,国际复材,建材-玻璃玻纤
当前,"RPS250(全市场分位,高)",,,,,,688702,盛科通信-U,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688627,精智达,机械设备-专用设备
当前,"RPS250(全市场分位,高)",,,,,,001309,德明利,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301232,飞沃科技,电力设备-风电设备
当前,"RPS250(全市场分位,高)",,,,,,301319,唯特偶,电子-电子化学品
当前,"RPS250(全市场分位,高)",,,,,,688347,华虹宏力,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688485,九州一轨,机械设备-轨交设备
当前,"RPS250(全市场分位,高)",,,,,,603061,金海通,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301308,江波龙,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688361,中科飞测,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688141,杰华特,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301362,民爆光电,电子-光学光电
当前,"RPS250(全市场分位,高)",,,,,,301396,宏景科技,计算机-软件服务
当前,"RPS250(全市场分位,高)",,,,,,301292,海科新源,电力设备-电池
当前,"RPS250(全市场分位,高)",,,,,,688525,佰维存储,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688548,广钢气体,电子-电子化学品
当前,"RPS250(全市场分位,高)",,,,,,301369,联动科技,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688610,埃科光电,机械设备-通用设备
当前,"RPS250(全市场分位,高)",,,,,,688120,华海清科,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688409,富创精密,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301205,联特科技,通信-通信设备
当前,"RPS250(全市场分位,高)",,,,,,688353,华盛锂电,电力设备-电池
当前,"RPS250(全市场分位,高)",,,,,,688147,微导纳米,电力设备-光伏设备
当前,"RPS250(全市场分位,高)",,,,,,688629,华丰科技,国防军工-军工电子
当前,"RPS250(全市场分位,高)",,,,,,301165,锐捷网络,通信-通信设备
当前,"RPS250(全市场分位,高)",,,,,,688172,燕东微,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688549,中巨芯-U,电子-电子化学品
当前,"RPS250(全市场分位,高)",,,,,,301338,凯格精机,机械设备-专用设备
当前,"RPS250(全市场分位,高)",,,,,,688411,海博思创,电力设备-电池
当前,"RPS250(全市场分位,高)",,,,,,688432,有研硅,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688531,日联科技,机械设备-专用设备
当前,"RPS250(全市场分位,高)",,,,,,301511,德福科技,电力设备-电池
当前,"RPS250(全市场分位,高)",,,,,,603163,圣晖集成,建筑-专业工程
当前,"RPS250(全市场分位,高)",,,,,,688530,欧莱新材,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688545,兴福电子,电子-电子化学品
