route,window,total,cagr,mdd,sharpe,bench_div,trades,frozen,codex_total,codex_cagr,codex_mdd,codex_sharpe,codex_bench_nodiv
R01,train,1.071579384670991,0.12921629544086244,-0.3070774888918778,0.8218850486499584,0.9259494933672063,,,0.9202,0.115,-0.3473,0.688,0.7297
R01,validation,0.03805439575320957,0.012558927936274333,-0.16253522829981615,0.1618887498877912,-0.024019923278486344,,,-0.1323,-0.0463,-0.2036,-0.262,-0.0509
R01,oos,0.08057311389712973,0.0262337120595042,-0.171527000086383,0.3026345552710253,0.2757554181524655,,,0.1242,0.0399,-0.1385,0.447,0.2036
R01,holdout,-0.04757755012416398,-0.08517589303235307,-0.11583250883904495,-0.3926988782232167,-0.003904742517453985,,,-0.0212,-0.0378,-0.099,-0.109,-0.0188
R01,full,1.3551261354469974,0.07402733215817126,-0.3070774888918778,0.564449362102045,1.4404423718743913,,,0.8658,0.0534,-0.3505,0.42,1.0072
R13,train,-0.03283057151721247,-0.00555446869302445,-0.4936629209476433,0.09705589754534504,0.9259494933672063,786.0,42.0,0.4184,0.0601,-0.2546,0.429,0.7297
R13,validation,-0.15800044957839188,-0.055849310837906896,-0.47323579205121047,-0.1911420562351556,-0.024019923278486344,585.0,1.0,-0.1577,-0.0558,-0.4927,-0.229,-0.0509
R13,oos,-0.23998087460859863,-0.08762181769155197,-0.2921057910199414,-0.504768659875838,0.2757554181524655,493.0,0.0,-0.0767,-0.0263,-0.2305,-0.113,0.2036
R13,holdout,0.06040297253370275,0.11305416155350012,-0.13711378672145502,0.638490444382573,-0.003904742517453985,65.0,0.0,0.1004,0.1878,-0.1004,1.378,-0.0188
R13,full,-0.3417264425361545,-0.03425983848778069,-0.6202462775403923,-0.06123940656634631,1.4404423718743913,1848.0,43.0,0.4216,0.0298,-0.5918,0.255,1.0072
