调仓日,排名,代码,名称,复合分,EP,BP,CFP,不复权价,流通市值_亿,是否新进
2021-01-21,1,600657,,0.9965,0.2518,2.044,1.0079,3.89,59.3,
2021-01-21,2,601077,,0.9923,0.1749,1.8496,1.1044,4.4,258.6,
2021-01-21,3,600000,,0.9906,0.1785,1.7433,0.7138,9.97,2927.0,
2021-01-21,4,601998,,0.9877,0.1693,1.8137,0.5036,5.14,1749.5,
2021-01-21,5,600782,,0.984,0.1879,1.6109,0.4082,4.42,140.9,
2021-01-21,6,601818,,0.9824,0.149,1.4835,0.8189,4.23,1748.0,
2021-01-21,7,601398,,0.9809,0.154,1.4113,0.7074,5.13,13831.5,
2021-01-21,8,600743,,0.9779,0.1517,1.6836,0.3346,2.11,49.5,
2021-01-21,9,600027,,0.9759,0.1188,1.4506,0.8128,3.3,268.7,
2021-01-21,10,600153,,0.9757,0.2512,1.4004,0.2905,8.16,231.4,
2021-01-21,11,601939,,0.9747,0.1439,1.3068,0.6023,6.74,646.8,
2021-01-21,12,600665,,0.9743,0.1166,1.4107,1.0387,3.05,26.3,新
2021-01-21,13,601186,,0.9739,0.1671,1.6362,0.262,8.08,929.4,
2021-01-21,14,002110,,0.972,0.1826,1.22,0.4099,6.63,146.1,
2021-01-21,15,603323,,0.9709,0.1088,1.3486,1.5212,4.87,70.2,
2021-01-21,16,000900,,0.9706,0.0947,1.6442,0.7545,4.12,62.5,新
2021-01-21,17,600188,,0.9705,0.1975,1.13,0.4494,10.25,303.4,
2021-01-21,18,600751,,0.9705,0.0919,1.778,1.0619,2.64,68.1,
2021-01-21,19,600325,,0.9688,0.1809,1.0528,1.893,6.19,130.7,新
2021-01-21,20,601669,,0.9682,0.1158,1.4563,0.3731,3.99,444.6,
2021-02-25,1,600657,,0.996,0.2398,1.9469,0.96,4.09,62.3,
2021-02-25,2,601077,,0.9937,0.1789,1.8922,1.1298,4.3,252.8,
2021-02-25,3,600000,,0.9879,0.1648,1.6094,0.6589,10.8,3170.6,
2021-02-25,4,601998,,0.987,0.1624,1.7393,0.4829,5.36,1824.3,
2021-02-25,5,601818,,0.9845,0.149,1.4835,0.8189,4.23,1748.0,
2021-02-25,6,600782,,0.9839,0.1825,1.5647,0.3965,4.55,145.0,
2021-02-25,7,600751,,0.9807,0.106,2.0509,1.2249,2.29,59.0,
2021-02-25,8,600027,,0.9796,0.1212,1.4801,0.8293,3.23,263.4,
2021-02-25,9,600743,,0.9788,0.1495,1.6593,0.3297,2.14,50.2,
2021-02-25,10,601398,,0.9775,0.1451,1.3297,0.6665,5.44,14679.9,
2021-02-25,11,600665,,0.9755,0.1153,1.3954,1.0274,3.08,26.6,
2021-02-25,12,601186,,0.9745,0.1679,1.6438,0.2632,8.04,925.1,
2021-02-25,13,600188,,0.9744,0.2057,1.1768,0.4681,9.84,292.7,
2021-02-25,14,603323,,0.9731,0.1091,1.3527,1.5259,4.86,69.9,
2021-02-25,15,600153,,0.9729,0.241,1.3437,0.2788,8.5,241.1,
2021-02-25,16,601669,,0.9706,0.1168,1.4689,0.3763,3.96,440.8,
2021-02-25,17,002110,,0.9703,0.177,1.1831,0.3975,6.83,150.6,
2021-02-25,18,600971,,0.9703,0.1288,1.4081,0.3318,5.28,63.4,新
2021-02-25,19,002807,,0.9697,0.1192,1.2493,0.6798,4.2,91.0,新
2021-02-25,20,601939,,0.9686,0.1318,1.1971,0.5518,7.36,706.1,
2021-03-25,1,600657,,0.9962,0.2441,1.9816,0.9771,4.01,61.2,
2021-03-25,2,601077,,0.9935,0.1801,1.9047,1.1373,4.27,251.1,
2021-03-25,3,600000,,0.989,0.1674,1.6349,0.6694,10.63,3121.1,
2021-03-25,4,601998,,0.9877,0.1645,1.7619,0.4892,5.29,1801.0,
2021-03-25,5,601818,,0.9869,0.1558,1.5507,0.8559,4.04,1672.3,
2021-03-25,6,600751,,0.983,0.1124,2.1749,1.299,2.16,55.6,
2021-03-25,7,000877,,0.9816,0.1043,4.6226,2.366,15.78,138.8,新
2021-03-25,8,600743,,0.9807,0.1548,1.7171,0.3412,2.07,48.5,
2021-03-25,9,601398,,0.9794,0.1473,1.3501,0.6767,5.36,14458.6,
2021-03-25,10,601186,,0.9762,0.174,1.7042,0.2728,7.76,892.3,
2021-03-25,11,600027,,0.9757,0.1165,1.4223,0.7969,3.36,274.1,
2021-03-25,12,600665,,0.9754,0.1161,1.4055,1.0349,3.06,26.4,
2021-03-25,13,603323,,0.974,0.1112,1.3782,1.5547,4.77,68.7,
2021-03-25,14,600153,,0.9735,0.2423,1.3508,0.2802,8.46,239.9,
2021-03-25,15,600782,,0.9734,0.1562,1.3398,0.3395,5.31,169.4,
2021-03-25,16,601939,,0.9732,0.1374,1.2483,0.5754,7.06,677.1,
2021-03-25,17,600325,,0.972,0.1824,1.0616,1.9087,6.14,129.6,新
2021-03-25,18,601669,,0.9696,0.1155,1.4522,0.372,4.0,445.9,
2021-03-25,19,600971,,0.9695,0.1278,1.3963,0.329,5.33,64.0,
2021-03-25,20,600348,,0.9695,0.1043,1.4712,0.4737,4.89,117.6,新
2021-04-23,1,601077,,0.9935,0.1797,1.9933,0.9058,4.12,242.0,
2021-04-23,2,601328,,0.9915,0.201,2.0037,0.4084,4.93,1933.5,新
2021-04-23,3,601998,,0.9906,0.1768,1.8058,0.6038,5.32,1810.3,
2021-04-23,4,600657,,0.9899,0.1433,2.1891,0.698,3.7,56.4,
2021-04-23,5,601818,,0.9889,0.1749,1.6586,0.558,3.89,1608.2,
2021-04-23,6,600000,,0.988,0.1801,1.7244,0.4129,10.44,3064.0,
2021-04-23,7,601186,,0.9879,0.1912,1.7466,0.3766,7.84,902.3,
2021-04-23,8,600376,,0.9849,0.1826,1.6646,0.3499,6.19,159.8,新
2021-04-23,9,600153,,0.9848,0.1886,1.5076,0.4026,8.43,239.0,
