路线,窗口,分位,分位含义,年化,相对全市场等权pp,平均持股
R08,full,D1,分数第 0–10 百分位,0.027736534768848742,-10.862656782411584,211.97916666666666
R08,full,D2,分数第 10–20 百分位,0.09711655994421942,-3.9246542648745164,211.96527777777777
R08,full,D3,分数第 20–30 百分位,0.10719540354738832,-2.9167699045576256,211.90277777777777
R08,full,D4,分数第 30–40 百分位,0.12425995877575957,-1.2103143817205009,211.98611111111111
R08,full,D5,分数第 40–50 百分位,0.14781556643172422,1.1452463838759641,211.96527777777777
R08,full,D6,分数第 50–60 百分位,0.15323505015000172,1.6871947557037137,211.96527777777777
R08,full,D7,分数第 60–70 百分位,0.14300260096487105,0.6639498371906472,211.96527777777777
R08,full,D8,分数第 70–80 百分位,0.1543456294256751,1.798252683271051,211.92361111111111
R08,full,D9,分数第 80–90 百分位,0.15880909502453955,2.244599243157497,211.98611111111111
R08,full,D10,分数第 90–100 百分位,0.16209267545524209,2.5729572862277506,211.95833333333334
R08,oos,D1,分数第 0–10 百分位,0.061227434419030224,-12.553119265384783,294.97222222222223
R08,oos,D2,分数第 10–20 百分位,0.13727510420549827,-4.948352286737978,294.75
R08,oos,D3,分数第 20–30 百分位,0.1803541118630987,-0.640451520977936,294.8333333333333
R08,oos,D4,分数第 30–40 百分位,0.1690585566907481,-1.770007038212995,294.8888888888889
R08,oos,D5,分数第 40–50 百分位,0.19042053706402284,0.3661909991144796,294.94444444444446
R08,oos,D6,分数第 50–60 百分位,0.22782190120720003,4.106327413432198,294.77777777777777
R08,oos,D7,分数第 60–70 百分位,0.19581720760307197,0.9058580530193927,294.8333333333333
R08,oos,D8,分数第 70–80 百分位,0.1766130045091845,-1.0145622563693557,294.8888888888889
R08,oos,D9,分数第 80–90 百分位,0.19111436639985646,0.4355739326978414,294.80555555555554
R08,oos,D10,分数第 90–100 百分位,0.19331069160991832,0.655206453704027,294.9166666666667
R09,full,D1,分数第 0–10 百分位,0.09249531836844516,-4.386778422451942,201.9928057553957
R09,full,D2,分数第 10–20 百分位,0.10798188550477361,-2.838121708819097,202.05755395683454
R09,full,D3,分数第 20–30 百分位,0.11712574295549127,-1.9237359637473306,201.93525179856115
R09,full,D4,分数第 30–40 百分位,0.11322118415396609,-2.3141918438998488,202.0503597122302
R09,full,D5,分数第 40–50 百分位,0.12829997749538924,-0.8063125097575341,202.10071942446044
R09,full,D6,分数第 50–60 百分位,0.14366429613219944,0.7301193539234863,201.9064748201439
R09,full,D7,分数第 60–70 百分位,0.14805918531961915,1.1696082726654566,201.98561151079136
R09,full,D8,分数第 70–80 百分位,0.13831830010783408,0.19551975148695,202.0
R09,full,D9,分数第 80–90 百分位,0.15631087986091652,1.9947777267951938,202.12230215827338
R09,full,D10,分数第 90–100 百分位,0.1455286431679852,0.9165540575020614,201.92805755395685
R09,oos,D1,分数第 0–10 百分位,0.1507862211339397,-3.5972405938938357,279.0
R09,oos,D2,分数第 10–20 百分位,0.18390692957261656,-0.2851697500261485,279.1111111111111
R09,oos,D3,分数第 20–30 百分位,0.18020831044104413,-0.6550316631833919,278.94444444444446
R09,oos,D4,分数第 30–40 百分位,0.1951708103997234,0.8412183326845346,279.0833333333333
R09,oos,D5,分数第 40–50 百分位,0.1835375610717458,-0.32210660011322556,279.1111111111111
R09,oos,D6,分数第 50–60 百分位,0.18281491512686854,-0.39437119460095094,278.8888888888889
R09,oos,D7,分数第 60–70 百分位,0.18068515000637175,-0.6073477066506294,279.02777777777777
R09,oos,D8,分数第 70–80 百分位,0.17045457496399052,-1.6304052108887523,279.0
R09,oos,D9,分数第 80–90 百分位,0.15838250974777535,-2.83761173251027,279.1666666666667
R09,oos,D10,分数第 90–100 百分位,0.12835892786799818,-5.839969920487986,278.94444444444446
