year,code,name,industry_l1,is_delisted,listing_date,is_listing_year,main_sample,return_basis,price_basis,base_date,base_adjusted_price,end_date,end_adjusted_price,annual_return,annual_multiple,annual_gt_100,intra_trough_date,intra_trough_adjusted_price,intra_peak_date,intra_peak_adjusted_price,intra_max_return,intra_max_multiple,intra_gt_100,trading_days,tpos,mv_yi,r20,yoy
2013,300315,掌趣科技,医药生物,False,2012-05-11,False,True,上年最后交易日,后复权,2012-12-03,23.0,2013-12-31,114.39,3.973478260869565,4.973478260869565,True,2013-02-05,25.3,2013-11-25,157.75,5.235177865612648,6.235177865612648,True,150,22,10.29011895512043,,
2013,002681,奋达科技,家用电器,False,2012-06-05,False,True,上年最后交易日,后复权,2012-12-31,10.34,2013-12-31,50.57,3.890715667311413,4.8907156673114125,True,2013-04-03,9.94,2013-11-29,74.2,6.464788732394367,7.464788732394367,True,236,58,3.6520231014264315,-0.11428571428571432,
2013,300052,中青宝,医药生物,False,2010-02-11,False,True,上年最后交易日,后复权,2012-12-31,14.95,2013-12-31,66.06,3.418729096989967,4.418729096989967,True,2013-02-04,13.49,2013-09-10,129.13,8.57227575982209,9.57227575982209,True,230,21,7.347912876668593,-0.08058608058608063,
2013,300191,潜能恒信,煤炭,False,2011-03-16,False,True,上年最后交易日,后复权,2012-12-31,27.7,2013-12-31,119.83,3.3259927797833937,4.325992779783394,True,2013-04-03,27.56,2013-12-13,147.76,4.361393323657475,5.361393323657475,True,227,58,6.23976207255804,-0.1726263871763255,
2013,300226,上海钢联,医药生物,False,2011-06-08,False,True,上年最后交易日,后复权,2012-12-31,26.2,2013-12-31,111.79,3.266793893129772,4.266793893129772,True,2013-04-08,22.85,2013-09-23,129.89,4.684463894967176,5.684463894967176,True,238,59,3.316568857418815,-0.1480144404332131,
2013,002071,长城退,轻工制造,True,2006-10-12,False,False,上年最后交易日,前复权（后复权缺失回退）,2012-12-31,5.35,2013-12-31,20.65,2.8598130841121496,3.8598130841121496,True,2013-04-15,4.8,2013-10-09,30.27,5.30625,6.30625,True,174,64,,-0.11439114391143912,
2013,300274,阳光电源,机械设备,False,2011-11-02,False,True,上年最后交易日,后复权,2012-12-31,15.61,2013-12-31,58.55,2.7508007687379883,3.750800768737988,True,2013-02-04,15.61,2013-10-29,64.09,3.105701473414478,4.105701473414478,True,233,21,12.073644689959869,-0.09714285714285709,
2013,300085,银之杰,医药生物,False,2010-05-26,False,True,上年最后交易日,后复权,2012-12-31,16.31,2013-12-31,58.86,2.608828939301042,3.608828939301042,True,2013-04-03,15.76,2013-12-25,60.83,2.859771573604061,3.859771573604061,True,237,58,2.9106204978350187,-0.1333333333333333,
2013,600485,*ST信威,电子,True,2003-08-07,False,False,上年最后交易日,前复权（后复权缺失回退）,2012-12-31,7.14,2013-12-16,20.49,1.869747899159664,2.869747899159664,True,2013-04-15,6.95,2013-10-21,26.51,2.8143884892086333,3.814388489208633,True,200,64,,-0.07579787234042545,
2013,300286,安科瑞,机械设备,False,2012-01-13,False,True,上年最后交易日,后复权,2012-12-31,35.26,2013-12-31,100.85,1.860181508791832,2.860181508791832,True,2013-04-15,29.76,2013-12-30,106.37,2.574260752688172,3.574260752688172,True,238,64,2.5240110479712583,-0.1482254697286013,
2013,002414,高德红外,电子,False,2010-07-16,False,True,上年最后交易日,后复权,2012-12-31,16.84,2013-12-31,47.93,1.8461995249406176,2.8461995249406176,True,2013-04-15,15.58,2013-12-03,50.66,2.2516046213093706,3.2516046213093706,True,238,64,11.879625247592438,-0.12195121951219501,
2013,300269,联建光电,电子,False,2011-10-12,False,True,上年最后交易日,后复权,2012-12-31,12.86,2013-12-31,36.41,1.8312597200622085,2.8312597200622083,True,2013-07-08,12.12,2013-12-31,36.41,2.004125412541254,3.004125412541254,True,189,118,3.836447994040388,-0.17101449275362324,
2013,300097,智云股份,机械设备,False,2010-07-28,False,True,上年最后交易日,后复权,2012-12-31,12.26,2013-12-31,33.23,1.7104404567699834,2.710440456769984,True,2013-04-15,12.07,2013-12-30,36.87,2.0546810273405134,3.0546810273405134,True,238,64,3.2584095580064814,-0.13157894736842102,
2013,002555,三七互娱,汽车,False,2011-03-02,False,True,上年最后交易日,后复权,2012-12-31,21.5,2013-12-31,56.8,1.6418604651162791,2.641860465116279,True,2013-06-25,20.14,2013-11-20,61.66,2.061569016881827,3.061569016881827,True,184,109,3.298997790720501,-0.05714285714285705,
2013,002085,万丰奥威,汽车,False,2006-11-28,False,True,上年最后交易日,后复权,2012-12-31,10.43,2013-12-31,26.8,1.569511025886865,2.569511025886865,True,2013-06-24,9.67,2013-12-24,30.76,2.1809720785935887,3.1809720785935887,True,216,108,10.268540100357423,-0.1875,
2013,002229,鸿博股份,轻工制造,False,2008-05-08,False,True,上年最后交易日,后复权,2012-12-31,19.73,2013-12-31,50.18,1.5433350228079066,2.5433350228079066,True,2013-04-15,19.19,2013-10-09,58.72,2.0599270453361123,3.0599270453361123,True,222,64,10.125559094387917,-0.1148325358851674,
2013,600640,国脉文化,社会服务,False,1993-04-07,False,True,上年最后交易日,后复权,2012-12-31,73.49,2013-12-31,172.16,1.342631650564703,2.342631650564703,True,2013-03-13,69.15,2013-10-14,304.39,3.401879971077367,4.401879971077367,True,238,43,14.75734754194201,-0.09740259740259738,
2013,600637,东方明珠,医药生物,False,1993-03-16,False,True,上年最后交易日,后复权,2012-12-31,55.58,2013-12-31,129.48,1.3296149694134578,2.329614969413458,True,2013-03-13,54.57,2013-09-30,183.34,2.359721458676929,3.359721458676929,True,237,43,129.92797401711297,-0.08165322580645162,
2013,300304,云意电气,汽车,False,2012-03-21,False,True,上年最后交易日,后复权,2012-12-31,17.59,2013-12-31,37.95,1.1574758385446278,2.157475838544628,True,2013-04-15,15.91,2013-11-29,51.0,2.2055311125078565,3.2055311125078565,True,235,64,3.9019718113082416,-0.1029411764705882,
2013,002199,东晶电子,电子,False,2007-12-21,False,True,上年最后交易日,后复权,2012-12-31,15.14,2013-12-31,32.44,1.1426684280052837,2.142668428005284,True,2013-06-27,14.4,2013-12-05,44.32,2.077777777777777,3.077777777777777,True,236,111,6.589702277631533,-0.2496570644718793,
2013,600822,上海物贸,商贸零售,False,1994-02-04,False,True,上年最后交易日,后复权,2012-12-31,12.17,2013-12-31,25.37,1.084634346754314,2.084634346754314,True,2013-06-27,10.42,2013-09-25,47.75,3.5825335892514394,4.582533589251439,True,238,111,15.086086396738628,-0.19747899159663862,
2013,000681,视觉中国,综合,False,1997-01-21,True,False,当年首个交易日（无上年末价格）,后复权,2013-02-08,30.27,2013-12-31,62.72,1.07201850016518,2.07201850016518,True,2013-02-08,30.27,2013-10-09,98.34,2.248761149653122,3.248761149653122,True,97,25,8.504062684977294,,
