name,code,status,is_10x,研报倍数,普查倍数,倍数比,区间重叠,对得上,普查trough,普查peak
颐海国际,,港股,,,,,,,,
酒鬼酒,000799,ok,True,17.4827,27.096666666666664,1.5499131522400238,1.0,True,2010-05-21,2021-06-22
山西汾酒,600809,ok,True,16.7589,44.19364112971419,2.637025170489363,1.0,False,2014-06-19,2021-07-15
百润股份,002568,ok,True,15.5957,37.05545617173524,2.3760046789650504,1.0,False,2012-01-05,2021-02-10
澳优,,港股,,,,,,,,
舍得酒业,600702,ok,True,9.0665,26.548320565704184,2.9281774185963916,1.0,False,2010-07-05,2021-12-10
安井食品,603345,ok,True,8.974,18.067457838850714,2.013311548791031,1.0,False,2017-02-22,2021-02-09
重庆啤酒,600132,ok,True,8.0597,19.89066619792582,2.467916448245694,1.0,False,2016-02-01,2021-07-21
贵州茅台,600519,ok,True,7.9986,33.13843241703938,4.143029082219312,1.0,False,2010-06-29,2021-02-10
伊利股份,600887,起点早于普查,,,,,,,,
水井坊,600779,ok,True,6.8667,25.621911654604443,3.7313282442227624,1.0,False,2014-06-19,2021-07-21
安琪酵母,600298,ok,True,6.8453,15.105947955390336,2.20676200537454,1.0,False,2012-12-03,2020-08-21
五粮液,000858,ok,True,6.3407,27.727927447319285,4.3730073094956845,1.0,False,2014-01-08,2021-02-19
顺鑫农业,000860,ok,True,5.8061,11.20556640625,1.9299644178105786,1.0,True,2012-12-03,2021-01-05
古井贡酒,000596,ok,True,5.7775,21.01458832933653,3.6373151586908747,1.0,False,2010-03-05,2023-04-04
泸州老窖,000568,ok,True,4.8971,24.342891589050165,4.970879007790359,1.0,False,2014-06-04,2021-02-10
老白干酒,600559,ok,False,4.8119,9.98577311868214,2.075224572140348,1.0,False,2012-01-05,2023-03-01
涪陵榨菜,002507,ok,True,4.6662,21.4194729136164,4.5903460875265525,1.0,False,2012-01-05,2021-02-19
海天味业,603288,ok,True,4.6259999999999994,15.688724356008022,3.3914233367937796,1.0,False,2014-07-14,2021-01-14
恒顺醋业,600305,ok,True,4.374499999999999,20.40498442367601,4.664529528786378,1.0,False,2012-01-05,2020-08-27
中炬高新,600872,ok,True,3.6242,22.84600049838026,6.30373613442422,1.0,False,2012-01-05,2020-09-02
汤臣倍健,300146,ok,True,2.8091999999999997,11.791179020372777,4.197344090977068,1.0,False,2011-05-30,2021-05-25
