段,事件,基准,选中,覆盖率,启动率,lift,召回,噪音上界95,对照
"训练段 2019–2022(只报数,不判定)",45685.0,0.10808799387107365,4834.0,0.10581153551493926,0.14170459247000414,1.311011402793062,0.1387201296071284,1.056464663272657,
**留出段 2023-01–2026-04(判据在这里)**,53203.0,0.10020111647839408,5564.0,0.10458056876491927,0.14072609633357297,1.404436410286078,0.14687675858187957,1.0619368795783812,
2019,11227.0,0.1418900863988599,1355.0,,0.16236162361623616,1.1442774314748796,,,
2020,9547.0,0.11144862260395937,852.0,,0.20422535211267606,1.8324618765222915,,,
2021,12937.0,0.09708587771508077,1198.0,,0.15025041736227046,1.5476032240570805,,,
2022,11974.0,0.08560213796559211,1429.0,,0.07767669699090272,0.9074153851405553,,,
2023,16561.0,0.03828271239659441,1871.0,,0.058257616247995726,1.5217734742634972,,,
2024,17931.0,0.14778874574758796,1957.0,,0.17424629535002556,1.179022762989173,,,
2025,14126.0,0.11631034970975507,1272.0,,0.20361635220125787,1.7506296964059456,,,
2026,4585.0,0.088113413304253,464.0,,0.15948275862068967,1.8099714066234212,,,
留出段·同市值同行业对照,,,,,0.14072609633357297,1.2700010270103728,,,0.11080786026200873
