观察日,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-01-31,600218,全柴动力,机械设备,0.9416,1.7003,29.7,1.7974,True
2019-01-31,002498,汉缆股份,电力设备,0.2356,1.5543,77.1,0.6791,True
2019-01-31,002565,顺灏股份,轻工制造,0.7051,1.5185,41.7,2.6241,True
2019-01-31,601616,广电电气,电力设备,0.2782,1.3772,33.3,0.4448,False
2019-01-31,600192,长城电工,电力设备,0.2456,1.3114,22.0,1.008,True
2019-01-31,002274,华昌化工,基础化工,0.1962,1.2843,36.9,1.7886,True
2019-01-31,000070,特发信息,通信,0.5196,1.2492,53.7,1.1493,True
2019-01-31,002733,雄韬股份,电力设备,1.272,1.1789,56.2,1.0319,True
2019-01-31,300582,英飞特,电子,0.5456,1.1639,16.6,0.2272,False
2019-01-31,000957,中通客车,汽车,0.2279,1.1532,30.5,1.0798,True
2019-01-31,601901,方正证券,非银金融,0.3689,1.1518,502.9,0.3644,False
2019-01-31,000055,方大集团,建筑装饰,0.3524,1.1049,35.3,0.6335,True
2019-01-31,300129,泰胜风能,电力设备,0.4872,1.104,20.5,0.3563,False
2019-01-31,002116,中国海诚,建筑装饰,0.3266,1.0511,34.5,0.562,True
2019-01-31,600833,第一医药,医药生物,0.2149,1.0351,20.1,0.42,False
2019-01-31,002639,雪人集团,机械设备,0.3171,1.0243,36.2,1.3091,True
2019-01-31,600268,国电南自,电力设备,0.1689,1.0176,26.4,1.1407,True
2019-01-31,603017,中衡设计,建筑装饰,0.4529,1.0154,32.4,0.3961,False
2019-01-31,300632,光莆股份,电子,0.3816,1.0001,6.9,0.5839,True
2019-01-31,600353,旭光电子,电子,0.2351,0.9703,24.6,0.5,True
2019-01-31,300547,川环科技,汽车,0.393,0.9304,13.1,0.3002,False
2019-01-31,300066,三川智慧,机械设备,0.1736,0.9269,36.1,0.4675,False
2019-01-31,600361,创新新材,商贸零售,0.2391,0.9165,25.8,0.3129,False
2019-01-31,002170,芭田股份,基础化工,0.4641,0.8923,22.1,0.4412,False
2019-01-31,600517,国网英大,电力设备,0.1697,0.8809,44.2,2.3549,True
2019-01-31,603321,梅轮电梯,机械设备,0.3845,0.8772,10.2,0.0535,False
2019-01-31,600855,航天长峰,计算机,0.2581,0.8742,35.5,0.6182,True
2019-01-31,002158,汉钟精机,机械设备,0.2007,0.8636,42.1,0.6328,True
2019-01-31,603186,华正新材,电子,0.4966,0.8618,13.6,0.8196,True
2019-01-31,300453,三鑫医疗,医药生物,0.347,0.7951,9.8,0.4475,False
2019-01-31,600992,贵绳股份,机械设备,0.2468,0.7751,19.2,0.276,False
2019-01-31,300635,中达安,建筑装饰,0.2688,0.7707,5.9,0.4037,False
2019-01-31,300019,硅宝科技,基础化工,0.2176,0.7696,16.9,0.3899,False
2019-01-31,000862,银星能源,公用事业,0.2676,0.7645,18.0,1.4833,True
2019-01-31,002871,伟隆股份,机械设备,0.2039,0.7146,5.4,0.4022,False
2019-01-31,300391,长药退,机械设备,0.3149,0.7056,,0.3545,False
2019-01-31,002674,兴业科技,纺织服饰,0.4512,0.7036,22.0,0.9874,True
2019-01-31,000625,长安汽车,汽车,0.325,0.7009,283.0,0.372,False
2019-01-31,002063,远光软件,计算机,0.4069,0.6919,51.2,0.7526,True
2019-01-31,002484,江海股份,电子,0.2811,0.6885,46.0,0.3903,False
2019-01-31,002079,苏州固锝,电子,0.2462,0.6493,37.0,0.5867,True
2019-01-31,603421,鼎信通讯,通信,0.7969,0.6493,14.1,0.2145,False
2019-01-31,000400,许继电气,电力设备,0.359,0.6482,101.5,0.2267,False
2019-01-31,601126,四方股份,电力设备,0.2075,0.6438,43.7,0.4141,False
2019-01-31,001696,宗申动力,汽车,0.2049,0.6349,44.6,1.0761,True
2019-01-31,000777,中核科技,机械设备,0.4089,0.6327,47.0,0.3715,False
2019-01-31,600105,永鼎股份,通信,0.5255,0.6294,55.0,0.6077,True
2019-01-31,601811,新华文轩,传媒,0.2713,0.6267,21.0,0.5316,True
2019-01-31,600004,白云机场,交通运输,0.2335,0.6246,244.4,0.3527,False
2019-01-31,000921,海信家电,家用电器,0.3241,0.613,79.7,0.7427,True
2019-01-31,600405,动力源,电力设备,0.2123,0.6023,24.0,0.477,False
2019-01-31,000802,北京文化,传媒,0.4482,0.5924,52.3,0.0761,False
2019-01-31,002774,快意电梯,机械设备,0.1703,0.5771,7.9,0.2594,False
2019-01-31,000880,潍柴重机,机械设备,0.1897,0.5738,10.0,0.3816,False
2019-01-31,000801,四川九洲,家用电器,0.2041,0.5737,49.9,0.5172,True
2019-01-31,300265,通光线缆,电力设备,0.5343,0.5614,26.3,0.594,True
2019-01-31,603098,森特股份,建筑装饰,0.5913,0.56,9.5,0.3295,False
2019-01-31,603960,克来机电,机械设备,0.4112,0.5597,13.0,0.6315,True
2019-01-31,002017,东信和平,通信,0.7659,0.5562,30.2,2.1155,True
2019-01-31,300545,联得装备,电子,0.2311,0.5469,9.2,0.9628,True
2019-01-31,603606,东方电缆,电力设备,0.377,0.5363,48.3,0.4745,False
2019-01-31,002185,华天科技,电子,0.1687,0.5275,93.0,0.4856,False
2019-01-31,603100,川仪股份,电力设备,0.2908,0.5228,23.7,0.2842,False
2019-01-31,002272,川润股份,机械设备,0.2464,0.5137,14.1,0.3907,False
2019-01-31,601179,中国西电,电力设备,0.169,0.5123,186.8,0.3038,False
2019-01-31,300637,扬帆新材,基础化工,0.4966,0.5073,16.6,0.4117,False
2019-01-31,000550,江铃汽车,汽车,0.6723,0.5069,80.3,1.0534,True
2019-01-31,600460,士兰微,电子,0.2145,0.506,129.4,0.8665,True
2019-01-31,603823,百合花,基础化工,0.3311,0.5046,11.4,0.9372,True
2019-01-31,603611,诺力股份,机械设备,0.3133,0.4969,30.6,0.4817,False
2019-01-31,300095,华伍股份,机械设备,0.1857,0.4953,12.2,0.3655,False
2019-01-31,002181,粤 传 媒,传媒,0.3433,0.4945,43.8,0.8694,True
2019-01-31,603663,三祥新材,有色金属,0.3419,0.4933,9.3,0.138,False
2019-01-31,000797,中国武夷,房地产,0.3582,0.4809,63.1,0.2872,False
2019-01-31,000678,襄阳轴承,汽车,0.2771,0.4707,25.3,0.8695,True
2019-01-31,603326,我乐家居,轻工制造,0.2612,0.4585,6.7,0.2139,False
2019-01-31,601908,京运通,电力设备,0.2099,0.4556,65.4,0.4543,False
2019-01-31,603322,超讯科技,通信,0.332,0.4515,12.4,0.4732,False
2019-01-31,600776,东方通信,通信,2.3025,0.4478,120.3,2.2327,True
2019-01-31,002887,,建筑装饰,0.1916,0.444,8.9,0.427,False
2019-01-31,002474,榕基软件,计算机,0.17,0.4388,33.4,0.5839,True
2019-01-31,002318,久立特材,钢铁,0.2488,0.4337,55.5,0.3199,False
2019-01-31,600452,涪陵电力,公用事业,0.5459,0.4266,47.7,0.2825,False
2019-01-31,300615,欣天科技,通信,0.4084,0.4228,6.4,0.3979,False
2019-01-31,600592,龙溪股份,机械设备,0.1822,0.4227,22.4,1.0173,True
2019-01-31,600459,贵研铂业,有色金属,0.5071,0.4223,47.0,0.8788,True
2019-01-31,000823,超声电子,电子,0.4483,0.4196,43.8,0.5262,True
2019-01-31,300349,金卡智能,机械设备,0.2605,0.4191,63.7,0.2681,False
2019-01-31,300141,和顺电气,电力设备,0.3193,0.4116,12.0,0.3555,False
2019-01-31,600565,ST迪马,房地产,0.1675,0.3966,,1.1348,True
2019-01-31,000100,TCL科技,家用电器,0.1868,0.3836,350.8,0.6157,True
2019-01-31,603181,皇马科技,基础化工,0.2895,0.3775,16.9,0.4151,False
2019-01-31,601208,东材科技,基础化工,0.1711,0.376,23.0,0.6854,True
2019-01-31,300657,弘信电子,电子,0.1768,0.3697,20.1,0.6457,True
2019-01-31,601633,长城汽车,汽车,0.1883,0.3697,397.9,0.5986,True
2019-01-31,000531,穗恒运Ａ,公用事业,0.2607,0.3695,33.8,1.0567,True
2019-01-31,000858,五 粮 液,食品饮料,0.2696,0.3695,2287.0,0.8245,True
2019-01-31,603238,诺邦股份,纺织服饰,0.443,0.369,6.0,0.0993,False
2019-01-31,300600,国瑞科技,国防军工,0.3318,0.3601,13.6,0.2918,False
2019-01-31,002106,莱宝高科,电子,0.3457,0.3555,48.5,0.3545,False
2019-01-31,603985,恒润股份,机械设备,0.4181,0.3501,15.9,0.2044,False
2019-01-31,300322,硕贝德,电子,0.3682,0.3474,38.3,0.7289,True
2019-01-31,002557,洽洽食品,食品饮料,0.4914,0.339,98.7,0.3327,False
2019-01-31,300617,安靠智电,电力设备,0.2101,0.3346,7.9,0.3706,False
2019-01-31,600810,神马股份,基础化工,0.5307,0.332,50.3,0.384,False
2019-01-31,002790,瑞尔特,轻工制造,0.2738,0.3249,7.0,0.2753,False
2019-01-31,603665,康隆达,纺织服饰,0.2987,0.324,10.1,0.059,False
2019-01-31,603728,鸣志电器,电力设备,0.2127,0.3209,24.2,0.0943,False
2019-01-31,002791,坚朗五金,建筑材料,0.1725,0.3191,8.3,0.6889,True
2019-01-31,002876,三利谱,电子,0.3945,0.3163,19.8,0.4922,False
2019-01-31,600456,宝钛股份,有色金属,0.4427,0.316,78.0,0.4346,False
2019-01-31,300166,东方国信,计算机,0.2142,0.3148,96.0,0.4572,False
2019-01-31,002405,四维图新,计算机,0.1811,0.3145,172.7,0.6697,True
2019-01-31,603345,安井食品,食品饮料,0.6284,0.3106,44.2,0.2823,False
