观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-01-31,1,600776,东方通信,通信,2.3025,0.4478,120.3,2.2327,True
2019-01-31,2,000860,顺鑫农业,食品饮料,1.3751,0.115,227.2,0.5604,True
2019-01-31,3,002733,雄韬股份,电力设备,1.272,1.1789,56.2,1.0319,True
2019-01-31,4,002463,沪电股份,电子,1.2558,0.1208,136.0,0.5817,True
2019-01-31,5,600556,天下秀,综合,1.1708,0.0687,24.4,0.3721,False
2019-01-31,6,600438,通威股份,农林牧渔,1.033,0.1123,285.5,0.4513,False
2019-01-31,7,600218,全柴动力,机械设备,0.9416,1.7003,29.7,1.7974,True
2019-01-31,8,002157,正邦科技,农林牧渔,0.8394,0.1478,139.6,2.5733,True
2019-01-31,9,601012,隆基绿能,电力设备,0.8154,0.1112,616.0,0.3589,False
2019-01-31,10,002234,民和股份,农林牧渔,0.8027,0.2737,28.9,1.5912,True
2019-01-31,11,002746,仙坛股份,农林牧渔,0.8022,0.2144,44.2,0.6159,True
2019-01-31,12,603421,鼎信通讯,通信,0.7969,0.6493,14.1,0.2145,False
2019-01-31,13,002017,东信和平,通信,0.7659,0.5562,30.2,2.1155,True
2019-01-31,14,300575,中旗股份,基础化工,0.7618,0.2016,18.8,0.2351,False
2019-01-31,15,002371,北方华创,电子,0.7466,0.1124,164.2,0.7227,True
2019-01-31,16,002299,圣农发展,农林牧渔,0.7208,0.2308,228.5,0.6268,True
2019-01-31,17,002565,顺灏股份,轻工制造,0.7051,1.5185,41.7,2.6241,True
2019-01-31,18,603218,日月股份,电力设备,0.6894,0.067,19.9,0.3985,False
2019-01-31,19,300502,新易盛,通信,0.6847,0.2893,26.7,0.5294,True
2019-01-31,20,000550,江铃汽车,汽车,0.6723,0.5069,80.3,1.0534,True
2019-01-31,21,300569,天能重工,电力设备,0.6636,0.2739,14.6,0.3258,False
2019-01-31,22,600775,南京熊猫,通信,0.6455,0.2142,49.3,1.4061,True
2019-01-31,23,000750,国海证券,非银金融,0.6435,0.1512,191.2,0.418,False
2019-01-31,24,603043,,食品饮料,0.6433,0.1376,35.1,0.2036,False
2019-01-31,25,600312,,电力设备,0.6419,0.2355,109.7,0.2008,False
2019-01-31,26,300357,我武生物,医药生物,0.6306,0.2494,98.5,0.269,False
2019-01-31,27,002714,牧原股份,农林牧渔,0.6292,0.1032,401.5,1.0651,True
2019-01-31,28,603345,安井食品,食品饮料,0.6284,0.3106,44.2,0.2823,False
2019-01-31,29,002916,深南电路,电子,0.6195,0.1745,77.1,0.3996,False
2019-01-31,30,603098,森特股份,建筑装饰,0.5913,0.56,9.5,0.3295,False
2019-01-31,31,300001,特锐德,电力设备,0.5785,0.1151,160.9,0.5176,True
2019-01-31,32,603507,振江股份,电力设备,0.5765,0.1118,19.1,0.1881,False
2019-01-31,33,002531,天顺风能,电力设备,0.5631,0.1243,90.7,0.3644,False
2019-01-31,34,002848,高斯贝尔,家用电器,0.5531,0.181,11.0,0.461,False
2019-01-31,35,600452,涪陵电力,公用事业,0.5459,0.4266,47.7,0.2825,False
2019-01-31,36,300582,英飞特,电子,0.5456,1.1639,16.6,0.2272,False
2019-01-31,37,600831,广电网络,传媒,0.5446,0.1105,38.5,0.9704,True
2019-01-31,38,300265,通光线缆,电力设备,0.5343,0.5614,26.3,0.594,True
