观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,RPS60,RPS120,RPS250,MA20持续度120日,20日波动率,相对MA250,120日收益率,周线排列,周线已持续周,未来60日最大涨幅,启动(>=50%)
2019-01-31,1,600776,东方通信,通信,2.3025,0.4478,120.3,100.0,100.0,99.9,0.625,0.0551,0.939,1.8056,多头,3.0,2.2327,True
2019-01-31,2,000860,顺鑫农业,食品饮料,1.3751,0.115,227.2,93.1,77.9,100.0,0.433,0.0243,0.2051,0.0013,多头,39.0,0.5604,True
2019-01-31,3,002733,雄韬股份,电力设备,1.272,1.1789,56.2,100.0,99.7,94.8,0.6,0.0687,0.4974,0.6881,空头,10.0,1.0319,True
2019-01-31,4,002463,沪电股份,电子,1.2558,0.1208,136.0,71.5,99.8,99.9,0.733,0.0292,0.4595,0.8603,多头,18.0,0.5817,True
2019-01-31,5,600556,天下秀,综合,1.1708,0.0687,24.4,99.9,99.9,89.1,0.55,0.0325,0.3538,0.9741,空头,11.0,0.3721,False
2019-01-31,6,600438,通威股份,农林牧渔,1.033,0.1123,285.5,98.5,99.6,85.0,0.6,0.0295,0.203,0.6545,空头,24.0,0.4513,False
2019-01-31,7,600218,全柴动力,机械设备,0.9416,1.7003,29.7,99.9,99.5,97.0,0.592,0.0719,0.4573,0.6346,空头,87.0,1.7974,True
2019-01-31,8,002157,正邦科技,农林牧渔,0.8394,0.1478,139.6,99.4,99.3,95.0,0.725,0.0243,0.4176,0.5849,多头,1.0,2.5733,True
2019-01-31,9,601012,隆基绿能,电力设备,0.8154,0.1112,616.0,98.3,99.6,85.9,0.617,0.032,0.1588,0.6572,空头,25.0,0.3589,False
2019-01-31,10,002234,民和股份,农林牧渔,0.8027,0.2737,28.9,97.6,95.4,99.3,0.475,0.0211,0.2494,0.222,多头,20.0,1.5912,True
2019-01-31,11,002746,仙坛股份,农林牧渔,0.8022,0.2144,44.2,97.6,95.7,99.5,0.542,0.0226,0.3272,0.2354,多头,13.0,0.6159,True
2019-01-31,12,603421,鼎信通讯,通信,0.7969,0.6493,14.1,99.8,98.9,94.9,0.5,0.0361,0.2734,0.4508,空头,59.0,0.2145,False
2019-01-31,13,002017,东信和平,通信,0.7659,0.5562,30.2,99.7,99.1,93.5,0.542,0.0551,0.2312,0.5172,空头,65.0,2.1155,True
2019-01-31,14,300575,中旗股份,基础化工,0.7618,0.2016,18.8,99.5,99.4,99.1,0.667,0.0304,0.3839,0.6004,多头,1.0,0.2351,False
2019-01-31,15,002371,北方华创,电子,0.7466,0.1124,164.2,88.1,65.9,99.0,0.5,0.0285,0.037,-0.0606,空头,1.0,0.7227,True
2019-01-31,16,002299,圣农发展,农林牧渔,0.7208,0.2308,228.5,97.9,96.4,99.3,0.525,0.0177,0.289,0.2537,多头,13.0,0.6268,True
2019-01-31,17,002565,顺灏股份,轻工制造,0.7051,1.5185,41.7,99.6,96.0,94.3,0.383,0.065,0.2455,0.2469,空头,57.0,2.6241,True
2019-01-31,18,603218,日月股份,电力设备,0.6894,0.067,19.9,99.3,94.2,86.9,0.492,0.0327,0.1368,0.1926,空头,48.0,0.3985,False
2019-01-31,19,300502,新易盛,通信,0.6847,0.2893,26.7,80.8,99.7,85.0,0.608,0.0355,0.0643,0.6771,空头,46.0,0.5294,True
2019-01-31,20,000550,江铃汽车,汽车,0.6723,0.5069,80.3,99.5,98.6,88.9,0.617,0.0349,0.2177,0.4019,空头,86.0,1.0534,True
2019-01-31,21,300569,天能重工,电力设备,0.6636,0.2739,14.6,99.4,98.4,74.3,0.492,0.0273,0.0469,0.3798,空头,53.0,0.3258,False
2019-01-31,22,600775,南京熊猫,通信,0.6455,0.2142,49.3,99.4,97.9,90.6,0.533,0.0415,0.1272,0.3309,空头,57.0,1.4061,True
2019-01-31,23,000750,国海证券,非银金融,0.6435,0.1512,191.2,50.3,98.0,87.3,0.442,0.0376,0.1165,0.3548,多头,1.0,0.418,False
2019-01-31,24,603043,,食品饮料,0.6433,0.1376,35.1,89.6,91.6,99.5,0.575,0.0174,0.2089,0.1378,多头,22.0,0.2036,False
2019-01-31,25,600312,,电力设备,0.6419,0.2355,109.7,64.0,99.4,84.5,0.608,0.0307,0.1175,0.6068,多头,1.0,0.2008,False
2019-01-31,26,300357,我武生物,医药生物,0.6306,0.2494,98.5,79.0,85.2,99.4,0.492,0.0222,0.0478,0.0573,多头,84.0,0.269,False
2019-01-31,27,002714,牧原股份,农林牧渔,0.6292,0.1032,401.5,99.2,98.5,94.5,0.608,0.0316,0.3,0.3927,空头,18.0,1.0651,True
2019-01-31,28,603345,安井食品,食品饮料,0.6284,0.3106,44.2,55.6,79.2,99.4,0.433,0.0285,0.0617,0.0067,多头,28.0,0.2823,False
2019-01-31,29,002916,深南电路,电子,0.6195,0.1745,77.1,95.8,99.3,98.5,0.717,0.0241,0.2707,0.5865,,,0.3996,False
2019-01-31,30,603098,森特股份,建筑装饰,0.5913,0.56,9.5,99.2,86.9,86.1,0.458,0.0364,0.0473,0.0726,空头,50.0,0.3295,False
2019-01-31,31,300001,特锐德,电力设备,0.5785,0.1151,160.9,97.2,96.4,98.4,0.583,0.0277,0.258,0.2537,多头,9.0,0.5176,True
2019-01-31,32,603507,振江股份,电力设备,0.5765,0.1118,19.1,98.3,94.7,34.4,0.408,0.0357,-0.0077,0.2049,空头,4.0,0.1881,False
2019-01-31,33,002531,天顺风能,电力设备,0.5631,0.1243,90.7,99.2,97.6,58.2,0.567,0.0208,0.0348,0.3197,空头,36.0,0.3644,False
2019-01-31,34,002848,高斯贝尔,家用电器,0.5531,0.181,11.0,89.6,96.0,68.3,0.55,0.0478,-0.0265,0.2455,空头,41.0,0.461,False
2019-01-31,35,600452,涪陵电力,公用事业,0.5459,0.4266,47.7,97.4,95.0,86.5,0.375,0.0277,0.0931,0.2123,空头,67.0,0.2825,False
2019-01-31,36,300582,英飞特,电子,0.5456,1.1639,16.6,99.1,96.5,91.3,0.375,0.0523,0.0923,0.2577,空头,17.0,0.2272,False
2019-01-31,37,600831,广电网络,传媒,0.5446,0.1105,38.5,98.4,94.5,83.7,0.508,0.0379,0.0283,0.1989,空头,93.0,0.9704,True
2019-01-31,38,300265,通光线缆,电力设备,0.5343,0.5614,26.3,92.6,99.0,86.2,0.508,0.037,0.1276,0.498,多头,2.0,0.594,True
2019-01-31,39,600810,神马股份,基础化工,0.5307,0.332,50.3,23.3,8.0,99.7,0.242,0.0296,-0.1236,-0.3384,多头,39.0,0.384,False
2019-01-31,40,600305,恒顺醋业,食品饮料,0.5303,0.1972,87.9,92.8,96.5,98.3,0.633,0.021,0.1924,0.2605,多头,58.0,0.2797,False
2019-01-31,41,600105,永鼎股份,通信,0.5255,0.6294,55.0,98.7,96.9,86.6,0.583,0.0452,0.1182,0.2862,空头,73.0,0.6077,True
2019-01-31,42,000070,特发信息,通信,0.5196,1.2492,53.7,98.9,95.6,88.7,0.467,0.0594,0.0863,0.2304,空头,93.0,1.1493,True
2019-01-31,43,600459,贵研铂业,有色金属,0.5071,0.4223,47.0,98.1,98.1,82.5,0.633,0.0318,0.1035,0.3578,空头,50.0,0.8788,True
2019-01-31,44,300248,新开普,计算机,0.5012,0.209,20.9,96.9,95.6,69.5,0.575,0.0369,-0.0225,0.2312,空头,53.0,0.5746,True
2019-01-31,45,002127,南极电商,商贸零售,0.4991,0.1146,170.2,96.3,93.5,96.6,0.458,0.0308,0.0668,0.1729,空头,21.0,0.3615,False
2019-01-31,46,603186,华正新材,电子,0.4966,0.8618,13.6,98.7,97.5,71.7,0.483,0.0534,0.0538,0.3176,空头,47.0,0.8196,True
2019-01-31,47,300637,扬帆新材,基础化工,0.4966,0.5073,16.6,96.9,67.5,98.7,0.45,0.0396,0.0931,-0.0519,多头,29.0,0.4117,False
2019-01-31,48,002557,洽洽食品,食品饮料,0.4914,0.339,98.7,79.7,97.9,98.8,0.583,0.02,0.1771,0.3348,多头,55.0,0.3327,False
2019-01-31,49,002202,金风科技,电力设备,0.4901,0.0988,366.5,97.5,85.0,61.0,0.433,0.0306,-0.0488,0.0553,空头,23.0,0.2498,False
2019-01-31,50,300129,泰胜风能,电力设备,0.4872,1.104,20.5,97.7,92.3,33.2,0.467,0.0522,-0.0431,0.1485,空头,79.0,0.3563,False
2019-01-31,51,002115,三维通信,通信,0.485,0.1713,38.3,96.2,96.8,96.8,0.625,0.0302,0.1768,0.279,多头,5.0,0.4502,False
2019-01-31,52,603338,浙江鼎力,机械设备,0.4845,0.0669,156.2,92.9,96.1,98.7,0.633,0.0186,0.2315,0.249,多头,68.0,0.3353,False
2019-01-31,53,603268,松发股份,轻工制造,0.4836,0.1031,23.6,96.9,97.3,93.4,0.567,0.0203,0.1446,0.3103,空头,26.0,0.154,False
2019-01-31,54,600825,新华传媒,传媒,0.4835,0.1502,52.3,98.1,97.6,83.9,0.525,0.0502,0.0263,0.3209,空头,5.0,0.5547,True
2019-01-31,55,300673,佩蒂股份,农林牧渔,0.481,0.2559,14.7,31.0,47.9,99.2,0.417,0.0239,-0.0785,-0.1292,多头,20.0,0.414,False
2019-01-31,56,002705,新宝股份,家用电器,0.4762,0.1716,81.2,97.9,93.2,85.1,0.525,0.026,0.0869,0.1657,空头,60.0,0.3883,False
2019-01-31,57,300684,中石科技,基础化工,0.4732,0.1408,19.7,51.5,36.7,96.2,0.358,0.0561,-0.1248,-0.1682,,,0.3546,False
2019-01-31,58,002271,东方雨虹,建筑材料,0.473,0.1531,160.7,89.4,84.7,58.4,0.383,0.0204,-0.1032,0.0513,空头,28.0,0.442,False
2019-01-31,59,603806,福斯特,电力设备,0.4694,0.201,156.2,94.2,98.5,97.5,0.708,0.0238,0.1924,0.3944,空头,23.0,0.2413,False
2019-01-31,60,000600,建投能源,公用事业,0.4672,0.2235,64.4,97.8,86.5,66.7,0.45,0.0212,0.0266,0.0685,空头,56.0,0.3786,False
2019-01-31,61,002170,芭田股份,基础化工,0.4641,0.8923,22.1,96.6,82.4,22.5,0.5,0.0666,-0.1254,0.0303,空头,92.0,0.4412,False
2019-01-31,62,002080,中材科技,基础化工,0.456,0.1626,62.5,94.3,94.7,51.7,0.5,0.0217,0.0056,0.205,空头,11.0,0.5103,True
2019-01-31,63,300420,五洋自控,机械设备,0.4534,0.2014,25.5,98.7,98.6,97.7,0.558,0.0302,0.2507,0.3994,空头,1.0,0.3584,False
2019-01-31,64,603017,中衡设计,建筑装饰,0.4529,1.0154,32.4,99.1,95.2,76.8,0.475,0.0767,0.0764,0.215,空头,82.0,0.3961,False
2019-01-31,65,002674,兴业科技,纺织服饰,0.4512,0.7036,22.0,97.7,97.7,89.9,0.517,0.0419,0.0807,0.3222,空头,89.0,0.9874,True
2019-01-31,66,000823,超声电子,电子,0.4483,0.4196,43.8,92.6,90.5,41.8,0.467,0.0329,0.0122,0.119,空头,47.0,0.5262,True
2019-01-31,67,000802,北京文化,传媒,0.4482,0.5924,52.3,98.3,97.4,93.8,0.5,0.0316,0.2049,0.316,空头,65.0,0.0761,False
2019-01-31,68,600570,恒生电子,计算机,0.4468,0.1151,385.6,96.4,97.4,97.9,0.625,0.022,0.1585,0.313,多头,5.0,0.6049,True
2019-01-31,69,603238,诺邦股份,纺织服饰,0.443,0.369,6.0,98.5,95.1,89.3,0.55,0.02,0.0678,0.2134,空头,14.0,0.0993,False
2019-01-31,70,600456,宝钛股份,有色金属,0.4427,0.316,78.0,96.0,97.7,82.1,0.642,0.0257,0.09,0.3236,空头,47.0,0.4346,False
2019-01-31,71,002446,盛路通信,通信,0.4353,0.1153,35.6,98.6,92.5,78.3,0.583,0.0395,-0.0114,0.1509,空头,111.0,0.6489,True
2019-01-31,72,603976,正川股份,医药生物,0.4313,0.3103,6.4,97.8,94.5,87.1,0.5,0.034,0.0307,0.1968,空头,14.0,0.2777,False
2019-01-31,73,600383,金地集团,房地产,0.419,0.0654,495.0,93.8,97.2,66.4,0.592,0.0182,0.0874,0.3057,空头,32.0,0.3483,False
2019-01-31,74,603985,恒润股份,机械设备,0.4181,0.3501,15.9,97.1,96.8,80.3,0.592,0.0303,0.1041,0.2833,空头,30.0,0.2044,False
2019-01-31,75,300252,金信诺,通信,0.4134,0.0673,43.0,97.6,98.3,91.9,0.633,0.031,0.0958,0.3744,空头,18.0,0.3537,False
2019-01-31,76,600588,用友网络,计算机,0.4118,0.1424,458.7,59.9,82.8,99.6,0.467,0.0241,-0.0471,0.0328,多头,14.0,0.569,True
2019-01-31,77,603960,克来机电,机械设备,0.4112,0.5597,13.0,26.7,43.4,97.5,0.292,0.0285,-0.0861,-0.1448,,,0.6315,True
2019-01-31,78,000777,中核科技,机械设备,0.4089,0.6327,47.0,92.2,94.9,75.6,0.5,0.0327,0.0511,0.2093,空头,167.0,0.3715,False
2019-01-31,79,300615,欣天科技,通信,0.4084,0.4228,6.4,82.1,85.9,94.5,0.467,0.0399,-0.0118,0.0612,空头,13.0,0.3979,False
2019-01-31,80,300572,安车检测,机械设备,0.4077,0.1217,25.6,79.4,78.2,98.6,0.492,0.0151,0.0024,0.0021,多头,51.0,0.8941,True
2019-01-31,81,002063,远光软件,计算机,0.4069,0.6919,51.2,95.3,94.8,79.9,0.542,0.0424,0.0261,0.2059,空头,65.0,0.7526,True
2019-01-31,82,300268,佳沃食品,农林牧渔,0.4047,0.1295,11.9,97.3,84.5,49.5,0.475,0.0344,-0.0809,0.0486,空头,19.0,0.5083,True
2019-01-31,83,603688,石英股份,有色金属,0.4035,0.2894,42.2,95.7,92.4,88.0,0.517,0.0308,-0.0123,0.1503,空头,23.0,0.3851,False
2019-01-31,84,603886,,食品饮料,0.403,0.1388,22.7,94.8,73.3,93.3,0.533,0.0311,0.0523,-0.0267,空头,48.0,0.3855,False
2019-01-31,85,603360,百傲化学,基础化工,0.3973,0.2948,11.2,94.9,81.0,88.5,0.492,0.0288,0.0626,0.0195,空头,42.0,1.2684,True
2019-01-31,86,603328,依顿电子,电子,0.3948,0.1082,104.2,90.4,93.6,83.3,0.508,0.0275,0.0281,0.1742,空头,47.0,0.1696,False
2019-01-31,87,300450,先导智能,机械设备,0.3947,0.2883,145.9,95.3,93.0,96.7,0.517,0.0293,0.0305,0.1606,空头,24.0,0.2922,False
2019-01-31,88,002876,三利谱,电子,0.3945,0.3163,19.8,95.4,27.5,26.5,0.367,0.0301,-0.2095,-0.2056,空头,24.0,0.4922,False
2019-01-31,89,000925,众合科技,机械设备,0.3935,0.2322,27.8,96.3,80.8,41.3,0.525,0.0413,-0.1033,0.0186,空头,46.0,0.4535,False
2019-01-31,90,300498,,农林牧渔,0.3932,0.2269,1036.0,89.8,97.1,95.4,0.675,0.0136,0.1945,0.2978,多头,9.0,0.6269,True
2019-01-31,91,300547,川环科技,汽车,0.393,0.9304,13.1,96.7,84.7,76.3,0.35,0.0421,-0.0435,0.0517,空头,60.0,0.3002,False
2019-01-31,92,600872,中炬高新,食品饮料,0.3869,0.0835,245.5,96.0,93.7,96.9,0.575,0.0203,0.1259,0.1762,多头,114.0,0.2034,False
2019-01-31,93,603321,梅轮电梯,机械设备,0.3845,0.8772,10.2,97.3,89.5,63.2,0.35,0.0479,-0.0244,0.1041,空头,11.0,0.0535,False
2019-01-31,94,300632,光莆股份,电子,0.3816,1.0001,6.9,95.9,92.6,88.3,0.542,0.0494,0.0223,0.1517,空头,34.0,0.5839,True
2019-01-31,95,600386,北巴传媒,传媒,0.3811,0.2697,30.3,93.6,82.5,74.1,0.375,0.0526,-0.0627,0.0306,空头,110.0,0.4896,False
2019-01-31,96,603606,东方电缆,电力设备,0.377,0.5363,48.3,89.2,91.4,97.3,0.683,0.0233,0.1791,0.1329,多头,19.0,0.4745,False
2019-01-31,97,601901,方正证券,非银金融,0.3689,1.1518,502.9,89.3,72.4,82.7,0.383,0.0408,0.0155,-0.0312,空头,39.0,0.3644,False
2019-01-31,98,300322,硕贝德,电子,0.3682,0.3474,38.3,94.0,97.1,95.5,0.633,0.0235,0.0983,0.3026,空头,16.0,0.7289,True
2019-01-31,99,002439,启明星辰,计算机,0.3637,0.1284,137.8,86.9,97.5,94.6,0.683,0.0218,0.0221,0.3175,空头,22.0,0.4409,False
2019-01-31,100,002404,嘉欣丝绸,纺织服饰,0.3628,0.1181,24.4,92.3,91.8,90.8,0.433,0.0129,0.0196,0.1403,空头,61.0,0.1387,False
