代码,RPS60腿_强势日,RPS60腿_调整天数,RPS50腿_强势日,RPS50腿_调整天数,RPS50腿结果
301638,2026-05-20,71,2026-05-14,75,三项阈值不过
603120,2026-08-05,17,2026-07-22,27,同样命中
301275,2026-08-04,18,2026-01-16,149,三项阈值不过
301458,2026-07-16,31,2026-07-09,36,三项阈值不过
603194,2026-07-31,20,,-1,RPS50 腿近250日无强势日
301603,2026-07-27,24,2026-07-16,31,三项阈值不过
001389,2026-07-21,28,2026-07-16,31,三项阈值不过
301588,2026-07-28,23,2026-07-27,24,同样命中
301502,2026-07-28,23,2026-07-16,31,三项阈值不过
601096,2026-04-20,90,2026-04-07,99,同样命中
301323,2026-07-30,21,2026-07-27,24,同样命中
603125,2026-07-23,26,2026-07-10,35,三项阈值不过
601133,2026-07-29,22,2026-07-27,24,同样命中
001314,2026-07-21,28,2026-07-17,30,三项阈值不过
603057,2026-04-08,98,2026-03-20,110,同样命中
001259,2026-08-04,18,2026-07-21,28,同样命中
001339,2026-08-07,15,2026-08-06,16,同样命中
301269,2026-07-29,22,2026-07-22,27,同样命中
603211,2026-07-23,26,2026-07-20,29,三项阈值不过
