样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,603580,艾艾精工,83.43,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=100.0,2026-04-13,96,持续,无平台信号,True,缺失,多头趋势,5.080903790087464,4.257088846880908,0.85,100.0,100.0,99.8259860788863,0.0,,,,
当日观察,2026-08-28,603823,百合花,66.12,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.4,2026-06-17,52,持续,无平台信号,True,中,多头趋势,4.082244427363567,2.638965327462851,0.7,98.42821544949204,99.92332758290206,99.67130703789636,-0.23463363815256388,,,,0.5837573822135189
当日观察,2026-08-28,603221,XD爱丽家,29.1,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.9,2026-08-26,3,持续,无平台信号,True,缺失,多头趋势,2.0439330543933054,1.3600973236009732,0.5666666666666667,99.90415947862756,99.88499137435308,91.62799690641918,-0.029999999999999916,,,,
当日观察,2026-08-28,688432,有研硅,45.22,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.5,2026-05-15,75,持续,无平台信号,True,中,多头趋势,2.9806338028169015,1.8529968454258676,0.725,99.53996549741231,99.80831895725512,99.0139211136891,-0.2010600706713781,,,,0.6201614099953963
当日观察,2026-08-28,688046,药康生物,32.5,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.3,2026-08-10,15,持续,无平台信号,True,高,多头趋势,1.5193798449612403,1.138157894736842,0.6416666666666667,99.34828445466744,99.59746981023578,91.8213457076566,-0.2063492063492064,,,,0.7263079468804343
当日观察,2026-08-28,301165,锐捷网络,119.4,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.5,2026-06-30,44,持续,无平台信号,True,缺失,多头趋势,1.5366475462077758,0.9771485345255837,0.65,99.48246118458884,99.53996549741231,94.83758700696056,-0.19324324324324316,,,,
当日观察,2026-08-28,300951,博硕科技,76.32,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.1,2026-07-22,28,持续,无平台信号,True,缺失,多头趋势,1.407570977917981,1.0915319265552204,0.675,99.11826720337359,99.52079739313781,93.96751740139212,0.0,,,,
当日观察,2026-08-28,300313,天山生物,15.35,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.5,2026-08-17,10,持续,无平台信号,True,缺失,多头趋势,1.211815561959654,1.1528751753155682,0.6333333333333333,99.52079739313781,99.46329308031436,86.94895591647331,-0.07752403846153855,,,,
当日观察,2026-08-28,600206,有研新材,51.65,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=94.2,2026-05-11,79,持续,无平台信号,True,缺失,多头趋势,1.7141355754072514,1.209153122326775,0.6,94.15372819628138,99.44412497603987,97.02242846094354,-0.22447447447447444,,,,
当日观察,2026-08-28,688202,美迪西,97.75,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.4,2026-08-06,17,持续,无平台信号,True,缺失,多头趋势,0.9050867277333852,0.4434435912581216,0.55,99.3866206632164,99.4057887674909,87.27764887857695,-0.11136363636363633,,,,
当日观察,2026-08-28,300214,日科化学,13.06,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.2,2026-07-23,27,持续,无平台信号,True,缺失,多头趋势,0.9757942511346445,0.72068511198946,0.6083333333333333,98.1981981981982,99.3866206632164,88.26372776488786,-0.08222066057624733,,,,
当日观察,2026-08-28,603261,立航科技,57.0,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.3,2026-06-18,51,持续,无平台信号,True,缺失,多头趋势,1.8992878942014242,0.9655172413793103,0.7166666666666667,96.30055587502396,99.36745255894192,97.0417633410673,-0.029456836369827988,,,,
当日观察,2026-08-28,688361,中科飞测,362.66,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.5,2026-08-10,15,持续,无平台信号,True,缺失,多头趋势,3.229271137026239,1.133294117647059,0.5833333333333334,98.54322407513897,99.32911635039294,99.32327919566899,-0.1877715565509518,,,,
当日观察,2026-08-28,002396,星网锐捷,36.69,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.6,2026-08-26,3,持续,无平台信号,True,缺失,多头趋势,1.1049913941480205,0.6127472527472526,0.55,99.61663791451025,99.30994824611847,88.63109048723898,0.0,,,,
当日观察,2026-08-28,002674,兴业科技,24.89,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.4,2026-06-08,59,持续,无平台信号,True,中,多头趋势,1.0863369656328583,0.7652482269503547,0.6416666666666667,98.35154303239409,99.252443933295,93.5614849187935,-0.24484223300970875,,,,0.4088234026266369
当日观察,2026-08-28,688596,正帆科技,67.4,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.7,2026-08-10,15,持续,无平台信号,True,缺失,多头趋势,1.442914099311345,1.1188305564287964,0.6333333333333333,98.67740080506037,99.2332758290205,91.74400618716165,-0.19435811618455645,,,,
