代码,日期,他_平台信号,我_平台信号,他_周线,我_周线
300308,2021-01-29,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2021-01-29,无平台信号,无平台信号,回踩修复,回踩修复
300750,2021-01-29,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-01-29,无平台信号,无平台信号,回踩修复,回踩修复
300308,2021-02-26,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-02-26,无平台信号,无平台信号,回踩修复,回踩修复
300750,2021-02-26,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-02-26,无平台信号,无平台信号,回踩修复,回踩修复
300308,2021-03-31,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-03-31,无平台信号,无平台信号,回踩修复,回踩修复
600066,2021-03-31,无平台信号,无平台信号,回踩修复,回踩修复
300750,2021-04-23,平台突破（研究）,无平台信号,多头趋势,多头趋势
300308,2021-04-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-04-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-04-30,无平台信号,无平台信号,弱势结构,弱势结构
300308,2021-05-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2021-05-31,无平台信号,无平台信号,回踩修复,回踩修复
300750,2021-05-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-05-31,无平台信号,无平台信号,回踩修复,回踩修复
300308,2021-06-30,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2021-06-30,无平台信号,无平台信号,回踩修复,回踩修复
300750,2021-06-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-06-30,无平台信号,无平台信号,弱势结构,弱势结构
300308,2021-07-30,无平台信号,无平台信号,突破启动,突破启动
300476,2021-07-30,无平台信号,无平台信号,突破启动,突破启动
300750,2021-07-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-07-30,无平台信号,无平台信号,弱势结构,弱势结构
300308,2021-08-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2021-08-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-08-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-08-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300308,2021-09-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-09-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-09-30,无平台信号,无平台信号,弱势结构,弱势结构
300308,2021-10-29,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-10-29,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-10-29,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-10-29,无平台信号,无平台信号,均线蓄势,均线蓄势
300308,2021-11-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-11-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-11-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-11-30,无平台信号,无平台信号,弱势结构,弱势结构
300308,2021-12-31,无平台信号,无平台信号,弱势结构,弱势结构
300476,2021-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2021-12-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2021-12-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300308,2022-01-28,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2022-01-28,平台观察,平台观察,回踩修复,回踩修复
300750,2022-01-28,无平台信号,无平台信号,回踩修复,回踩修复
600066,2022-01-28,无平台信号,无平台信号,弱势结构,弱势结构
300308,2022-02-28,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2022-02-28,平台观察,平台观察,回踩修复,回踩修复
300750,2022-02-28,无平台信号,无平台信号,回踩修复,回踩修复
