组,持续,样本,胜率,中位收益,平均收益,对照胜率,扣对照pp
A,1-13周,56952,0.5719026548672567,0.06916566305365979,0.2323599249456541,0.5703399353841831,0.15627194830735158
A,13-26周,49682,0.5534197496075037,0.04870025628393959,0.23144764173667545,0.5508634918078983,0.25562577996054436
A,26-52周,54361,0.507477787384338,0.006993006993006867,0.13362706864442137,0.5101175475064845,-0.2639760122146506
A,52-104周,34505,0.4412983625561513,-0.048387096774193505,0.040657041035313854,0.4559049413128532,-1.4606578756701905
A,>104周,6238,0.3901891631933312,-0.09306041093808293,-0.004450285622021786,0.4282622635460083,-3.8073100352677134
B,1-13周,53644,0.5269182014764,0.021178525444836227,0.1397774428450311,0.5262657519946313,0.06524494817686799
B,13-26周,47883,0.5360984065325899,0.029123237277743907,0.1490294031678348,0.5341561723367375,0.1942234195852377
B,26-52周,64862,0.5278128950695322,0.021791767554479424,0.127088670403287,0.5159723721131017,1.1840522956430566
B,52-104周,48802,0.5698127125937461,0.05263157894736836,0.15293320779418856,0.5534609237326339,1.6351788861112215
B,>104周,12326,0.6485477851695602,0.12142840265460764,0.25557246820622237,0.6120395911082265,3.6508194061333765
