段,档,n,覆盖率,命中率,L2命中,召回,基准,lift_base,lift_ctrl
2019–2025,观察档,5867,0.24105345330539463,0.07772285665587182,0.01704448610874382,0.36893203883495146,0.050782694441020584,1.5304988739055536,1.0869408834829077
2019–2025,标准启动档,2108,0.08660996754180533,0.07685009487666034,0.017077798861480076,0.13106796116504854,0.050782694441020584,1.5133126692581196,1.136181281885087
2019–2025,强确认档,1322,0.054316118164263114,0.07866868381240545,0.01588502269288956,0.08414239482200647,0.050782694441020584,1.5491238635195277,1.184318372655307
2019–2022,观察档,2509,0.21853497082135703,0.06297329613391789,0.01514547628537266,0.25859247135842883,0.05321836076996777,1.1833001848011642,1.1631247642414422
2023–2025,观察档,3358,0.26116036708663865,0.08874329958308518,0.01846337105419893,0.4768,0.04860787058640535,1.8256981536628947,1.0598066559393313
2019–2022,标准启动档,1107,0.09642017245884504,0.08039747064137308,0.02077687443541102,0.14566284779050737,0.05321836076996777,1.5107092642121185,1.2559059428978128
2023–2025,标准启动档,1001,0.07785036553118681,0.07292707292707293,0.012987012987012988,0.1168,0.04860787058640535,1.500314085914086,1.0258047969680453
2019–2022,强确认档,699,0.060883198327671806,0.0844062947067239,0.02145922746781116,0.09656301145662848,0.05321836076996777,1.5860371023369837,1.2116992529009698
2023–2025,强确认档,623,0.04845232540052885,0.07223113964686999,0.009630818619582664,0.072,0.04860787058640535,1.485996789727127,1.1615548132402065
2019,观察档,79,0.03457330415754924,0.0759493670886076,0.02531645569620253,0.043795620437956206,0.059956236323851206,1.2667467430472144,1.2246099499558434
2020,观察档,659,0.23527311674402,0.13201820940819423,0.03338391502276176,0.39908256880733944,0.07782934666190647,1.6962523144603303,1.2531252258111134
2021,观察档,630,0.2097902097902098,0.08888888888888889,0.022222222222222223,0.24778761061946902,0.07525807525807526,1.1811209439528023,1.0147449660202792
2022,观察档,1141,0.33637971698113206,0.007887817703768623,0.0,0.3,0.00884433962264151,0.891849255039439,1.2107797553527972
2023,观察档,542,0.13794858742682617,0.01845018450184502,0.0,0.1111111111111111,0.022906592008144565,0.8054530545305454,0.8587722240858772
2024,观察档,377,0.08664674787405194,0.034482758620689655,0.002652519893899204,0.18055555555555555,0.016547920018386578,2.0838122605363987,1.7709325349246696
2025,观察档,2439,0.5327653997378768,0.11275112751127511,0.025010250102501026,0.593952483801296,0.10113586719091307,1.1148480815261717,1.0536861320994162
