窗口,项,他,我,一致
2022反弹,三日站上MA20,2022-05-13,2022-05-13,True
2022反弹,三日站上MA60,2022-06-08,2022-06-08,True
2022反弹,首次三日跌破MA20,2022-07-21,2022-07-21,True
2022反弹,首次三日跌破MA60,2022-08-26,2022-08-26,True
2023短反弹,三日站上MA20,2023-01-09,2023-01-09,True
2023短反弹,三日站上MA60,2023-01-09,2023-01-09,True
2023短反弹,首次三日跌破MA20,2023-02-17,2023-02-17,True
2023短反弹,首次三日跌破MA60,2023-02-28,2023-02-28,True
2024反弹,三日站上MA20,2024-02-19,2024-02-19,True
2024反弹,三日站上MA60,2024-03-04,2024-03-04,True
2024反弹,首次三日跌破MA20,2024-03-27,2024-03-27,True
2024反弹,首次三日跌破MA60,2024-04-23,2024-04-23,True
2025行情,三日站上MA20,2025-05-07,2025-05-07,True
2025行情,三日站上MA60,2025-06-09,2025-06-09,True
2025行情,首次三日跌破MA20,2025-06-23,2025-06-23,True
2025行情,首次三日跌破MA60,2025-11-24,2025-11-24,True
