部分,口径,n,峰值中位,峰值ge50,峰值ge100,随机ge50,随机ge100,随机ge100_5,随机ge100_95,期末中位,期末为正
全样本,6个月,10309,0.21185185185185174,0.20787661266854204,0.05616451644194393,0.20443301969153166,0.0582500727519643,0.054806479774953926,0.06247453681249394,0.0122649223221587,0.5201280434571733
全样本,12个月,9677,0.35763888888888906,0.38234990182907924,0.16017360752299267,0.37862974062209365,0.16280872171127414,0.1575849953497985,0.16875064586132066,0.035626535626535505,0.5428335227859874
逐年,2013,239,0.24236252545824843,0.2301255230125523,0.02510460251046025,,,,,0.0664893617021276,
逐年,2014,415,0.4594240837696335,0.4578313253012048,0.15421686746987953,,,,,0.35160427807486605,
逐年,2015,538,0.36638839280996727,0.4052044609665427,0.15613382899628253,,,,,-0.09536828072502357,
逐年,2016,344,0.1464005156508077,0.09883720930232558,0.00872093023255814,,,,,-0.0002941454053544956,
逐年,2017,455,0.0797598627787306,0.06593406593406594,0.008791208791208791,,,,,-0.11846689895470375,
逐年,2018,570,0.12234475713176207,0.12280701754385964,0.010526315789473684,,,,,-0.041009752839574254,
逐年,2019,921,0.17298187808896204,0.1444082519001086,0.0249728555917481,,,,,-0.044883303411131004,
逐年,2020,917,0.2264150943396226,0.19629225736095965,0.04471101417666303,,,,,-0.013268998793727338,
逐年,2021,781,0.23919753086419737,0.23175416133162613,0.07426376440460948,,,,,-0.007915567282322011,
逐年,2022,1043,0.20084566596194509,0.15723873441994246,0.037392138063279005,,,,,0.03052866716306779,
逐年,2023,1038,0.09484513730205846,0.06936416184971098,0.011560693641618497,,,,,-0.11445511010728404,
逐年,2024,1420,0.28668162714496537,0.2661971830985915,0.06971830985915493,,,,,0.09674508992290987,
逐年,2025,1540,0.29308060596093044,0.2779220779220779,0.08766233766233766,,,,,0.10025961202611566,
逐年,2026,88,0.0836062989116414,0.11363636363636363,0.056818181818181816,,,,,-0.21958712266769143,
