# §61 判定:三条全中年化 +10.37%,但 300 次随机对照 p=0.16,与随机无法区分;本表是状态频率统计,不是买点,不构成投资建议。
月份,t,代码,调整天数,深度,缩量比,收敛比
2013-06,112,002021,44,0.28019323671497576,0.676680122650263,0.8801235261089282
2013-06,112,600604,14,0.2727272727272727,0.5558758475243679,1.0729768786127167
2013-06,112,600774,39,0.28101802757158,0.550404503750327,0.9106499742754239
2013-06,112,000637,45,0.21627906976744182,0.4871436076082623,1.0993006993006995
2013-06,112,000553,15,0.274749721913237,0.4827193243402565,1.0288358846564614
2013-06,112,000692,46,0.21130952380952384,0.6706591813394502,0.9648776637726918
2013-06,112,600597,27,0.1617312072892939,0.8132324097604895,1.0691729323308268
2013-06,112,300101,18,0.2703252032520326,0.7129738879757376,1.2024866785079926
2013-06,112,600345,14,0.2222929936305732,0.5834769439719182,0.793723421435108
2013-06,112,600526,47,0.2620772946859903,0.4710301710540419,0.9673024523160764
2013-06,112,600488,39,0.2727272727272728,0.4861609357888972,0.8814083501843701
2013-06,112,600352,32,0.2668329177057356,0.6885393481156892,0.970297029702971
2013-06,112,600864,13,0.24298056155507564,0.30364344108118757,1.1452513966480447
2013-06,112,600603,44,0.19999999999999996,0.5123376169589332,1.0293303818483661
2013-07,135,002091,11,0.17550274223034734,0.7250058141695581,0.8454469507101086
2013-07,135,600708,47,0.22895622895622902,0.4893155240612563,0.8744394618834085
2013-07,135,000559,11,0.1691176470588237,0.6670676526188283,0.5681818181818191
2013-07,135,000952,22,0.17628205128205132,0.554293442838328,0.763296792529435
2013-07,135,002524,11,0.14729729729729735,0.6338577086511357,0.9177471636953001
2013-07,135,000042,29,0.140625,0.5564202552944677,0.9661016949152539
2013-07,135,002267,48,0.2722710163111669,0.7757507445617247,0.915418858761635
2013-07,135,002137,18,0.1279999999999999,0.7222499570164032,0.7478427612655791
2013-07,135,300343,10,0.21378091872791516,0.5517653457810358,0.907706945765937
2013-07,135,000801,34,0.25806451612903236,0.5924289799139439,0.8692774928505594
2013-07,135,002284,23,0.1524547803617572,0.4343492422415747,0.8053691275167779
2013-07,135,000819,21,0.1643835616438356,0.6861224432087824,0.8832350811872999
2013-07,135,002159,64,0.266268656716418,0.4714557068409846,0.6131761086900784
2013-07,135,600767,26,0.1351851851851853,0.48342808611528404,0.8326557163766466
2013-07,135,002030,28,0.23550724637681153,0.6211383909712933,0.8789986091794154
2013-07,135,300234,19,0.17928286852589637,0.6350347338977724,0.8819538670284934
2013-07,135,300106,25,0.24092116917626205,0.6958551537191728,0.8680442564269444
2013-07,135,002456,13,0.1823956442831216,0.7600105327518744,0.5470967741935477
2013-07,135,300115,10,0.12826603325415675,0.6637922963833404,0.9339130434782607
2013-07,135,200513,57,0.2301064368981247,0.286911681290374,0.6350985131472943
2013-07,135,300141,38,0.2149532710280374,0.6564120675201408,0.9141940657578189
2013-07,135,600686,16,0.20814977973568283,0.5136597107167223,0.789923954372624
2013-07,135,000716,52,0.2684563758389261,0.7709163015071595,0.8899782135076257
2013-08,157,002364,32,0.1578947368421053,0.6131020600788465,0.7859237536656896
2013-08,157,600200,37,0.17115902964959562,0.6195553222971433,0.5757762249949624
2013-08,157,002643,21,0.1641541038525962,0.6356522295059489,0.6505469199769712
2013-08,157,000726,45,0.15781250000000013,0.7267370261599254,0.6063779651254121
