月份,走完时序,三条全中,新事件
2013-06,242,14,14
2013-07,296,29,23
2013-08,340,38,22
2013-09,409,68,44
2013-10,545,55,21
2013-11,611,78,44
2013-12,741,99,71
2014-01,784,99,52
2014-02,798,75,24
2014-03,878,75,30
2014-04,929,90,44
2014-05,955,109,54
2014-06,921,96,32
2014-07,886,91,34
2014-08,779,87,27
2014-09,714,79,29
2014-10,702,71,25
2014-11,737,61,28
2014-12,939,62,36
2015-01,920,72,32
2015-02,938,120,65
2015-03,750,116,52
2015-04,617,98,30
2015-05,558,75,31
2015-06,813,61,22
2015-07,828,98,56
2015-08,776,75,28
2015-09,727,112,70
2015-10,651,96,30
2015-11,628,112,51
2015-12,682,142,71
2016-01,1072,98,23
2016-02,1080,89,17
2016-03,1118,86,33
2016-04,1011,65,14
2016-05,1101,57,31
2016-06,1078,50,14
2016-07,1086,39,8
2016-08,1112,69,51
2016-09,1239,97,59
2016-10,1162,89,28
2016-11,1116,80,37
2016-12,1264,70,29
2017-01,1304,64,26
2017-02,1313,76,28
2017-03,1357,84,38
2017-04,1384,73,37
2017-05,1406,75,35
2017-06,1420,102,53
2017-07,1351,107,45
2017-08,1357,91,36
2017-09,1355,82,34
2017-10,1419,82,47
2017-11,1481,75,35
2017-12,1477,91,41
2018-01,1433,88,28
2018-02,1447,79,25
2018-03,1426,72,31
2018-04,1411,65,34
2018-05,1439,86,55
2018-06,1505,92,42
2018-07,1498,118,56
2018-08,1618,148,92
2018-09,1638,149,65
2018-10,1790,115,41
2018-11,1811,86,43
2018-12,1887,101,58
2019-01,1909,110,51
2019-02,1868,118,42
2019-03,1613,105,44
2019-04,1757,104,46
2019-05,2041,175,119
2019-06,2049,268,170
2019-07,2008,332,162
2019-08,2045,298,101
2019-09,2011,266,60
2019-10,1978,230,44
2019-11,1944,194,48
2019-12,1877,174,34
2020-01,1838,158,23
2020-02,1838,120,42
2020-03,1862,125,41
2020-04,1801,151,73
2020-05,1846,202,124
2020-06,1713,242,106
2020-07,1539,201,51
2020-08,1439,185,43
2020-09,1763,234,141
2020-10,1819,223,74
2020-11,1907,206,76
2020-12,1998,235,123
2021-01,1994,163,42
2021-02,1977,136,35
2021-03,1969,125,50
2021-04,1954,111,56
2021-05,1905,118,51
2021-06,1830,132,71
2021-07,1835,144,64
2021-08,1789,174,64
2021-09,1878,195,67
2021-10,1955,198,71
2021-11,1943,219,90
2021-12,1954,248,120
2022-01,2202,200,71
2022-02,2342,222,83
2022-03,2464,187,76
2022-04,2445,172,97
2022-05,2482,168,76
2022-06,2387,204,117
2022-07,2311,241,111
2022-08,2385,244,73
2022-09,2555,233,69
2022-10,2559,252,74
2022-11,2566,247,97
2022-12,2584,250,99
2023-01,2519,236,76
2023-02,2394,234,85
2023-03,2678,244,97
2023-04,2769,233,80
2023-05,2786,231,61
2023-06,2671,193,41
2023-07,2617,222,101
2023-08,2695,217,96
2023-09,2734,214,95
2023-10,2739,208,92
2023-11,2681,213,92
2023-12,2759,255,122
2024-01,2753,238,127
2024-02,2932,238,101
2024-03,2773,212,64
2024-04,2728,244,102
2024-05,2610,237,124
2024-06,2832,336,194
2024-07,2785,337,144
2024-08,2735,318,147
2024-09,2857,287,111
2024-10,2586,237,113
2024-11,2332,217,58
2024-12,2522,247,135
2025-01,2960,393,273
2025-02,2848,401,138
2025-03,2908,430,175
2025-04,3020,289,115
2025-05,2886,314,130
2025-06,2832,360,165
2025-07,2484,315,76
2025-08,2318,270,69
2025-09,2438,241,99
2025-10,2444,237,67
2025-11,2630,251,108
2025-12,2659,279,125
2026-01,2460,268,88
2026-02,2384,276,62
2026-03,2677,248,124
2026-04,2571,242,61
2026-05,2537,232,82
2026-06,2551,187,75
2026-07,2501,226,116
2026-08,1660,150,32
