池,配置,事件数,选中率,年均笔数,胜率,净期望,年化,回撤,p
60日新高突破,【基线】不筛,42609,1.0,6471.075779625779,0.16090981719065744,0.016407037479703845,-0.04098253709941335,-0.5615160149243243,
60日新高突破,缩量 <0.8×,17852,0.41897251754324205,2711.2029106029104,0.15286267033028655,0.011808660762156427,-0.05026467206571139,-0.5089333171103897,0.6933333333333334
60日新高突破,波动收敛 <0.8×,24052,0.564481682273698,3652.803742203742,0.16367647670981975,0.020312062849592676,-0.07330537480321697,-0.6445524361163295,0.84
60日新高突破,浅回调 ≤选择集中位,17661,0.4144898965007393,2682.19553014553,0.1779276725994785,0.010251458244780198,-0.049673619541187986,-0.5973419725439195,0.73
60日新高突破,**三条全中**,4364,0.10241967659414677,662.7654885654886,0.1731651376146789,-0.00016423078244451458,0.04474753734795778,-0.29866551313274436,0.28
口袋支点,【基线】不筛,38858,1.0,5901.407276507276,0.1787397316715165,0.019269446029398025,0.11445844342583866,-0.4008423854391897,
口袋支点,缩量 <0.8×,15011,0.3863039785887076,2279.73711018711,0.17253098760495802,0.01121862221544491,0.09746559762078877,-0.37547680923602966,0.35
口袋支点,波动收敛 <0.8×,19889,0.5118379741623347,3020.564345114345,0.18763830215248442,0.022004537495195885,0.1432047694291987,-0.455867648436731,0.05333333333333334
口袋支点,浅回调 ≤选择集中位,16907,0.4350970199186783,2567.6847193347194,0.1870708027468624,0.009848994412371824,0.04171335799014897,-0.38519908026667926,0.79
口袋支点,**三条全中**,3387,0.08716351845179886,514.387422037422,0.18842291789722387,-0.004319848105766907,0.00996089978688941,-0.32223868718951465,0.83
