年,深调,事件,满500日,回撤250中位,收益250中位,收益500中位,回得来比例,删失,回来用时中位,深调期平台占比中位
2014,False,6672,6672,-0.1016,0.5371,0.5657,0.997,0,55.0,0.0
2014,True,629,629,-0.3516,-0.0598,-0.0033,0.8649,0,215.0,0.0
2015,False,2158,2158,-0.1715,0.098,0.1488,0.9615,0,118.0,0.0
2015,True,4828,4828,-0.4711,-0.2875,-0.3496,0.4795,0,-1.0,0.0
2016,False,4300,4300,-0.1691,-0.0023,-0.2886,0.7649,0,52.0,0.0
2016,True,2172,2172,-0.3847,-0.3284,-0.556,0.1271,0,-1.0,0.1213
2017,False,1702,1702,-0.1448,0.0151,-0.0467,0.7855,0,44.0,0.0
2017,True,2199,2199,-0.4629,-0.4105,-0.4492,0.1846,0,-1.0,0.037
2018,False,834,834,-0.194,0.1325,0.4947,0.9496,0,121.0,0.0
2018,True,1152,1152,-0.4313,-0.2618,-0.2392,0.5495,0,147.5,0.0
2019,False,6254,6254,-0.1522,0.2241,0.2462,0.9698,0,87.0,0.0
2019,True,2350,2350,-0.3735,-0.2742,-0.25,0.5936,0,181.0,0.0121
2020,False,6178,6178,-0.1587,0.1908,0.0947,0.9398,0,67.0,0.0
2020,True,3595,3595,-0.3952,-0.2837,-0.3077,0.5118,0,89.0,0.0422
2021,False,3835,3835,-0.1817,0.096,0.0607,0.9361,0,109.0,0.0
2021,True,4633,4633,-0.4265,-0.2751,-0.3013,0.4794,0,-1.0,0.0633
2022,False,5407,5407,-0.1928,0.0068,-0.1172,0.8476,0,70.0,0.008
2022,True,3077,3077,-0.3861,-0.2746,-0.4172,0.391,0,-1.0,0.0638
2023,False,2701,2701,-0.1896,0.0726,0.2271,0.9559,0,157.0,0.0485
2023,True,6244,6244,-0.4548,-0.2758,-0.0523,0.6871,0,230.0,0.1913
2024,False,4727,2019,-0.1784,0.1885,0.2474,0.984,96,76.0,0.0
2024,True,1658,897,-0.3653,-0.1388,0.0379,0.8654,202,148.0,0.0
2025,False,9825,0,-0.1265,0.2165,,1.0,1292,38.0,0.0
2025,True,1936,0,-0.3592,-0.2813,,1.0,1337,-1.0,0.0309
