年,n改善,n恶化,率改善,率恶化,差
2014,330,260,0.16363636363636364,0.13846153846153847,0.025174825174825166
2015,306,318,0.46078431372549017,0.42452830188679247,0.0362560118386977
2016,148,136,0.02027027027027027,0.022058823529411766,-0.0017885532591414947
2017,256,119,0.0234375,0.01680672268907563,0.0066307773109243705
2019,308,130,0.05519480519480519,0.09230769230769231,-0.03711288711288712
2020,401,486,0.09975062344139651,0.06790123456790123,0.03184938887349528
2021,546,247,0.08241758241758242,0.0931174089068826,-0.01069982648930018
2022,283,246,0.0353356890459364,0.056910569105691054,-0.021574880059754657
2023,417,389,0.03597122302158273,0.03598971722365039,-1.849420206765512e-05
2024,642,519,0.07009345794392523,0.06551059730250482,0.004582860641420411
2025,910,983,0.11538461538461539,0.09460834181078331,0.020776273573832077
2026,151,154,0.11258278145695365,0.07142857142857142,0.041154210028382224
