部分,组,n,超阈率,n超阈,xi,sigma,门槛,EVT外推,直接数,相对误差,中位,CI下界,CI上界,n次
点估计,"AGE_YOUNG 上市[1,3)年",56170.0,0.3545308883745772,19914.0,0.2686650037673736,0.5376923515477476,,,,,,,,
点估计,同市值随机对照,55314.0,0.3628556965686806,20071.0,0.25153311009177876,0.5213381173664992,,,,,,,,
点估计,全市场,445686.0,0.3519047042087927,156839.0,0.2405048590845795,0.5281850477263942,,,,,,,,
外推一致性,"AGE_YOUNG 上市[1,3)年",,,,,,≥100%,0.15458326753625953,0.15634680434395584,0.0112796472885791,,,,
外推一致性,"AGE_YOUNG 上市[1,3)年",,,,,,≥200%,0.04420865298611939,0.04443653195656044,0.005128189811568126,,,,
外推一致性,"AGE_YOUNG 上市[1,3)年",,,,,,≥500%,0.0044169609499656445,0.004468577532490654,0.011551009722827738,,,,
外推一致性,同市值随机对照,,,,,,≥100%,0.15367454290651533,0.15424666449723398,0.0037091342790683745,,,,
外推一致性,同市值随机对照,,,,,,≥200%,0.04165222893808501,0.04123729977944101,0.010061986620444687,,,,
外推一致性,同市值随机对照,,,,,,≥500%,0.0036905495665050447,0.003814585819141628,0.032516309376018786,,,,
外推一致性,全市场,,,,,,≥100%,0.1499785704033795,0.15061276324587267,0.004210750993644912,,,,
外推一致性,全市场,,,,,,≥200%,0.040399068573904025,0.04126672141373074,0.02102548518763652,,,,
外推一致性,全市场,,,,,,≥500%,0.0034143964599765517,0.003161418577204579,0.08002036952527289,,,,
bootstrap,Δξ,,,,,,,,,,0.016433718048921228,-0.0061550078482814794,0.044049504584553235,200.0
bootstrap,Δσ,,,,,,,,,,0.01602644035071482,-0.0010725236781676721,0.032613250959167214,200.0
