前瞻,格,半边,事件数,占比,ge100,对照,lift,率差,lift差,p置换,零校验差
6个月,legacy|状态,有新高,560,0.029478338685055536,0.0625,0.06261510128913444,0.9981617647058822,0.008423957259857895,-0.04337204876262768,0.86,0.0004724801960736477
6个月,legacy|状态,无新高,18437,0.9705216613149444,0.054076042740142105,0.051919622810956446,1.04153381346851,,,,1.0591648242408436e-05
6个月,legacy|突破,有新高,278,0.02387290682696436,0.11870503597122302,0.08208955223880597,1.4460431654676258,0.04586259733305992,0.1225086662218593,0.334,0.0006994135845841964
6个月,legacy|突破,无新高,11367,0.9761270931730356,0.0728424386381631,0.05503629764065336,1.3235344992457665,,,,5.9992092413592435e-05
6个月,adaptive|状态,有新高,143,0.013871374527112233,0.09090909090909091,0.10144927536231885,0.8961038961038961,0.0352333088905979,-0.0450865296793137,0.781,0.0005014417750383443
6个月,adaptive|状态,无新高,10166,0.9861286254728878,0.05567578201849301,0.059154641285436495,0.9411904257832098,,,,0.00024376020329744397
6个月,adaptive|突破,有新高,74,0.011440940012368584,0.14864864864864866,0.1267605633802817,1.1726726726726728,0.07873935868931178,0.028904766918853575,0.4335,0.001694713238700879
6个月,adaptive|突破,无新高,6394,0.9885590599876314,0.06990928995933687,0.0611219195849546,1.1437679057538193,,,,0.00015715052014264597
12个月,legacy|状态,有新高,462,0.02642567065149002,0.20995670995670995,0.20674157303370785,1.0155514775079992,0.06067053405635156,-0.006674004977318404,0.641,2.2932989965418482e-05
12个月,legacy|状态,无新高,17021,0.97357432934851,0.1492861759003584,0.1460403584710114,1.0222254824853176,,,,0.00015363559015504902
12个月,legacy|突破,有新高,231,0.022209402942024805,0.329004329004329,0.2828054298642534,1.1633593073593074,0.1540780753170134,0.08244707938580054,0.1175,0.0023271430904994173
12个月,legacy|突破,无新高,10170,0.9777905970579752,0.17492625368731562,0.1618320610687023,1.0809122279735068,,,,2.252128496746386e-05
12个月,adaptive|状态,有新高,125,0.01291722641314457,0.24,0.23333333333333334,1.0285714285714285,0.08087102177554437,0.04887181003054464,0.529,0.006739936935336893
12个月,adaptive|状态,无新高,9552,0.9870827735868555,0.15912897822445563,0.16242629395064423,0.9796996185408838,,,,0.00016648820097053818
12个月,adaptive|突破,有新高,60,0.010398613518197574,0.3,0.2807017543859649,1.06875,0.12784588441330996,0.08120484322446853,0.24,0.005034837783125523
12个月,adaptive|突破,无新高,5710,0.9896013864818024,0.17215411558669003,0.17432530999270604,0.9875451567755316,,,,0.00019123551320249232
